,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est achetée . <eos>,7,achetée,acheté,5,achetée,-7.5695724,acheté,-10.99062,1
1,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est brisée . <eos>,7,brisée,brisé,5,brisée,-7.029516,brisé,-10.210113,1
2,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est cachée . <eos>,7,cachée,caché,5,cachée,-5.907674,caché,-9.239099,1
3,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est cassée . <eos>,7,cassée,cassé,5,cassée,-7.3625674,cassé,-10.651168,1
4,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est couverte . <eos>,7,couverte,couvert,5,couverte,-7.258902,couvert,-11.135555,1
5,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est déformée . <eos>,7,déformée,déformé,5,déformée,-9.600637,déformé,-11.862974,1
6,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est fixée . <eos>,7,fixée,fixé,5,fixée,-8.168299,fixé,-11.155367,1
7,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est jetée . <eos>,7,jetée,jeté,5,jetée,-6.793085,jeté,-10.399585,1
8,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est laissée . <eos>,7,laissée,laissé,5,laissée,-7.6360826,laissé,-10.306843,1
9,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est ouverte . <eos>,7,ouverte,ouvert,5,ouverte,-8.10244,ouvert,-10.961006,1
10,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est perdue . <eos>,7,perdue,perdu,5,perdue,-7.147154,perdu,-9.695483,1
11,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est réparée . <eos>,7,réparée,réparé,5,réparée,-11.415525,réparé,-12.697184,1
12,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est retirée . <eos>,7,retirée,retiré,5,retirée,-7.9693556,retiré,-9.733581,1
13,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est tombée . <eos>,7,tombée,tombé,5,tombée,-5.4085197,tombé,-7.8107567,1
14,S_NOUN_5_PASS_a,F,S,la gemme que j' aime beaucoup est utilisée . <eos>,7,utilisée,utilisé,5,utilisée,-5.224358,utilisé,-7.962704,1
15,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est achetée . <eos>,7,achetée,acheté,5,achetée,-8.827694,acheté,-12.232995,1
16,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est brisée . <eos>,7,brisée,brisé,5,brisée,-8.943632,brisé,-12.10813,1
17,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est cachée . <eos>,7,cachée,caché,5,cachée,-7.945173,caché,-11.154942,1
18,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est cassée . <eos>,7,cassée,cassé,5,cassée,-8.504159,cassé,-10.908154,1
19,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est couverte . <eos>,7,couverte,couvert,5,couverte,-7.978647,couvert,-12.228179,1
20,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est déformée . <eos>,7,déformée,déformé,5,déformée,-10.187769,déformé,-13.344818,1
21,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est fixée . <eos>,7,fixée,fixé,5,fixée,-8.160015,fixé,-11.504959,1
22,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est jetée . <eos>,7,jetée,jeté,5,jetée,-8.569399,jeté,-11.590108,1
23,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est laissée . <eos>,7,laissée,laissé,5,laissée,-8.437429,laissé,-11.075623,1
24,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est ouverte . <eos>,7,ouverte,ouvert,5,ouverte,-7.9111586,ouvert,-11.087891,1
25,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est perdue . <eos>,7,perdue,perdu,5,perdue,-8.144632,perdu,-9.723598,1
26,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est réparée . <eos>,7,réparée,réparé,5,réparée,-11.582875,réparé,-14.111663,1
27,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est retirée . <eos>,7,retirée,retiré,5,retirée,-8.829513,retiré,-11.05788,1
28,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est tombée . <eos>,7,tombée,tombé,5,tombée,-7.0638156,tombé,-9.574245,1
29,S_NOUN_5_PASS_a,F,S,la chaise que j' aime beaucoup est utilisée . <eos>,7,utilisée,utilisé,5,utilisée,-4.817007,utilisé,-7.885418,1
