,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement achetée <eos>,11,achetée,acheté,9,F,achetée,-10.392717,acheté,-11.506008,1
1,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement brisée <eos>,11,brisée,brisé,9,F,brisée,-8.869531,brisé,-13.635691,1
2,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement cachée <eos>,11,cachée,caché,9,F,cachée,-7.6151457,caché,-10.424408,1
3,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement cassée <eos>,11,cassée,cassé,9,F,cassée,-7.964228,cassé,-10.247499,1
4,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement couverte <eos>,11,couverte,couvert,9,F,couverte,-6.1468744,couvert,-11.415263,1
5,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement déformée <eos>,11,déformée,déformé,9,F,déformée,-9.632251,déformé,-12.333518,1
6,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement fixée <eos>,11,fixée,fixé,9,F,fixée,-7.1549654,fixé,-10.976339,1
7,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement jetée <eos>,11,jetée,jeté,9,F,jetée,-8.92779,jeté,-11.488345,1
8,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement laissée <eos>,11,laissée,laissé,9,F,laissée,-7.9148426,laissé,-11.09772,1
9,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement ouverte <eos>,11,ouverte,ouvert,9,F,ouverte,-7.9359865,ouvert,-12.789893,1
10,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement perdue <eos>,11,perdue,perdu,9,F,perdue,-8.074822,perdu,-12.225599,1
11,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement réparée <eos>,11,réparée,réparé,9,F,réparée,-10.200232,réparé,-13.957262,1
12,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement retirée <eos>,11,retirée,retiré,9,F,retirée,-9.319757,retiré,-13.16766,1
13,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement tombée <eos>,11,tombée,tombé,9,F,tombée,-9.075465,tombé,-11.0836525,1
14,S_NOUN_6_PASS_c,F,S,la gemme avec la chaise qui était ici est aussi probablement utilisée <eos>,11,utilisée,utilisé,9,F,utilisée,-2.652084,utilisé,-6.4462643,1
15,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement achetée <eos>,11,achetée,acheté,9,F,achetée,-9.559259,acheté,-11.845682,1
16,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement brisée <eos>,11,brisée,brisé,9,F,brisée,-9.197038,brisé,-14.003134,1
17,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement cachée <eos>,11,cachée,caché,9,F,cachée,-7.392392,caché,-10.153488,1
18,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement cassée <eos>,11,cassée,cassé,9,F,cassée,-8.328253,cassé,-10.626342,1
19,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement couverte <eos>,11,couverte,couvert,9,F,couverte,-6.362809,couvert,-11.132298,1
20,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement déformée <eos>,11,déformée,déformé,9,F,déformée,-9.711551,déformé,-12.15268,1
21,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement fixée <eos>,11,fixée,fixé,9,F,fixée,-7.590246,fixé,-11.399426,1
22,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement jetée <eos>,11,jetée,jeté,9,F,jetée,-8.319482,jeté,-11.147548,1
23,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement laissée <eos>,11,laissée,laissé,9,F,laissée,-7.5203404,laissé,-10.938347,1
24,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement ouverte <eos>,11,ouverte,ouvert,9,F,ouverte,-7.746648,ouvert,-12.531537,1
25,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement perdue <eos>,11,perdue,perdu,9,F,perdue,-7.45689,perdu,-11.481017,1
26,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement réparée <eos>,11,réparée,réparé,9,F,réparée,-10.984554,réparé,-14.166933,1
27,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement retirée <eos>,11,retirée,retiré,9,F,retirée,-9.035812,retiré,-12.856006,1
28,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement tombée <eos>,11,tombée,tombé,9,F,tombée,-8.429344,tombé,-10.609541,1
29,S_NOUN_6_PASS_c,F,S,la gemme avec la poubelle qui était ici est aussi probablement utilisée <eos>,11,utilisée,utilisé,9,F,utilisée,-2.7490795,utilisé,-6.8645353,1
30,S_NOUN_6_PASS_c,F,S,la gemme avec la chemise qui était ici est aussi probablement achetée <eos>,11,achetée,acheté,9,F,achetée,-10.14467,acheté,-11.90762,1
31,S_NOUN_6_PASS_c,F,S,la gemme avec la chemise qui était ici est aussi probablement brisée <eos>,11,brisée,brisé,9,F,brisée,-9.142975,brisé,-14.240426,1
32,S_NOUN_6_PASS_c,F,S,la gemme avec la chemise qui était ici est aussi probablement cachée <eos>,11,cachée,caché,9,F,cachée,-7.6951575,caché,-10.407255,1
33,S_NOUN_6_PASS_c,F,S,la gemme avec la chemise qui était ici est aussi probablement cassée <eos>,11,cassée,cassé,9,F,cassée,-8.960703,cassé,-9.997099,1
34,S_NOUN_6_PASS_c,F,S,la gemme avec la chemise qui était ici est aussi probablement couverte <eos>,11,couverte,couvert,9,F,couverte,-6.139753,couvert,-10.893808,1
35,S_NOUN_6_PASS_c,F,S,la gemme avec la chemise qui était ici est aussi probablement déformée <eos>,11,déformée,déformé,9,F,déformée,-10.017567,déformé,-12.52249,1
36,S_NOUN_6_PASS_c,F,S,la gemme avec la chemise qui était ici est aussi probablement fixée <eos>,11,fixée,fixé,9,F,fixée,-7.473779,fixé,-10.960789,1
37,S_NOUN_6_PASS_c,F,S,la gemme avec la chemise qui était ici est aussi probablement jetée <eos>,11,jetée,jeté,9,F,jetée,-9.414366,jeté,-11.395959,1
38,S_NOUN_6_PASS_c,F,S,la gemme avec la chemise qui était ici est aussi probablement laissée <eos>,11,laissée,laissé,9,F,laissée,-8.068102,laissé,-11.48589,1
