,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement achetées <eos>,8,achetées,achetés,6,F,S,achetées,-6.223674,achetés,-9.273354,1
1,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement brisées <eos>,8,brisées,brisés,6,F,S,brisées,-9.918341,brisés,-14.024615,1
2,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement cachées <eos>,8,cachées,cachés,6,F,S,cachées,-6.826934,cachés,-9.686464,1
3,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement cassées <eos>,8,cassées,cassés,6,F,S,cassées,-9.888216,cassés,-11.601274,1
4,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement couvertes <eos>,8,couvertes,couverts,6,F,S,couvertes,-6.511136,couverts,-9.95213,1
5,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement déformées <eos>,8,déformées,déformés,6,F,S,déformées,-7.0886455,déformés,-13.1467705,1
6,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement fixées <eos>,8,fixées,fixés,6,F,S,fixées,-9.180275,fixés,-12.554551,1
7,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement jetées <eos>,8,jetées,jetés,6,F,S,jetées,-10.337029,jetés,-13.305126,1
8,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement laissées <eos>,8,laissées,laissés,6,F,S,laissées,-6.780285,laissés,-11.352881,1
9,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement ouvertes <eos>,8,ouvertes,ouverts,6,F,S,ouvertes,-9.05834,ouverts,-13.566517,1
10,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement perdues <eos>,8,perdues,perdus,6,F,S,perdues,-7.680728,perdus,-11.697714,1
11,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement réparées <eos>,8,réparées,réparés,6,F,S,réparées,-10.834087,réparés,-14.786201,1
12,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement retirées <eos>,8,retirées,retirés,6,F,S,retirées,-7.7736607,retirés,-10.322261,1
13,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement tombées <eos>,8,tombées,tombés,6,F,S,tombées,-8.38096,tombés,-10.884097,1
14,P_NOUN_3_PASS_b,F,P,les gemmes avec la gemme sont aussi probablement utilisées <eos>,8,utilisées,utilisés,6,F,S,utilisées,-2.932732,utilisés,-5.7800717,1
15,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement achetées <eos>,8,achetées,achetés,6,F,S,achetées,-6.9404774,achetés,-11.2803135,1
16,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement brisées <eos>,8,brisées,brisés,6,F,S,brisées,-9.089741,brisés,-13.7977085,1
17,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement cachées <eos>,8,cachées,cachés,6,F,S,cachées,-6.3734865,cachés,-10.2806,1
18,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement cassées <eos>,8,cassées,cassés,6,F,S,cassées,-9.752845,cassés,-11.3675785,1
19,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement couvertes <eos>,8,couvertes,couverts,6,F,S,couvertes,-6.1427,couverts,-9.89793,1
20,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement déformées <eos>,8,déformées,déformés,6,F,S,déformées,-7.1576347,déformés,-12.840603,1
21,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement fixées <eos>,8,fixées,fixés,6,F,S,fixées,-8.73182,fixés,-12.483193,1
22,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement jetées <eos>,8,jetées,jetés,6,F,S,jetées,-9.902992,jetés,-12.835329,1
23,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement laissées <eos>,8,laissées,laissés,6,F,S,laissées,-7.244063,laissés,-12.069571,1
24,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement ouvertes <eos>,8,ouvertes,ouverts,6,F,S,ouvertes,-7.494749,ouverts,-12.481778,1
25,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement perdues <eos>,8,perdues,perdus,6,F,S,perdues,-7.0863314,perdus,-11.979176,1
26,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement réparées <eos>,8,réparées,réparés,6,F,S,réparées,-9.984664,réparés,-15.085521,1
27,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement retirées <eos>,8,retirées,retirés,6,F,S,retirées,-7.291269,retirés,-10.909254,1
28,P_NOUN_3_PASS_b,F,P,les gemmes avec la chaise sont aussi probablement tombées <eos>,8,tombées,tombés,6,F,S,tombées,-8.460805,tombés,-11.858023,1
