,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est achetée <eos>,9,achetée,acheté,7,F,achetée,-8.675384,acheté,-10.266082,1
1,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est brisée <eos>,9,brisée,brisé,7,F,brisée,-6.6081953,brisé,-11.440224,1
2,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est cachée <eos>,9,cachée,caché,7,F,cachée,-6.990892,caché,-9.394912,1
3,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est cassée <eos>,9,cassée,cassé,7,F,cassée,-6.8742943,cassé,-9.38973,1
4,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est couverte <eos>,9,couverte,couvert,7,F,couverte,-7.1544876,couvert,-10.881548,1
5,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est déformée <eos>,9,déformée,déformé,7,F,déformée,-8.127858,déformé,-12.448574,1
6,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est fixée <eos>,9,fixée,fixé,7,F,fixée,-5.9117904,fixé,-9.272288,1
7,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est jetée <eos>,9,jetée,jeté,7,F,jetée,-7.476982,jeté,-11.630847,1
8,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est laissée <eos>,9,laissée,laissé,7,F,laissée,-7.0436516,laissé,-10.338938,1
9,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est ouverte <eos>,9,ouverte,ouvert,7,F,ouverte,-6.2861943,ouvert,-9.977297,1
10,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est perdue <eos>,9,perdue,perdu,7,F,perdue,-7.144642,perdu,-9.425762,1
11,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est réparée <eos>,9,réparée,réparé,7,F,réparée,-9.022077,réparé,-13.972477,1
12,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est retirée <eos>,9,retirée,retiré,7,F,retirée,-6.965563,retiré,-10.0609,1
13,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est tombée <eos>,9,tombée,tombé,7,F,tombée,-8.487162,tombé,-10.712219,1
14,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est utilisée <eos>,9,utilisée,utilisé,7,F,utilisée,-4.63312,utilisé,-8.0205,1
