,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins achetée <eos>,9,achetée,acheté,7,F,achetée,-9.117617,acheté,-13.355891,1
1,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins brisée <eos>,9,brisée,brisé,7,F,brisée,-6.4596505,brisé,-12.158005,1
2,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins cachée <eos>,9,cachée,caché,7,F,cachée,-8.658291,caché,-10.506004,1
3,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins cassée <eos>,9,cassée,cassé,7,F,cassée,-9.140434,cassé,-10.752951,1
4,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins couverte <eos>,9,couverte,couvert,7,F,couverte,-4.930313,couvert,-7.8975544,1
5,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins déformée <eos>,9,déformée,déformé,7,F,déformée,-6.764533,déformé,-10.943382,1
6,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins fixée <eos>,9,fixée,fixé,7,F,fixée,-7.1823645,fixé,-11.019723,1
7,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins jetée <eos>,9,jetée,jeté,7,F,jetée,-10.231126,jeté,-12.9943495,1
8,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins laissée <eos>,9,laissée,laissé,7,F,laissée,-8.297455,laissé,-13.725281,1
9,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins ouverte <eos>,9,ouverte,ouvert,7,F,ouverte,-4.5359764,ouvert,-9.993065,1
10,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins perdue <eos>,9,perdue,perdu,7,F,perdue,-9.609718,perdu,-14.648167,1
11,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins réparée <eos>,9,réparée,réparé,7,F,réparée,-9.837316,réparé,-14.705221,1
12,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins retirée <eos>,9,retirée,retiré,7,F,retirée,-6.4895363,retiré,-10.577724,1
13,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins tombée <eos>,9,tombée,tombé,7,F,tombée,-9.278057,tombé,-12.872936,1
14,S_NOUN_4_PASS_b,F,S,la gemme avec la chaise est plus ou moins utilisée <eos>,9,utilisée,utilisé,7,F,utilisée,-4.6947327,utilisé,-8.7891445,1
15,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins achetée <eos>,9,achetée,acheté,7,F,achetée,-9.106513,acheté,-14.2019825,1
16,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins brisée <eos>,9,brisée,brisé,7,F,brisée,-7.831607,brisé,-13.408914,1
17,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins cachée <eos>,9,cachée,caché,7,F,cachée,-8.676418,caché,-9.7726755,1
18,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins cassée <eos>,9,cassée,cassé,7,F,cassée,-9.298289,cassé,-11.489354,1
19,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins couverte <eos>,9,couverte,couvert,7,F,couverte,-6.043053,couvert,-8.263353,1
20,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins déformée <eos>,9,déformée,déformé,7,F,déformée,-6.9382067,déformé,-10.981109,1
21,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins fixée <eos>,9,fixée,fixé,7,F,fixée,-7.782919,fixé,-11.192617,1
22,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins jetée <eos>,9,jetée,jeté,7,F,jetée,-9.843635,jeté,-12.676887,1
23,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins laissée <eos>,9,laissée,laissé,7,F,laissée,-8.044289,laissé,-13.541852,1
24,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins ouverte <eos>,9,ouverte,ouvert,7,F,ouverte,-4.9874067,ouvert,-9.802607,1
25,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins perdue <eos>,9,perdue,perdu,7,F,perdue,-9.035768,perdu,-13.818208,1
26,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins réparée <eos>,9,réparée,réparé,7,F,réparée,-10.062585,réparé,-14.365033,1
27,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins retirée <eos>,9,retirée,retiré,7,F,retirée,-5.492608,retiré,-9.871107,1
28,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins tombée <eos>,9,tombée,tombé,7,F,tombée,-8.447624,tombé,-11.961132,1
29,S_NOUN_4_PASS_b,F,S,la gemme avec la poubelle est plus ou moins utilisée <eos>,9,utilisée,utilisé,7,F,utilisée,-4.0518236,utilisé,-8.170143,1
30,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins achetée <eos>,9,achetée,acheté,7,F,achetée,-10.357832,acheté,-15.059333,1
31,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins brisée <eos>,9,brisée,brisé,7,F,brisée,-6.739662,brisé,-12.880304,1
32,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins cachée <eos>,9,cachée,caché,7,F,cachée,-8.803993,caché,-10.451551,1
33,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins cassée <eos>,9,cassée,cassé,7,F,cassée,-8.870908,cassé,-10.771157,1
34,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins couverte <eos>,9,couverte,couvert,7,F,couverte,-5.3262014,couvert,-8.1997,1
35,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins déformée <eos>,9,déformée,déformé,7,F,déformée,-6.8341465,déformé,-10.972152,1
36,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins fixée <eos>,9,fixée,fixé,7,F,fixée,-7.074985,fixé,-11.36857,1
37,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins jetée <eos>,9,jetée,jeté,7,F,jetée,-10.306884,jeté,-12.910787,1
38,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins laissée <eos>,9,laissée,laissé,7,F,laissée,-8.474752,laissé,-14.204103,1
39,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins ouverte <eos>,9,ouverte,ouvert,7,F,ouverte,-4.9529443,ouvert,-10.087482,1
40,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins perdue <eos>,9,perdue,perdu,7,F,perdue,-10.263136,perdu,-14.757912,1
41,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins réparée <eos>,9,réparée,réparé,7,F,réparée,-10.664594,réparé,-15.837731,1
42,S_NOUN_4_PASS_b,F,S,la gemme avec la chemise est plus ou moins retirée <eos>,9,retirée,retiré,7,F,retirée,-6.744174,retiré,-10.70481,1
