,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très vertes <eos>,10,vertes,verts,8,F,S,vertes,-7.9551883,verts,-9.4285145,1
1,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très bleues <eos>,10,bleues,bleus,8,F,S,bleues,-7.5059066,bleus,-9.644026,1
2,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très noires <eos>,10,noires,noirs,8,F,S,noires,-6.534503,noirs,-8.380645,1
3,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très délicates <eos>,10,délicates,délicats,8,F,S,délicates,-9.721737,délicats,-10.143476,1
4,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très pointues <eos>,10,pointues,pointus,8,F,S,pointues,-6.777065,pointus,-10.299543,1
5,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très rondes <eos>,10,rondes,ronds,8,F,S,rondes,-10.327198,ronds,-12.812739,1
6,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très froides <eos>,10,froides,froids,8,F,S,froides,-5.0631924,froids,-10.252783,1
7,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très chaudes <eos>,10,chaudes,chauds,8,F,S,chaudes,-7.8523073,chauds,-9.574614,1
8,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très importantes <eos>,10,importantes,importants,8,F,S,importantes,-5.5067954,importants,-9.432123,1
9,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très courtes <eos>,10,courtes,courts,8,F,S,courtes,-6.0527267,courts,-8.4873495,1
10,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très dures <eos>,10,dures,durs,8,F,S,dures,-4.3654194,durs,-7.1378107,1
11,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très claires <eos>,10,claires,clairs,8,F,S,claires,-6.1950808,clairs,-7.8420544,1
12,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très intéressantes <eos>,10,intéressantes,intéressants,8,F,S,intéressantes,-6.4994473,intéressants,-9.193356,1
13,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très brillantes <eos>,10,brillantes,brillants,8,F,S,brillantes,-5.5968504,brillants,-7.7327986,1
14,P_NOUN_5_ADJ_c,F,P,les gemmes avec la gemme qui étaient ici sont très compliquées <eos>,10,compliquées,compliqués,8,F,S,compliquées,-8.906186,compliqués,-12.382799,1
15,P_NOUN_5_ADJ_c,F,P,les gemmes avec la chaise qui étaient ici sont très vertes <eos>,10,vertes,verts,8,F,S,vertes,-8.997213,verts,-10.0011635,1
16,P_NOUN_5_ADJ_c,F,P,les gemmes avec la chaise qui étaient ici sont très bleues <eos>,10,bleues,bleus,8,F,S,bleues,-8.185223,bleus,-10.151114,1
