,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas achetée <eos>,12,achetée,acheté,10,M,P,achetée,-11.698183,acheté,-10.778601,0
1,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas brisée <eos>,12,brisée,brisé,10,M,P,brisée,-8.088258,brisé,-10.509827,1
2,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas cachée <eos>,12,cachée,caché,10,M,P,cachée,-8.441294,caché,-9.654367,1
3,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas cassée <eos>,12,cassée,cassé,10,M,P,cassée,-7.641279,cassé,-11.166451,1
4,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas couverte <eos>,12,couverte,couvert,10,M,P,couverte,-7.743248,couvert,-10.011599,1
5,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas déformée <eos>,12,déformée,déformé,10,M,P,déformée,-8.515349,déformé,-11.218747,1
6,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas fixée <eos>,12,fixée,fixé,10,M,P,fixée,-6.610882,fixé,-9.387228,1
7,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas jetée <eos>,12,jetée,jeté,10,M,P,jetée,-8.766735,jeté,-11.275822,1
8,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas laissée <eos>,12,laissée,laissé,10,M,P,laissée,-8.228135,laissé,-9.933467,1
9,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas ouverte <eos>,12,ouverte,ouvert,10,M,P,ouverte,-7.686464,ouvert,-11.077833,1
10,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas perdue <eos>,12,perdue,perdu,10,M,P,perdue,-6.942865,perdu,-10.045395,1
11,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas réparée <eos>,12,réparée,réparé,10,M,P,réparée,-10.755376,réparé,-13.606004,1
12,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas retirée <eos>,12,retirée,retiré,10,M,P,retirée,-8.626495,retiré,-9.967492,1
13,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas tombée <eos>,12,tombée,tombé,10,M,P,tombée,-7.9903812,tombé,-9.111529,1
14,S_NOUN_7_PASS_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas utilisée <eos>,12,utilisée,utilisé,10,M,P,utilisée,-4.657978,utilisé,-6.824917,1
15,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas achetée <eos>,12,achetée,acheté,10,M,P,achetée,-8.75993,acheté,-12.509286,1
16,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas brisée <eos>,12,brisée,brisé,10,M,P,brisée,-7.757872,brisé,-10.901825,1
17,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas cachée <eos>,12,cachée,caché,10,M,P,cachée,-8.549841,caché,-10.065704,1
18,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas cassée <eos>,12,cassée,cassé,10,M,P,cassée,-7.4719496,cassé,-11.463394,1
19,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas couverte <eos>,12,couverte,couvert,10,M,P,couverte,-7.5179358,couvert,-9.895709,1
20,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas déformée <eos>,12,déformée,déformé,10,M,P,déformée,-8.197005,déformé,-11.327713,1
21,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas fixée <eos>,12,fixée,fixé,10,M,P,fixée,-6.1854396,fixé,-9.0932255,1
22,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas jetée <eos>,12,jetée,jeté,10,M,P,jetée,-8.269255,jeté,-11.3178215,1
23,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas laissée <eos>,12,laissée,laissé,10,M,P,laissée,-8.270765,laissé,-10.1754055,1
24,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas ouverte <eos>,12,ouverte,ouvert,10,M,P,ouverte,-7.4446673,ouvert,-10.8106785,1
25,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas perdue <eos>,12,perdue,perdu,10,M,P,perdue,-6.083741,perdu,-9.90019,1
26,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas réparée <eos>,12,réparée,réparé,10,M,P,réparée,-10.3587885,réparé,-13.493616,1
27,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas retirée <eos>,12,retirée,retiré,10,M,P,retirée,-8.139055,retiré,-9.528128,1
28,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas tombée <eos>,12,tombée,tombé,10,M,P,tombée,-7.9384985,tombé,-9.877939,1
29,S_NOUN_7_PASS_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas utilisée <eos>,12,utilisée,utilisé,10,M,P,utilisée,-4.4330835,utilisé,-6.8958797,1
30,S_NOUN_7_PASS_b,F,S,la gemme avec les crayons que j' aime beaucoup n' est pas achetée <eos>,12,achetée,acheté,10,M,P,achetée,-8.07015,acheté,-12.435267,1
31,S_NOUN_7_PASS_b,F,S,la gemme avec les crayons que j' aime beaucoup n' est pas brisée <eos>,12,brisée,brisé,10,M,P,brisée,-8.485451,brisé,-11.484952,1
32,S_NOUN_7_PASS_b,F,S,la gemme avec les crayons que j' aime beaucoup n' est pas cachée <eos>,12,cachée,caché,10,M,P,cachée,-9.546224,caché,-10.372011,1
33,S_NOUN_7_PASS_b,F,S,la gemme avec les crayons que j' aime beaucoup n' est pas cassée <eos>,12,cassée,cassé,10,M,P,cassée,-7.870302,cassé,-11.406844,1
