,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement achetée <eos>,10,achetée,acheté,8,M,P,achetée,-9.7572,acheté,-10.861843,1
1,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement brisée <eos>,10,brisée,brisé,8,M,P,brisée,-6.708192,brisé,-11.244077,1
2,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement cachée <eos>,10,cachée,caché,8,M,P,cachée,-7.16287,caché,-8.867073,1
3,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement cassée <eos>,10,cassée,cassé,8,M,P,cassée,-9.5932455,cassé,-12.001416,1
4,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement couverte <eos>,10,couverte,couvert,8,M,P,couverte,-7.393408,couvert,-11.0436,1
5,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement déformée <eos>,10,déformée,déformé,8,M,P,déformée,-9.503254,déformé,-11.809868,1
6,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement fixée <eos>,10,fixée,fixé,8,M,P,fixée,-7.8253384,fixé,-9.3571,1
7,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement jetée <eos>,10,jetée,jeté,8,M,P,jetée,-9.870832,jeté,-10.843722,1
8,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement laissée <eos>,10,laissée,laissé,8,M,P,laissée,-9.3199005,laissé,-9.986938,1
9,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement ouverte <eos>,10,ouverte,ouvert,8,M,P,ouverte,-8.0854025,ouvert,-10.967013,1
10,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement perdue <eos>,10,perdue,perdu,8,M,P,perdue,-5.9844456,perdu,-9.680202,1
11,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement réparée <eos>,10,réparée,réparé,8,M,P,réparée,-11.525927,réparé,-13.659527,1
12,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement retirée <eos>,10,retirée,retiré,8,M,P,retirée,-9.536095,retiré,-10.137104,1
13,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement tombée <eos>,10,tombée,tombé,8,M,P,tombée,-8.113939,tombé,-9.323596,1
14,S_NOUN_5_PASS_c,F,S,la gemme avec les bracelets près de moi est probablement utilisée <eos>,10,utilisée,utilisé,8,M,P,utilisée,-4.672325,utilisé,-6.9614887,1
15,S_NOUN_5_PASS_c,F,S,la gemme avec les miroirs près de moi est probablement achetée <eos>,10,achetée,acheté,8,M,P,achetée,-9.79537,acheté,-12.107691,1
16,S_NOUN_5_PASS_c,F,S,la gemme avec les miroirs près de moi est probablement brisée <eos>,10,brisée,brisé,8,M,P,brisée,-6.7716312,brisé,-10.879325,1
17,S_NOUN_5_PASS_c,F,S,la gemme avec les miroirs près de moi est probablement cachée <eos>,10,cachée,caché,8,M,P,cachée,-6.8489447,caché,-8.731067,1
18,S_NOUN_5_PASS_c,F,S,la gemme avec les miroirs près de moi est probablement cassée <eos>,10,cassée,cassé,8,M,P,cassée,-10.176655,cassé,-12.146862,1
19,S_NOUN_5_PASS_c,F,S,la gemme avec les miroirs près de moi est probablement couverte <eos>,10,couverte,couvert,8,M,P,couverte,-6.575268,couvert,-10.778341,1
20,S_NOUN_5_PASS_c,F,S,la gemme avec les miroirs près de moi est probablement déformée <eos>,10,déformée,déformé,8,M,P,déformée,-8.686548,déformé,-11.624926,1
21,S_NOUN_5_PASS_c,F,S,la gemme avec les miroirs près de moi est probablement fixée <eos>,10,fixée,fixé,8,M,P,fixée,-8.2521105,fixé,-9.586307,1
22,S_NOUN_5_PASS_c,F,S,la gemme avec les miroirs près de moi est probablement jetée <eos>,10,jetée,jeté,8,M,P,jetée,-10.130306,jeté,-11.500137,1
23,S_NOUN_5_PASS_c,F,S,la gemme avec les miroirs près de moi est probablement laissée <eos>,10,laissée,laissé,8,M,P,laissée,-8.544351,laissé,-9.76328,1
