,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien vertes <eos>,7,vertes,verts,5,F,S,vertes,-9.126692,verts,-10.815385,1
1,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien bleues <eos>,7,bleues,bleus,5,F,S,bleues,-10.285684,bleus,-11.628597,1
2,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien noires <eos>,7,noires,noirs,5,F,S,noires,-8.769856,noirs,-10.047268,1
3,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien délicates <eos>,7,délicates,délicats,5,F,S,délicates,-9.574022,délicats,-12.073948,1
4,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien pointues <eos>,7,pointues,pointus,5,F,S,pointues,-9.967052,pointus,-13.848122,1
5,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien rondes <eos>,7,rondes,ronds,5,F,S,rondes,-10.480448,ronds,-13.086994,1
6,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien froides <eos>,7,froides,froids,5,F,S,froides,-9.992989,froids,-13.470829,1
7,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien chaudes <eos>,7,chaudes,chauds,5,F,S,chaudes,-9.570661,chauds,-13.361559,1
8,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien importantes <eos>,7,importantes,importants,5,F,S,importantes,-7.968979,importants,-11.691931,1
9,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien courtes <eos>,7,courtes,courts,5,F,S,courtes,-10.301445,courts,-11.684607,1
10,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien dures <eos>,7,dures,durs,5,F,S,dures,-8.4818125,durs,-11.682949,1
11,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien claires <eos>,7,claires,clairs,5,F,S,claires,-8.811135,clairs,-11.289019,1
12,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien intéressantes <eos>,7,intéressantes,intéressants,5,F,S,intéressantes,-9.506922,intéressants,-11.098167,1
13,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien brillantes <eos>,7,brillantes,brillants,5,F,S,brillantes,-8.3124,brillants,-11.571627,1
14,P_NOUN_2_ADJ_b,F,P,les gemmes avec la gemme sont bien compliquées <eos>,7,compliquées,compliqués,5,F,S,compliquées,-10.11968,compliqués,-13.184661,1
15,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien vertes <eos>,7,vertes,verts,5,F,S,vertes,-10.13249,verts,-14.674566,1
16,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien bleues <eos>,7,bleues,bleus,5,F,S,bleues,-11.487492,bleus,-13.472776,1
17,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien noires <eos>,7,noires,noirs,5,F,S,noires,-9.436459,noirs,-11.264696,1
18,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien délicates <eos>,7,délicates,délicats,5,F,S,délicates,-10.680832,délicats,-12.306676,1
19,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien pointues <eos>,7,pointues,pointus,5,F,S,pointues,-9.382428,pointus,-13.977337,1
20,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien rondes <eos>,7,rondes,ronds,5,F,S,rondes,-9.184638,ronds,-13.579262,1
21,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien froides <eos>,7,froides,froids,5,F,S,froides,-9.981854,froids,-14.883915,1
22,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien chaudes <eos>,7,chaudes,chauds,5,F,S,chaudes,-10.057309,chauds,-14.259218,1
23,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien importantes <eos>,7,importantes,importants,5,F,S,importantes,-9.031059,importants,-12.941212,1
24,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien courtes <eos>,7,courtes,courts,5,F,S,courtes,-9.14592,courts,-11.410126,1
25,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien dures <eos>,7,dures,durs,5,F,S,dures,-9.507516,durs,-13.067816,1
26,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien claires <eos>,7,claires,clairs,5,F,S,claires,-9.270506,clairs,-13.332084,1
27,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien intéressantes <eos>,7,intéressantes,intéressants,5,F,S,intéressantes,-9.863755,intéressants,-12.974969,1
28,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien brillantes <eos>,7,brillantes,brillants,5,F,S,brillantes,-9.988052,brillants,-13.2778225,1
29,P_NOUN_2_ADJ_b,F,P,les gemmes avec la chaise sont bien compliquées <eos>,7,compliquées,compliqués,5,F,S,compliquées,-8.975488,compliqués,-12.489859,1
30,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien vertes <eos>,7,vertes,verts,5,F,S,vertes,-9.896395,verts,-13.340692,1
31,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien bleues <eos>,7,bleues,bleus,5,F,S,bleues,-11.144271,bleus,-12.519391,1
32,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien noires <eos>,7,noires,noirs,5,F,S,noires,-9.175503,noirs,-10.870659,1
33,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien délicates <eos>,7,délicates,délicats,5,F,S,délicates,-10.465792,délicats,-12.011124,1
34,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien pointues <eos>,7,pointues,pointus,5,F,S,pointues,-9.90221,pointus,-13.642715,1
35,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien rondes <eos>,7,rondes,ronds,5,F,S,rondes,-10.208107,ronds,-12.325257,1
36,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien froides <eos>,7,froides,froids,5,F,S,froides,-10.612658,froids,-14.013645,1
37,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien chaudes <eos>,7,chaudes,chauds,5,F,S,chaudes,-10.324444,chauds,-13.841347,1
38,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien importantes <eos>,7,importantes,importants,5,F,S,importantes,-8.470024,importants,-11.913431,1
39,P_NOUN_2_ADJ_b,F,P,les gemmes avec la poubelle sont bien courtes <eos>,7,courtes,courts,5,F,S,courtes,-10.117811,courts,-11.564877,1
