,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas achetées <eos>,16,achetées,achetés,14,M,S,achetées,-10.542786,achetés,-10.668516,1
1,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas brisées <eos>,16,brisées,brisés,14,M,S,brisées,-10.446272,brisés,-12.754227,1
2,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas cachées <eos>,16,cachées,cachés,14,M,S,cachées,-7.5693154,cachés,-9.127487,1
3,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas cassées <eos>,16,cassées,cassés,14,M,S,cassées,-10.0625,cassés,-12.381411,1
4,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas couvertes <eos>,16,couvertes,couverts,14,M,S,couvertes,-8.123611,couverts,-10.170988,1
5,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas déformées <eos>,16,déformées,déformés,14,M,S,déformées,-8.109692,déformés,-12.712486,1
6,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas fixées <eos>,16,fixées,fixés,14,M,S,fixées,-8.252688,fixés,-11.091632,1
7,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas jetées <eos>,16,jetées,jetés,14,M,S,jetées,-9.345287,jetés,-11.687471,1
8,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas laissées <eos>,16,laissées,laissés,14,M,S,laissées,-7.643187,laissés,-10.089947,1
9,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas ouvertes <eos>,16,ouvertes,ouverts,14,M,S,ouvertes,-8.387679,ouverts,-9.932513,1
10,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas perdues <eos>,16,perdues,perdus,14,M,S,perdues,-7.6171045,perdus,-8.514112,1
11,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas réparées <eos>,16,réparées,réparés,14,M,S,réparées,-11.337522,réparés,-13.24062,1
12,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas retirées <eos>,16,retirées,retirés,14,M,S,retirées,-8.332425,retirés,-11.017451,1
13,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas tombées <eos>,16,tombées,tombés,14,M,S,tombées,-7.703412,tombés,-9.832912,1
14,P_NOUN_11_PASS_a,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup ne sont probablement pas utilisées <eos>,16,utilisées,utilisés,14,M,S,utilisées,-5.7021422,utilisés,-7.9219737,1
15,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas achetées <eos>,16,achetées,achetés,14,M,S,achetées,-9.936724,achetés,-11.644848,1
16,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas brisées <eos>,16,brisées,brisés,14,M,S,brisées,-10.226397,brisés,-12.850791,1
17,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas cachées <eos>,16,cachées,cachés,14,M,S,cachées,-7.0977354,cachés,-9.350827,1
18,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas cassées <eos>,16,cassées,cassés,14,M,S,cassées,-9.799682,cassés,-12.252353,1
19,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas couvertes <eos>,16,couvertes,couverts,14,M,S,couvertes,-7.9418325,couverts,-10.424785,1
20,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas déformées <eos>,16,déformées,déformés,14,M,S,déformées,-7.710162,déformés,-12.436319,1
21,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas fixées <eos>,16,fixées,fixés,14,M,S,fixées,-8.162359,fixés,-11.494825,1
22,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas jetées <eos>,16,jetées,jetés,14,M,S,jetées,-9.351804,jetés,-11.934171,1
23,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas laissées <eos>,16,laissées,laissés,14,M,S,laissées,-7.640052,laissés,-10.642088,1
24,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas ouvertes <eos>,16,ouvertes,ouverts,14,M,S,ouvertes,-7.8348913,ouverts,-9.855257,1
25,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas perdues <eos>,16,perdues,perdus,14,M,S,perdues,-7.608818,perdus,-8.875408,1
26,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas réparées <eos>,16,réparées,réparés,14,M,S,réparées,-10.934247,réparés,-13.317089,1
27,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas retirées <eos>,16,retirées,retirés,14,M,S,retirées,-7.867545,retirés,-11.250697,1
28,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas tombées <eos>,16,tombées,tombés,14,M,S,tombées,-7.364798,tombés,-10.10646,1
29,P_NOUN_11_PASS_a,F,P,les gemmes avec le miroir près de moi que j' aime beaucoup ne sont probablement pas utilisées <eos>,16,utilisées,utilisés,14,M,S,utilisées,-5.652867,utilisés,-8.168495,1
30,P_NOUN_11_PASS_a,F,P,les gemmes avec le crayon près de moi que j' aime beaucoup ne sont probablement pas achetées <eos>,16,achetées,achetés,14,M,S,achetées,-9.656861,achetés,-11.033222,1
31,P_NOUN_11_PASS_a,F,P,les gemmes avec le crayon près de moi que j' aime beaucoup ne sont probablement pas brisées <eos>,16,brisées,brisés,14,M,S,brisées,-10.542277,brisés,-13.140316,1
32,P_NOUN_11_PASS_a,F,P,les gemmes avec le crayon près de moi que j' aime beaucoup ne sont probablement pas cachées <eos>,16,cachées,cachés,14,M,S,cachées,-7.968376,cachés,-9.885259,1
33,P_NOUN_11_PASS_a,F,P,les gemmes avec le crayon près de moi que j' aime beaucoup ne sont probablement pas cassées <eos>,16,cassées,cassés,14,M,S,cassées,-10.063653,cassés,-12.343036,1
34,P_NOUN_11_PASS_a,F,P,les gemmes avec le crayon près de moi que j' aime beaucoup ne sont probablement pas couvertes <eos>,16,couvertes,couverts,14,M,S,couvertes,-8.035465,couverts,-10.472948,1
35,P_NOUN_11_PASS_a,F,P,les gemmes avec le crayon près de moi que j' aime beaucoup ne sont probablement pas déformées <eos>,16,déformées,déformés,14,M,S,déformées,-7.9367394,déformés,-12.751592,1
