,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas achetées . <eos>,10,achetées,achetés,8,achetées,-7.9495926,achetés,-10.150412,1
1,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas brisées . <eos>,10,brisées,brisés,8,brisées,-9.396264,brisés,-14.475839,1
2,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas cachées . <eos>,10,cachées,cachés,8,cachées,-7.897785,cachés,-9.897666,1
3,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas cassées . <eos>,10,cassées,cassés,8,cassées,-10.192492,cassés,-12.518311,1
4,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas couvertes . <eos>,10,couvertes,couverts,8,couvertes,-7.424268,couverts,-9.894009,1
5,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas déformées . <eos>,10,déformées,déformés,8,déformées,-7.9862957,déformés,-13.476532,1
6,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas fixées . <eos>,10,fixées,fixés,8,fixées,-7.7847857,fixés,-10.957417,1
7,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas jetées . <eos>,10,jetées,jetés,8,jetées,-10.646845,jetés,-12.856252,1
8,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas laissées . <eos>,10,laissées,laissés,8,laissées,-7.148076,laissés,-10.76631,1
9,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas ouvertes . <eos>,10,ouvertes,ouverts,8,ouvertes,-8.927999,ouverts,-12.090347,1
10,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas perdues . <eos>,10,perdues,perdus,8,perdues,-6.134854,perdus,-10.073505,1
11,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas réparées . <eos>,10,réparées,réparés,8,réparées,-9.93198,réparés,-13.887816,1
12,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas retirées . <eos>,10,retirées,retirés,8,retirées,-8.294506,retirés,-11.09165,1
13,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas tombées . <eos>,10,tombées,tombés,8,tombées,-8.045545,tombés,-9.671805,1
14,P_NOUN_8_PASS_b,F,P,les gemmes que j' aime beaucoup ne sont probablement pas utilisées . <eos>,10,utilisées,utilisés,8,utilisées,-5.4886866,utilisés,-8.260455,1
15,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas achetées . <eos>,10,achetées,achetés,8,achetées,-8.142292,achetés,-10.563332,1
16,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas brisées . <eos>,10,brisées,brisés,8,brisées,-9.346795,brisés,-13.468438,1
17,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas cachées . <eos>,10,cachées,cachés,8,cachées,-7.9837914,cachés,-10.956413,1
18,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas cassées . <eos>,10,cassées,cassés,8,cassées,-8.805097,cassés,-11.777485,1
19,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas couvertes . <eos>,10,couvertes,couverts,8,couvertes,-5.734997,couverts,-7.551564,1
20,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas déformées . <eos>,10,déformées,déformés,8,déformées,-8.404707,déformés,-13.927666,1
21,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas fixées . <eos>,10,fixées,fixés,8,fixées,-7.4478617,fixés,-10.519298,1
22,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas jetées . <eos>,10,jetées,jetés,8,jetées,-8.858923,jetés,-11.113936,1
23,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas laissées . <eos>,10,laissées,laissés,8,laissées,-6.301483,laissés,-9.673255,1
24,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas ouvertes . <eos>,10,ouvertes,ouverts,8,ouvertes,-8.605455,ouverts,-11.969486,1
25,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas perdues . <eos>,10,perdues,perdus,8,perdues,-7.22542,perdus,-10.387422,1
26,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas réparées . <eos>,10,réparées,réparés,8,réparées,-7.973727,réparés,-13.17227,1
27,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas retirées . <eos>,10,retirées,retirés,8,retirées,-7.500591,retirés,-11.472418,1
28,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas tombées . <eos>,10,tombées,tombés,8,tombées,-7.9609222,tombés,-10.128892,1
29,P_NOUN_8_PASS_b,F,P,les chaises que j' aime beaucoup ne sont probablement pas utilisées . <eos>,10,utilisées,utilisés,8,utilisées,-5.454071,utilisés,-8.131541,1
30,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas achetées . <eos>,10,achetées,achetés,8,achetées,-9.361379,achetés,-11.311946,1
31,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas brisées . <eos>,10,brisées,brisés,8,brisées,-8.308717,brisés,-13.295582,1
32,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas cachées . <eos>,10,cachées,cachés,8,cachées,-7.319869,cachés,-10.302361,1
33,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas cassées . <eos>,10,cassées,cassés,8,cassées,-7.8159723,cassés,-10.956476,1
34,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas couvertes . <eos>,10,couvertes,couverts,8,couvertes,-5.3034153,couverts,-8.308167,1
35,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas déformées . <eos>,10,déformées,déformés,8,déformées,-8.4990225,déformés,-13.90674,1
36,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas fixées . <eos>,10,fixées,fixés,8,fixées,-7.3923106,fixés,-11.448343,1
37,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas jetées . <eos>,10,jetées,jetés,8,jetées,-8.366126,jetés,-9.932804,1
38,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas laissées . <eos>,10,laissées,laissés,8,laissées,-6.656846,laissés,-9.533785,1
39,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas ouvertes . <eos>,10,ouvertes,ouverts,8,ouvertes,-7.98973,ouverts,-11.173768,1
40,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas perdues . <eos>,10,perdues,perdus,8,perdues,-7.8454566,perdus,-11.301842,1
41,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas réparées . <eos>,10,réparées,réparés,8,réparées,-8.382969,réparés,-12.829991,1
42,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas retirées . <eos>,10,retirées,retirés,8,retirées,-7.48122,retirés,-10.951763,1
43,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas tombées . <eos>,10,tombées,tombés,8,tombées,-7.394848,tombés,-10.499689,1
44,P_NOUN_8_PASS_b,F,P,les poubelles que j' aime beaucoup ne sont probablement pas utilisées . <eos>,10,utilisées,utilisés,8,utilisées,-5.3500805,utilisés,-8.285504,1
45,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas achetées . <eos>,10,achetées,achetés,8,achetées,-8.336134,achetés,-10.805202,1
46,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas brisées . <eos>,10,brisées,brisés,8,brisées,-9.824009,brisés,-13.599914,1
47,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas cachées . <eos>,10,cachées,cachés,8,cachées,-8.874975,cachés,-10.875158,1
48,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas cassées . <eos>,10,cassées,cassés,8,cassées,-9.617108,cassés,-11.412114,1
49,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas couvertes . <eos>,10,couvertes,couverts,8,couvertes,-6.9363947,couverts,-9.391299,1
50,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas déformées . <eos>,10,déformées,déformés,8,déformées,-8.650992,déformés,-14.088113,1
51,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas fixées . <eos>,10,fixées,fixés,8,fixées,-7.9867363,fixés,-11.2221775,1
52,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas jetées . <eos>,10,jetées,jetés,8,jetées,-9.906751,jetés,-11.227756,1
53,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas laissées . <eos>,10,laissées,laissés,8,laissées,-7.222493,laissés,-9.950295,1
54,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas ouvertes . <eos>,10,ouvertes,ouverts,8,ouvertes,-8.758736,ouverts,-11.932566,1
55,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas perdues . <eos>,10,perdues,perdus,8,perdues,-8.019505,perdus,-11.538757,1
56,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas réparées . <eos>,10,réparées,réparés,8,réparées,-8.811817,réparés,-13.451607,1
57,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas retirées . <eos>,10,retirées,retirés,8,retirées,-8.08778,retirés,-11.015654,1
58,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas tombées . <eos>,10,tombées,tombés,8,tombées,-8.124735,tombés,-9.632742,1
59,P_NOUN_8_PASS_b,F,P,les chemises que j' aime beaucoup ne sont probablement pas utilisées . <eos>,10,utilisées,utilisés,8,utilisées,-5.2775016,utilisés,-8.009377,1
60,P_NOUN_8_PASS_b,F,P,les recettes que j' aime beaucoup ne sont probablement pas achetées . <eos>,10,achetées,achetés,8,achetées,-8.938363,achetés,-10.630318,1
61,P_NOUN_8_PASS_b,F,P,les recettes que j' aime beaucoup ne sont probablement pas brisées . <eos>,10,brisées,brisés,8,brisées,-9.131443,brisés,-15.452515,1
62,P_NOUN_8_PASS_b,F,P,les recettes que j' aime beaucoup ne sont probablement pas cachées . <eos>,10,cachées,cachés,8,cachées,-9.660067,cachés,-11.9750395,1
63,P_NOUN_8_PASS_b,F,P,les recettes que j' aime beaucoup ne sont probablement pas cassées . <eos>,10,cassées,cassés,8,cassées,-10.134336,cassés,-13.340522,1
