,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas vertes <eos>,12,vertes,verts,10,M,S,vertes,-8.603007,verts,-10.664438,1
1,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas bleues <eos>,12,bleues,bleus,10,M,S,bleues,-9.6218,bleus,-11.081313,1
2,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas noires <eos>,12,noires,noirs,10,M,S,noires,-8.090215,noirs,-8.841034,1
3,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas délicates <eos>,12,délicates,délicats,10,M,S,délicates,-11.892632,délicats,-14.277651,1
4,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas pointues <eos>,12,pointues,pointus,10,M,S,pointues,-10.772008,pointus,-13.163906,1
5,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas rondes <eos>,12,rondes,ronds,10,M,S,rondes,-11.728647,ronds,-12.815861,1
6,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas froides <eos>,12,froides,froids,10,M,S,froides,-8.420957,froids,-13.603194,1
7,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-10.502891,chauds,-13.346838,1
8,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas importantes <eos>,12,importantes,importants,10,M,S,importantes,-8.442991,importants,-12.275338,1
9,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas courtes <eos>,12,courtes,courts,10,M,S,courtes,-9.743028,courts,-12.584864,1
10,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas dures <eos>,12,dures,durs,10,M,S,dures,-8.81212,durs,-11.805145,1
11,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas claires <eos>,12,claires,clairs,10,M,S,claires,-6.1367216,clairs,-9.982084,1
12,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-9.163429,intéressants,-10.8108015,1
13,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-7.1188717,brillants,-10.569197,1
14,P_NOUN_7_ADJ_b,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-11.982202,compliqués,-14.146587,1
15,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas vertes <eos>,12,vertes,verts,10,M,S,vertes,-7.3907638,verts,-11.102833,1
16,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas bleues <eos>,12,bleues,bleus,10,M,S,bleues,-8.904455,bleus,-10.474683,1
17,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas noires <eos>,12,noires,noirs,10,M,S,noires,-7.687092,noirs,-8.468073,1
18,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas délicates <eos>,12,délicates,délicats,10,M,S,délicates,-11.398149,délicats,-13.994236,1
19,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas pointues <eos>,12,pointues,pointus,10,M,S,pointues,-10.497362,pointus,-12.885949,1
20,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas rondes <eos>,12,rondes,ronds,10,M,S,rondes,-11.296593,ronds,-12.444997,1
21,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas froides <eos>,12,froides,froids,10,M,S,froides,-7.994755,froids,-13.284001,1
22,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-10.014498,chauds,-13.095661,1
23,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas importantes <eos>,12,importantes,importants,10,M,S,importantes,-8.290774,importants,-12.387875,1
24,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas courtes <eos>,12,courtes,courts,10,M,S,courtes,-9.668745,courts,-12.564685,1
25,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas dures <eos>,12,dures,durs,10,M,S,dures,-8.695757,durs,-11.52133,1
26,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas claires <eos>,12,claires,clairs,10,M,S,claires,-5.8974924,clairs,-9.812794,1
27,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-8.711525,intéressants,-10.925381,1
28,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-6.20165,brillants,-10.235254,1
29,P_NOUN_7_ADJ_b,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-11.967991,compliqués,-14.013838,1
30,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas vertes <eos>,12,vertes,verts,10,M,S,vertes,-7.9935,verts,-11.472073,1
31,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas bleues <eos>,12,bleues,bleus,10,M,S,bleues,-9.14824,bleus,-10.666667,1
32,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas noires <eos>,12,noires,noirs,10,M,S,noires,-7.576844,noirs,-8.621239,1
33,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas délicates <eos>,12,délicates,délicats,10,M,S,délicates,-10.979952,délicats,-13.420467,1
34,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas pointues <eos>,12,pointues,pointus,10,M,S,pointues,-10.665727,pointus,-13.6045265,1
35,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas rondes <eos>,12,rondes,ronds,10,M,S,rondes,-11.522284,ronds,-12.412531,1
36,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas froides <eos>,12,froides,froids,10,M,S,froides,-8.2574215,froids,-13.721743,1
37,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-10.19128,chauds,-13.370894,1
38,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas importantes <eos>,12,importantes,importants,10,M,S,importantes,-7.988671,importants,-12.045473,1
39,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas courtes <eos>,12,courtes,courts,10,M,S,courtes,-9.33924,courts,-12.785074,1
40,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas dures <eos>,12,dures,durs,10,M,S,dures,-8.408667,durs,-10.755835,1
41,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas claires <eos>,12,claires,clairs,10,M,S,claires,-5.5393825,clairs,-9.295757,1
42,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-8.372984,intéressants,-10.640176,1
43,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-6.016284,brillants,-9.950016,1
44,P_NOUN_7_ADJ_b,F,P,les gemmes avec le crayon que j' aime beaucoup ne sont pas compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-11.285261,compliqués,-14.062649,1
45,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas vertes <eos>,12,vertes,verts,10,M,S,vertes,-7.4555573,verts,-11.072556,1
46,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas bleues <eos>,12,bleues,bleus,10,M,S,bleues,-9.023241,bleus,-10.371519,1
47,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas noires <eos>,12,noires,noirs,10,M,S,noires,-7.4870114,noirs,-8.572025,1
48,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas délicates <eos>,12,délicates,délicats,10,M,S,délicates,-11.309688,délicats,-14.061169,1
49,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas pointues <eos>,12,pointues,pointus,10,M,S,pointues,-10.40814,pointus,-12.839558,1
50,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas rondes <eos>,12,rondes,ronds,10,M,S,rondes,-11.076313,ronds,-12.268223,1
51,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas froides <eos>,12,froides,froids,10,M,S,froides,-7.9750977,froids,-13.080991,1
52,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-10.097479,chauds,-13.216204,1
53,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas importantes <eos>,12,importantes,importants,10,M,S,importantes,-8.389192,importants,-12.312355,1
54,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas courtes <eos>,12,courtes,courts,10,M,S,courtes,-9.732813,courts,-12.450581,1
55,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas dures <eos>,12,dures,durs,10,M,S,dures,-8.68846,durs,-11.2082615,1
56,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas claires <eos>,12,claires,clairs,10,M,S,claires,-5.266897,clairs,-9.052499,1
57,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-8.948124,intéressants,-10.881309,1
58,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-6.6204453,brillants,-10.367173,1
59,P_NOUN_7_ADJ_b,F,P,les gemmes avec le rideau que j' aime beaucoup ne sont pas compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-12.061298,compliqués,-14.289761,1
60,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas vertes <eos>,12,vertes,verts,10,M,S,vertes,-7.954618,verts,-11.196371,1
61,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas bleues <eos>,12,bleues,bleus,10,M,S,bleues,-9.1441555,bleus,-10.588205,1
62,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas noires <eos>,12,noires,noirs,10,M,S,noires,-7.6126494,noirs,-8.338507,1
63,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas délicates <eos>,12,délicates,délicats,10,M,S,délicates,-10.952824,délicats,-13.35885,1
64,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas pointues <eos>,12,pointues,pointus,10,M,S,pointues,-10.84385,pointus,-13.1837225,1
65,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas rondes <eos>,12,rondes,ronds,10,M,S,rondes,-11.155401,ronds,-12.137987,1
66,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas froides <eos>,12,froides,froids,10,M,S,froides,-8.263046,froids,-13.028919,1
67,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-9.92139,chauds,-12.802989,1
68,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas importantes <eos>,12,importantes,importants,10,M,S,importantes,-8.485297,importants,-12.135271,1
69,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas courtes <eos>,12,courtes,courts,10,M,S,courtes,-9.132325,courts,-11.762598,1
70,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas dures <eos>,12,dures,durs,10,M,S,dures,-8.7046795,durs,-11.201587,1
71,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas claires <eos>,12,claires,clairs,10,M,S,claires,-5.3877892,clairs,-8.871677,1
72,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-8.444126,intéressants,-10.318613,1
73,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-6.9318643,brillants,-10.926033,1
74,P_NOUN_7_ADJ_b,F,P,les gemmes avec le cahier que j' aime beaucoup ne sont pas compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-11.838561,compliqués,-13.956226,1
75,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas vertes <eos>,12,vertes,verts,10,M,S,vertes,-7.6962786,verts,-11.13621,1
76,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas bleues <eos>,12,bleues,bleus,10,M,S,bleues,-9.016332,bleus,-10.542782,1
77,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas noires <eos>,12,noires,noirs,10,M,S,noires,-7.3897014,noirs,-8.584036,1
78,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas délicates <eos>,12,délicates,délicats,10,M,S,délicates,-11.471291,délicats,-13.752171,1
79,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas pointues <eos>,12,pointues,pointus,10,M,S,pointues,-10.556566,pointus,-13.021551,1
80,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas rondes <eos>,12,rondes,ronds,10,M,S,rondes,-11.05397,ronds,-12.147444,1
81,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas froides <eos>,12,froides,froids,10,M,S,froides,-7.61265,froids,-13.04532,1
82,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-9.863054,chauds,-12.799713,1
83,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas importantes <eos>,12,importantes,importants,10,M,S,importantes,-8.6424465,importants,-12.608608,1
84,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas courtes <eos>,12,courtes,courts,10,M,S,courtes,-9.06762,courts,-12.382728,1
85,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas dures <eos>,12,dures,durs,10,M,S,dures,-8.777892,durs,-11.364213,1
86,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas claires <eos>,12,claires,clairs,10,M,S,claires,-5.3048925,clairs,-9.501824,1
87,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-8.839664,intéressants,-10.90065,1
88,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-6.6031475,brillants,-10.666674,1
89,P_NOUN_7_ADJ_b,F,P,les gemmes avec le micro que j' aime beaucoup ne sont pas compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-11.882953,compliqués,-14.1648,1
90,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas vertes <eos>,12,vertes,verts,10,M,S,vertes,-7.8205185,verts,-11.094166,1
91,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas bleues <eos>,12,bleues,bleus,10,M,S,bleues,-9.055804,bleus,-10.661079,1
92,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas noires <eos>,12,noires,noirs,10,M,S,noires,-7.420515,noirs,-8.711861,1
93,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas délicates <eos>,12,délicates,délicats,10,M,S,délicates,-11.707595,délicats,-13.831501,1
94,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas pointues <eos>,12,pointues,pointus,10,M,S,pointues,-10.452345,pointus,-12.898245,1
95,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas rondes <eos>,12,rondes,ronds,10,M,S,rondes,-12.2856,ronds,-11.9991,0
96,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas froides <eos>,12,froides,froids,10,M,S,froides,-7.981939,froids,-13.673646,1
97,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-9.964987,chauds,-12.938631,1
98,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas importantes <eos>,12,importantes,importants,10,M,S,importantes,-8.111704,importants,-12.2372055,1
99,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas courtes <eos>,12,courtes,courts,10,M,S,courtes,-9.71525,courts,-12.748163,1
100,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas dures <eos>,12,dures,durs,10,M,S,dures,-8.570329,durs,-11.045946,1
101,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas claires <eos>,12,claires,clairs,10,M,S,claires,-6.0788994,clairs,-9.779726,1
102,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-8.662406,intéressants,-10.872452,1
103,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-7.004113,brillants,-10.486313,1
104,P_NOUN_7_ADJ_b,F,P,les gemmes avec le sac que j' aime beaucoup ne sont pas compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-12.034227,compliqués,-14.205383,1
105,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas vertes <eos>,12,vertes,verts,10,M,S,vertes,-8.812096,verts,-11.77009,1
106,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas bleues <eos>,12,bleues,bleus,10,M,S,bleues,-9.965082,bleus,-11.414275,1
107,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas noires <eos>,12,noires,noirs,10,M,S,noires,-8.054781,noirs,-9.357046,1
108,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas délicates <eos>,12,délicates,délicats,10,M,S,délicates,-12.014527,délicats,-14.137859,1
109,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas pointues <eos>,12,pointues,pointus,10,M,S,pointues,-10.743861,pointus,-13.697579,1
110,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas rondes <eos>,12,rondes,ronds,10,M,S,rondes,-11.683462,ronds,-12.367146,1
111,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas froides <eos>,12,froides,froids,10,M,S,froides,-8.758244,froids,-14.005489,1
112,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-10.702475,chauds,-14.113979,1
113,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas importantes <eos>,12,importantes,importants,10,M,S,importantes,-8.431173,importants,-12.234267,1
114,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas courtes <eos>,12,courtes,courts,10,M,S,courtes,-9.087103,courts,-12.599934,1
115,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas dures <eos>,12,dures,durs,10,M,S,dures,-9.680045,durs,-11.090075,1
116,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas claires <eos>,12,claires,clairs,10,M,S,claires,-6.2523384,clairs,-10.079865,1
117,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-8.878405,intéressants,-10.761292,1
118,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-7.46896,brillants,-11.67263,1
119,P_NOUN_7_ADJ_b,F,P,les gemmes avec le clavier que j' aime beaucoup ne sont pas compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-11.258735,compliqués,-13.444662,1
120,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas vertes <eos>,12,vertes,verts,10,M,S,vertes,-7.521011,verts,-11.048538,1
121,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas bleues <eos>,12,bleues,bleus,10,M,S,bleues,-9.16246,bleus,-11.032654,1
122,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas noires <eos>,12,noires,noirs,10,M,S,noires,-7.563058,noirs,-8.986528,1
123,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas délicates <eos>,12,délicates,délicats,10,M,S,délicates,-10.970537,délicats,-13.700348,1
124,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas pointues <eos>,12,pointues,pointus,10,M,S,pointues,-11.311395,pointus,-13.864643,1
125,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas rondes <eos>,12,rondes,ronds,10,M,S,rondes,-11.603916,ronds,-11.96972,1
126,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas froides <eos>,12,froides,froids,10,M,S,froides,-7.748826,froids,-13.904738,1
127,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-9.266602,chauds,-12.811618,1
128,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas importantes <eos>,12,importantes,importants,10,M,S,importantes,-7.913039,importants,-12.282042,1
129,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas courtes <eos>,12,courtes,courts,10,M,S,courtes,-10.402195,courts,-13.414097,1
130,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas dures <eos>,12,dures,durs,10,M,S,dures,-8.827414,durs,-12.2026205,1
131,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas claires <eos>,12,claires,clairs,10,M,S,claires,-5.515757,clairs,-10.180685,1
132,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-8.552039,intéressants,-11.742934,1
133,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-7.5806065,brillants,-11.139855,1
134,P_NOUN_7_ADJ_b,F,P,les gemmes avec le raisin que j' aime beaucoup ne sont pas compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-12.9603615,compliqués,-16.1753,1
