Paradigm,Model,Percent_Corr
S_NOUN_4_PASS_a,m650_init73,0.999833333
S_NOUN_9_PASS_a,m650_init73,0.999083333
S_NOUN_6_PASS_a,m650_init73,0.997083333
S_NOUN_2_PASS_b,m650_init73,0.998
S_NOUN_6_PASS_b,m650_init73,0.999083333
S_NOUN_4_PASS_b,m650_init73,0.995666667
S_NOUN_8_PASS_a,m650_init73,0.997916667
S_NOUN_8_PASS_b,m650_init73,1
S_NOUN_10_PASS_a,m650_init73,0.9975
S_NOUN_1_PASS_a,m650_init73,0.99525
S_NOUN_4_PASS_c,m650_init73,0.999166667
S_NOUN_1_PASS_b,m650_init73,0.997416667
S_NOUN_4_PASS_d,m650_init73,0.99975
S_NOUN_8_PASS_c,m650_init73,1
S_NOUN_11_PASS_b,m650_init73,0.998333333
S_NOUN_7_PASS_b,m650_init73,0.999916667
S_NOUN_7_PASS_a,m650_init73,1
S_NOUN_5_PASS_a,m650_init73,0.998333333
S_NOUN_5_PASS_b,m650_init73,0.998166667
S_NOUN_10_PASS_b,m650_init73,1
S_NOUN_11_PASS_a,m650_init73,1
S_NOUN_5_PASS_c,m650_init73,0.999333333
S_NOUN_6_PASS_c,m650_init73,0.996916667
S_NOUN_2_PASS_a,m650_init73,0.9975
S_NOUN_9_PASS_b,m650_init73,0.999666667
S_NOUN_3_PASS_b,m650_init73,0.998
S_NOUN_7_PASS_c,m650_init73,0.998666667
S_NOUN_3_PASS_a,m650_init73,0.999416667
S_NOUN_4_PASS_a,m650_init73,0.999833333
S_NOUN_9_PASS_a,m650_init73,0.999083333
S_NOUN_6_PASS_a,m650_init73,0.997083333
S_NOUN_2_PASS_b,m650_init73,0.998
S_NOUN_6_PASS_b,m650_init73,0.999083333
S_NOUN_4_PASS_b,m650_init73,0.995666667
S_NOUN_8_PASS_a,m650_init73,0.997916667
S_NOUN_8_PASS_b,m650_init73,1
S_NOUN_10_PASS_a,m650_init73,0.9975
S_NOUN_1_PASS_a,m650_init73,0.99525
S_NOUN_4_PASS_c,m650_init73,0.999166667
S_NOUN_1_PASS_b,m650_init73,0.997416667
S_NOUN_4_PASS_d,m650_init73,0.99975
S_NOUN_8_PASS_c,m650_init73,1
S_NOUN_11_PASS_b,m650_init73,0.998333333
S_NOUN_7_PASS_b,m650_init73,0.999916667
S_NOUN_7_PASS_a,m650_init73,1
S_NOUN_5_PASS_a,m650_init73,0.998333333
S_NOUN_5_PASS_b,m650_init73,0.998166667
S_NOUN_10_PASS_b,m650_init73,1
S_NOUN_11_PASS_a,m650_init73,1
S_NOUN_5_PASS_c,m650_init73,0.999333333
S_NOUN_6_PASS_c,m650_init73,0.996916667
S_NOUN_2_PASS_a,m650_init73,0.9975
S_NOUN_9_PASS_b,m650_init73,0.999666667
S_NOUN_3_PASS_b,m650_init73,0.998
S_NOUN_7_PASS_c,m650_init73,0.998666667
S_NOUN_3_PASS_a,m650_init73,0.999416667
S_NOUN_4_PASS_a,m650_init2483,0.999916667
S_NOUN_9_PASS_a,m650_init2483,0.999666667
S_NOUN_6_PASS_a,m650_init2483,0.999583333
S_NOUN_2_PASS_b,m650_init2483,0.99775
S_NOUN_6_PASS_b,m650_init2483,0.993833333
S_NOUN_4_PASS_b,m650_init2483,0.999916667
S_NOUN_8_PASS_a,m650_init2483,0.999916667
S_NOUN_8_PASS_b,m650_init2483,0.99975
S_NOUN_10_PASS_a,m650_init2483,0.997083333
S_NOUN_1_PASS_a,m650_init2483,0.998166667
S_NOUN_4_PASS_c,m650_init2483,0.998166667
S_NOUN_1_PASS_b,m650_init2483,0.998666667
S_NOUN_4_PASS_d,m650_init2483,0.99975
S_NOUN_8_PASS_c,m650_init2483,0.998166667
S_NOUN_11_PASS_b,m650_init2483,0.999916667
S_NOUN_7_PASS_b,m650_init2483,0.999583333
S_NOUN_7_PASS_a,m650_init2483,0.995
S_NOUN_5_PASS_a,m650_init2483,0.997666667
S_NOUN_5_PASS_b,m650_init2483,0.998083333
S_NOUN_10_PASS_b,m650_init2483,1
S_NOUN_11_PASS_a,m650_init2483,1
S_NOUN_5_PASS_c,m650_init2483,1
S_NOUN_6_PASS_c,m650_init2483,0.997583333
S_NOUN_2_PASS_a,m650_init2483,0.999916667
S_NOUN_9_PASS_b,m650_init2483,1
S_NOUN_3_PASS_b,m650_init2483,0.999833333
S_NOUN_7_PASS_c,m650_init2483,0.999416667
S_NOUN_3_PASS_a,m650_init2483,0.999833333
S_NOUN_4_PASS_a,m650_init220,1
S_NOUN_9_PASS_a,m650_init220,0.998333333
S_NOUN_6_PASS_a,m650_init220,0.998
S_NOUN_2_PASS_b,m650_init220,0.9995
S_NOUN_6_PASS_b,m650_init220,0.974
S_NOUN_4_PASS_b,m650_init220,0.998833333
S_NOUN_8_PASS_a,m650_init220,0.999833333
S_NOUN_8_PASS_b,m650_init220,0.999416667
S_NOUN_10_PASS_a,m650_init220,0.999916667
S_NOUN_1_PASS_a,m650_init220,0.997583333
S_NOUN_4_PASS_c,m650_init220,0.99775
S_NOUN_1_PASS_b,m650_init220,0.997166667
S_NOUN_4_PASS_d,m650_init220,0.999
S_NOUN_8_PASS_c,m650_init220,0.998833333
S_NOUN_11_PASS_b,m650_init220,1
S_NOUN_7_PASS_b,m650_init220,0.9985
S_NOUN_7_PASS_a,m650_init220,0.9975
S_NOUN_5_PASS_a,m650_init220,0.9995
S_NOUN_5_PASS_b,m650_init220,0.999583333
S_NOUN_10_PASS_b,m650_init220,0.998416667
S_NOUN_11_PASS_a,m650_init220,1
S_NOUN_5_PASS_c,m650_init220,0.999916667
S_NOUN_6_PASS_c,m650_init220,0.9985
S_NOUN_2_PASS_a,m650_init220,0.999
S_NOUN_9_PASS_b,m650_init220,0.999583333
S_NOUN_3_PASS_b,m650_init220,0.999583333
S_NOUN_7_PASS_c,m650_init220,0.99925
S_NOUN_3_PASS_a,m650_init220,0.999916667
S_NOUN_4_PASS_a,m650_init704,0.999916667
S_NOUN_9_PASS_a,m650_init704,1
S_NOUN_6_PASS_a,m650_init704,0.998916667
S_NOUN_2_PASS_b,m650_init704,1
S_NOUN_6_PASS_b,m650_init704,0.999333333
S_NOUN_4_PASS_b,m650_init704,1
S_NOUN_8_PASS_a,m650_init704,1
S_NOUN_8_PASS_b,m650_init704,0.999833333
S_NOUN_10_PASS_a,m650_init704,0.999833333
S_NOUN_1_PASS_a,m650_init704,0.998583333
S_NOUN_4_PASS_c,m650_init704,0.999916667
S_NOUN_1_PASS_b,m650_init704,0.999583333
S_NOUN_4_PASS_d,m650_init704,1
S_NOUN_8_PASS_c,m650_init704,0.999666667
S_NOUN_11_PASS_b,m650_init704,1
S_NOUN_7_PASS_b,m650_init704,1
S_NOUN_7_PASS_a,m650_init704,1
S_NOUN_5_PASS_a,m650_init704,1
S_NOUN_5_PASS_b,m650_init704,0.998666667
S_NOUN_10_PASS_b,m650_init704,1
S_NOUN_11_PASS_a,m650_init704,1
S_NOUN_5_PASS_c,m650_init704,1
S_NOUN_6_PASS_c,m650_init704,1
S_NOUN_2_PASS_a,m650_init704,0.99975
S_NOUN_9_PASS_b,m650_init704,0.999916667
S_NOUN_3_PASS_b,m650_init704,1
S_NOUN_7_PASS_c,m650_init704,0.999916667
S_NOUN_3_PASS_a,m650_init704,1
S_NOUN_4_PASS_a,m650_init528,1
S_NOUN_9_PASS_a,m650_init528,1
S_NOUN_6_PASS_a,m650_init528,0.999833333
S_NOUN_2_PASS_b,m650_init528,1
S_NOUN_6_PASS_b,m650_init528,0.997833333
S_NOUN_4_PASS_b,m650_init528,0.998416667
S_NOUN_8_PASS_a,m650_init528,1
S_NOUN_8_PASS_b,m650_init528,1
S_NOUN_10_PASS_a,m650_init528,0.999416667
S_NOUN_1_PASS_a,m650_init528,0.9995
S_NOUN_4_PASS_c,m650_init528,1
S_NOUN_1_PASS_b,m650_init528,1
S_NOUN_4_PASS_d,m650_init528,1
S_NOUN_8_PASS_c,m650_init528,1
S_NOUN_11_PASS_b,m650_init528,1
S_NOUN_7_PASS_b,m650_init528,1
S_NOUN_7_PASS_a,m650_init528,0.9995
S_NOUN_5_PASS_a,m650_init528,1
S_NOUN_5_PASS_b,m650_init528,1
S_NOUN_10_PASS_b,m650_init528,1
S_NOUN_11_PASS_a,m650_init528,1
S_NOUN_5_PASS_c,m650_init528,1
S_NOUN_6_PASS_c,m650_init528,1
S_NOUN_2_PASS_a,m650_init528,1
S_NOUN_9_PASS_b,m650_init528,1
S_NOUN_3_PASS_b,m650_init528,0.999916667
S_NOUN_7_PASS_c,m650_init528,1
S_NOUN_3_PASS_a,m650_init528,1
