,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement achetées <eos>,11,achetées,achetés,9,M,achetées,-8.929888,achetés,-7.5887027,0
1,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement brisées <eos>,11,brisées,brisés,9,M,brisées,-7.345728,brisés,-12.323403,1
2,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement cachées <eos>,11,cachées,cachés,9,M,cachées,-6.22287,cachés,-8.705396,1
3,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement cassées <eos>,11,cassées,cassés,9,M,cassées,-8.958775,cassés,-11.086291,1
4,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement couvertes <eos>,11,couvertes,couverts,9,M,couvertes,-8.508714,couverts,-8.468092,0
5,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement déformées <eos>,11,déformées,déformés,9,M,déformées,-7.825719,déformés,-12.565877,1
6,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement fixées <eos>,11,fixées,fixés,9,M,fixées,-6.6539593,fixés,-10.813155,1
7,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement jetées <eos>,11,jetées,jetés,9,M,jetées,-9.640022,jetés,-11.624672,1
8,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement laissées <eos>,11,laissées,laissés,9,M,laissées,-8.000949,laissés,-10.491844,1
9,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement ouvertes <eos>,11,ouvertes,ouverts,9,M,ouvertes,-8.901327,ouverts,-11.05324,1
10,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement perdues <eos>,11,perdues,perdus,9,M,perdues,-8.5479965,perdus,-9.219486,1
11,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement réparées <eos>,11,réparées,réparés,9,M,réparées,-10.749875,réparés,-14.275071,1
12,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement retirées <eos>,11,retirées,retirés,9,M,retirées,-8.731757,retirés,-9.021348,1
13,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement tombées <eos>,11,tombées,tombés,9,M,tombées,-9.832717,tombés,-9.830383,0
14,P_NOUN_6_PASS_c,F,P,les gemmes avec les bracelets qui étaient ici sont aussi probablement utilisées <eos>,11,utilisées,utilisés,9,M,utilisées,-3.535159,utilisés,-5.08331,1
15,P_NOUN_6_PASS_c,F,P,les gemmes avec les miroirs qui étaient ici sont aussi probablement achetées <eos>,11,achetées,achetés,9,M,achetées,-8.608389,achetés,-10.05825,1
16,P_NOUN_6_PASS_c,F,P,les gemmes avec les miroirs qui étaient ici sont aussi probablement brisées <eos>,11,brisées,brisés,9,M,brisées,-8.14147,brisés,-13.977729,1
