,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est achetée <eos>,9,achetée,acheté,7,F,P,achetée,-8.80914,acheté,-10.300174,1
1,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est brisée <eos>,9,brisée,brisé,7,F,P,brisée,-6.720401,brisé,-11.37587,1
2,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est cachée <eos>,9,cachée,caché,7,F,P,cachée,-6.9065084,caché,-8.821823,1
3,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est cassée <eos>,9,cassée,cassé,7,F,P,cassée,-7.7577763,cassé,-10.622325,1
4,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est couverte <eos>,9,couverte,couvert,7,F,P,couverte,-7.4241476,couvert,-10.8137865,1
5,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est déformée <eos>,9,déformée,déformé,7,F,P,déformée,-8.828914,déformé,-12.8409,1
6,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est fixée <eos>,9,fixée,fixé,7,F,P,fixée,-7.7178025,fixé,-10.498886,1
7,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est jetée <eos>,9,jetée,jeté,7,F,P,jetée,-7.341222,jeté,-11.65351,1
8,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est laissée <eos>,9,laissée,laissé,7,F,P,laissée,-7.431143,laissé,-10.583325,1
9,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est ouverte <eos>,9,ouverte,ouvert,7,F,P,ouverte,-7.375535,ouvert,-10.805636,1
10,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est perdue <eos>,9,perdue,perdu,7,F,P,perdue,-6.61149,perdu,-8.775993,1
11,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est réparée <eos>,9,réparée,réparé,7,F,P,réparée,-10.324619,réparé,-13.485942,1
12,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est retirée <eos>,9,retirée,retiré,7,F,P,retirée,-7.017288,retiré,-9.819973,1
13,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est tombée <eos>,9,tombée,tombé,7,F,P,tombée,-7.400215,tombé,-10.018276,1
14,S_NOUN_4_PASS_d,F,S,la gemme avec les gemmes près de moi est utilisée <eos>,9,utilisée,utilisé,7,F,P,utilisée,-4.643629,utilisé,-7.9638214,1
15,S_NOUN_4_PASS_d,F,S,la gemme avec les chaises près de moi est achetée <eos>,9,achetée,acheté,7,F,P,achetée,-7.9874153,acheté,-11.119285,1
