,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est achetée <eos>,6,achetée,acheté,4,F,achetée,-7.9660263,acheté,-11.041161,1
1,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est brisée <eos>,6,brisée,brisé,4,F,brisée,-7.5843115,brisé,-9.809147,1
2,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est cachée <eos>,6,cachée,caché,4,F,cachée,-6.633798,caché,-10.2543335,1
3,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est cassée <eos>,6,cassée,cassé,4,F,cassée,-6.7250195,cassé,-9.386491,1
4,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est couverte <eos>,6,couverte,couvert,4,F,couverte,-6.906643,couvert,-10.842301,1
5,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est déformée <eos>,6,déformée,déformé,4,F,déformée,-9.189019,déformé,-11.288446,1
6,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est fixée <eos>,6,fixée,fixé,4,F,fixée,-6.9194937,fixé,-9.338881,1
7,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est jetée <eos>,6,jetée,jeté,4,F,jetée,-7.259499,jeté,-10.247634,1
8,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est laissée <eos>,6,laissée,laissé,4,F,laissée,-8.204212,laissé,-10.468978,1
9,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est ouverte <eos>,6,ouverte,ouvert,4,F,ouverte,-6.53312,ouvert,-9.552483,1
10,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est perdue <eos>,6,perdue,perdu,4,F,perdue,-7.7552443,perdu,-9.831085,1
11,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est réparée <eos>,6,réparée,réparé,4,F,réparée,-10.399923,réparé,-12.558207,1
12,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est retirée <eos>,6,retirée,retiré,4,F,retirée,-7.9853554,retiré,-8.862107,1
13,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est tombée <eos>,6,tombée,tombé,4,F,tombée,-8.662165,tombé,-10.085798,1
14,S_NOUN_1_PASS_a,F,S,la gemme avec la chaise est utilisée <eos>,6,utilisée,utilisé,4,F,utilisée,-5.5303884,utilisé,-8.466055,1
15,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est achetée <eos>,6,achetée,acheté,4,F,achetée,-6.2342415,acheté,-10.0037565,1
16,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est brisée <eos>,6,brisée,brisé,4,F,brisée,-6.0591264,brisé,-9.6160145,1
17,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est cachée <eos>,6,cachée,caché,4,F,cachée,-5.779235,caché,-9.298948,1
18,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est cassée <eos>,6,cassée,cassé,4,F,cassée,-6.0735974,cassé,-9.263089,1
19,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est couverte <eos>,6,couverte,couvert,4,F,couverte,-6.779984,couvert,-10.879154,1
20,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est déformée <eos>,6,déformée,déformé,4,F,déformée,-9.462471,déformé,-11.482409,1
21,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est fixée <eos>,6,fixée,fixé,4,F,fixée,-5.9899626,fixé,-9.097469,1
22,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est jetée <eos>,6,jetée,jeté,4,F,jetée,-5.7345505,jeté,-9.145628,1
23,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est laissée <eos>,6,laissée,laissé,4,F,laissée,-6.681227,laissé,-9.750858,1
24,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est ouverte <eos>,6,ouverte,ouvert,4,F,ouverte,-6.733292,ouvert,-10.291748,1
25,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est perdue <eos>,6,perdue,perdu,4,F,perdue,-6.521727,perdu,-9.262918,1
26,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est réparée <eos>,6,réparée,réparé,4,F,réparée,-9.0893955,réparé,-11.345086,1
27,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est retirée <eos>,6,retirée,retiré,4,F,retirée,-6.3896217,retiré,-9.02351,1
28,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est tombée <eos>,6,tombée,tombé,4,F,tombée,-6.8039007,tombé,-9.204373,1
29,S_NOUN_1_PASS_a,F,S,la gemme avec la poubelle est utilisée <eos>,6,utilisée,utilisé,4,F,utilisée,-4.9741125,utilisé,-8.209854,1
30,S_NOUN_1_PASS_a,F,S,la gemme avec la chemise est achetée <eos>,6,achetée,acheté,4,F,achetée,-7.6892223,acheté,-11.35102,1
