,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est achetée <eos>,11,achetée,acheté,9,M,achetée,-8.666282,acheté,-8.904008,1
1,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est brisée <eos>,11,brisée,brisé,9,M,brisée,-8.042876,brisé,-9.595354,1
2,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est cachée <eos>,11,cachée,caché,9,M,cachée,-7.201387,caché,-7.465718,1
3,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est cassée <eos>,11,cassée,cassé,9,M,cassée,-9.10653,cassé,-10.937038,1
4,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est couverte <eos>,11,couverte,couvert,9,M,couverte,-7.0452056,couvert,-8.879202,1
5,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est déformée <eos>,11,déformée,déformé,9,M,déformée,-10.335594,déformé,-11.564489,1
6,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est fixée <eos>,11,fixée,fixé,9,M,fixée,-5.3961596,fixé,-6.990953,1
7,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est jetée <eos>,11,jetée,jeté,9,M,jetée,-7.3555803,jeté,-9.3578205,1
8,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est laissée <eos>,11,laissée,laissé,9,M,laissée,-7.8434362,laissé,-8.616066,1
9,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est ouverte <eos>,11,ouverte,ouvert,9,M,ouverte,-7.5986285,ouvert,-9.393208,1
10,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est perdue <eos>,11,perdue,perdu,9,M,perdue,-7.6888304,perdu,-8.681119,1
11,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est réparée <eos>,11,réparée,réparé,9,M,réparée,-9.458507,réparé,-11.351104,1
12,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est retirée <eos>,11,retirée,retiré,9,M,retirée,-9.069548,retiré,-8.471396,0
13,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est tombée <eos>,11,tombée,tombé,9,M,tombée,-6.163986,tombé,-7.6330957,1
14,S_NOUN_6_PASS_b,F,S,la gemme avec le bracelet qui était là depuis hier est utilisée <eos>,11,utilisée,utilisé,9,M,utilisée,-4.0425773,utilisé,-5.972388,1
15,S_NOUN_6_PASS_b,F,S,la gemme avec le miroir qui était là depuis hier est achetée <eos>,11,achetée,acheté,9,M,achetée,-8.84195,acheté,-10.868199,1
