,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins achetées . <eos>,11,achetées,achetés,9,achetées,-8.746985,achetés,-9.112483,1
1,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins brisées . <eos>,11,brisées,brisés,9,brisées,-9.293676,brisés,-12.328322,1
2,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins cachées . <eos>,11,cachées,cachés,9,cachées,-6.7808733,cachés,-8.904114,1
3,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins cassées . <eos>,11,cassées,cassés,9,cassées,-9.210732,cassés,-9.6312275,1
4,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins couvertes . <eos>,11,couvertes,couverts,9,couvertes,-9.244882,couverts,-10.028516,1
5,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins déformées . <eos>,11,déformées,déformés,9,déformées,-6.6850114,déformés,-9.393243,1
6,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins fixées . <eos>,11,fixées,fixés,9,fixées,-9.731981,fixés,-11.316193,1
7,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins jetées . <eos>,11,jetées,jetés,9,jetées,-9.4951515,jetés,-13.388333,1
8,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins laissées . <eos>,11,laissées,laissés,9,laissées,-8.645879,laissés,-12.352644,1
9,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins ouvertes . <eos>,11,ouvertes,ouverts,9,ouvertes,-7.5579686,ouverts,-8.786484,1
10,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins perdues . <eos>,11,perdues,perdus,9,perdues,-7.7609305,perdus,-11.5292015,1
11,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins réparées . <eos>,11,réparées,réparés,9,réparées,-10.587805,réparés,-12.294402,1
12,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins retirées . <eos>,11,retirées,retirés,9,retirées,-6.910286,retirés,-10.346578,1
13,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins tombées . <eos>,11,tombées,tombés,9,tombées,-8.053701,tombés,-10.434757,1
14,P_NOUN_9_PASS_a,F,P,les gemmes qui étaient là depuis hier sont plus ou moins utilisées . <eos>,11,utilisées,utilisés,9,utilisées,-4.2736344,utilisés,-7.5592713,1
