,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_1_ADJ_b,F,P,les gemmes étaient vertes . <eos>,3,vertes,verts,1,vertes,-6.973665,verts,-10.901926,1
1,P_NOUN_1_ADJ_b,F,P,les gemmes étaient bleues . <eos>,3,bleues,bleus,1,bleues,-7.821471,bleus,-10.8863125,1
2,P_NOUN_1_ADJ_b,F,P,les gemmes étaient noires . <eos>,3,noires,noirs,1,noires,-6.852794,noirs,-10.277001,1
3,P_NOUN_1_ADJ_b,F,P,les gemmes étaient délicates . <eos>,3,délicates,délicats,1,délicates,-8.788336,délicats,-12.883558,1
4,P_NOUN_1_ADJ_b,F,P,les gemmes étaient pointues . <eos>,3,pointues,pointus,1,pointues,-10.226601,pointus,-13.477749,1
5,P_NOUN_1_ADJ_b,F,P,les gemmes étaient rondes . <eos>,3,rondes,ronds,1,rondes,-9.395677,ronds,-11.377721,1
6,P_NOUN_1_ADJ_b,F,P,les gemmes étaient froides . <eos>,3,froides,froids,1,froides,-10.68543,froids,-14.201181,1
7,P_NOUN_1_ADJ_b,F,P,les gemmes étaient chaudes . <eos>,3,chaudes,chauds,1,chaudes,-9.993284,chauds,-13.100699,1
8,P_NOUN_1_ADJ_b,F,P,les gemmes étaient importantes . <eos>,3,importantes,importants,1,importantes,-8.190555,importants,-12.101484,1
9,P_NOUN_1_ADJ_b,F,P,les gemmes étaient courtes . <eos>,3,courtes,courts,1,courtes,-8.230798,courts,-11.011099,1
10,P_NOUN_1_ADJ_b,F,P,les gemmes étaient dures . <eos>,3,dures,durs,1,dures,-6.927102,durs,-11.397374,1
11,P_NOUN_1_ADJ_b,F,P,les gemmes étaient claires . <eos>,3,claires,clairs,1,claires,-10.770868,clairs,-13.441954,1
12,P_NOUN_1_ADJ_b,F,P,les gemmes étaient intéressantes . <eos>,3,intéressantes,intéressants,1,intéressantes,-10.342309,intéressants,-13.74566,1
13,P_NOUN_1_ADJ_b,F,P,les gemmes étaient brillantes . <eos>,3,brillantes,brillants,1,brillantes,-9.539694,brillants,-11.879795,1
14,P_NOUN_1_ADJ_b,F,P,les gemmes étaient compliquées . <eos>,3,compliquées,compliqués,1,compliquées,-11.277723,compliqués,-14.736147,1
15,P_NOUN_1_ADJ_b,F,P,les chaises étaient vertes . <eos>,3,vertes,verts,1,vertes,-7.3457193,verts,-12.337119,1
16,P_NOUN_1_ADJ_b,F,P,les chaises étaient bleues . <eos>,3,bleues,bleus,1,bleues,-7.8187766,bleus,-12.103491,1
17,P_NOUN_1_ADJ_b,F,P,les chaises étaient noires . <eos>,3,noires,noirs,1,noires,-6.618404,noirs,-11.796186,1
18,P_NOUN_1_ADJ_b,F,P,les chaises étaient délicates . <eos>,3,délicates,délicats,1,délicates,-8.384791,délicats,-12.81361,1
19,P_NOUN_1_ADJ_b,F,P,les chaises étaient pointues . <eos>,3,pointues,pointus,1,pointues,-8.738002,pointus,-13.044527,1
20,P_NOUN_1_ADJ_b,F,P,les chaises étaient rondes . <eos>,3,rondes,ronds,1,rondes,-7.947628,ronds,-10.949016,1
21,P_NOUN_1_ADJ_b,F,P,les chaises étaient froides . <eos>,3,froides,froids,1,froides,-8.582766,froids,-14.274653,1
22,P_NOUN_1_ADJ_b,F,P,les chaises étaient chaudes . <eos>,3,chaudes,chauds,1,chaudes,-9.264968,chauds,-12.271238,1
23,P_NOUN_1_ADJ_b,F,P,les chaises étaient importantes . <eos>,3,importantes,importants,1,importantes,-9.310896,importants,-13.646072,1
24,P_NOUN_1_ADJ_b,F,P,les chaises étaient courtes . <eos>,3,courtes,courts,1,courtes,-5.984253,courts,-9.839096,1
25,P_NOUN_1_ADJ_b,F,P,les chaises étaient dures . <eos>,3,dures,durs,1,dures,-8.036719,durs,-13.541302,1
26,P_NOUN_1_ADJ_b,F,P,les chaises étaient claires . <eos>,3,claires,clairs,1,claires,-10.172711,clairs,-15.539298,1
27,P_NOUN_1_ADJ_b,F,P,les chaises étaient intéressantes . <eos>,3,intéressantes,intéressants,1,intéressantes,-11.097162,intéressants,-15.741035,1
28,P_NOUN_1_ADJ_b,F,P,les chaises étaient brillantes . <eos>,3,brillantes,brillants,1,brillantes,-10.668959,brillants,-15.036829,1
29,P_NOUN_1_ADJ_b,F,P,les chaises étaient compliquées . <eos>,3,compliquées,compliqués,1,compliquées,-9.934234,compliqués,-13.0354395,1
30,P_NOUN_1_ADJ_b,F,P,les poubelles étaient vertes . <eos>,3,vertes,verts,1,vertes,-7.6452236,verts,-11.337909,1
31,P_NOUN_1_ADJ_b,F,P,les poubelles étaient bleues . <eos>,3,bleues,bleus,1,bleues,-9.163565,bleus,-12.325301,1
32,P_NOUN_1_ADJ_b,F,P,les poubelles étaient noires . <eos>,3,noires,noirs,1,noires,-7.4301143,noirs,-11.359539,1
33,P_NOUN_1_ADJ_b,F,P,les poubelles étaient délicates . <eos>,3,délicates,délicats,1,délicates,-11.969165,délicats,-13.7782545,1
34,P_NOUN_1_ADJ_b,F,P,les poubelles étaient pointues . <eos>,3,pointues,pointus,1,pointues,-9.773035,pointus,-12.559252,1
35,P_NOUN_1_ADJ_b,F,P,les poubelles étaient rondes . <eos>,3,rondes,ronds,1,rondes,-9.360134,ronds,-13.203033,1
36,P_NOUN_1_ADJ_b,F,P,les poubelles étaient froides . <eos>,3,froides,froids,1,froides,-13.132597,froids,-15.967764,1
37,P_NOUN_1_ADJ_b,F,P,les poubelles étaient chaudes . <eos>,3,chaudes,chauds,1,chaudes,-13.516948,chauds,-15.197792,1
38,P_NOUN_1_ADJ_b,F,P,les poubelles étaient importantes . <eos>,3,importantes,importants,1,importantes,-9.589052,importants,-13.057203,1
39,P_NOUN_1_ADJ_b,F,P,les poubelles étaient courtes . <eos>,3,courtes,courts,1,courtes,-8.823696,courts,-11.176074,1
40,P_NOUN_1_ADJ_b,F,P,les poubelles étaient dures . <eos>,3,dures,durs,1,dures,-10.082536,durs,-14.375024,1
41,P_NOUN_1_ADJ_b,F,P,les poubelles étaient claires . <eos>,3,claires,clairs,1,claires,-11.412937,clairs,-14.943998,1
42,P_NOUN_1_ADJ_b,F,P,les poubelles étaient intéressantes . <eos>,3,intéressantes,intéressants,1,intéressantes,-11.626927,intéressants,-14.393275,1
43,P_NOUN_1_ADJ_b,F,P,les poubelles étaient brillantes . <eos>,3,brillantes,brillants,1,brillantes,-14.061454,brillants,-15.339237,1
44,P_NOUN_1_ADJ_b,F,P,les poubelles étaient compliquées . <eos>,3,compliquées,compliqués,1,compliquées,-11.827135,compliqués,-14.55637,1
45,P_NOUN_1_ADJ_b,F,P,les chemises étaient vertes . <eos>,3,vertes,verts,1,vertes,-6.767148,verts,-10.561189,1
46,P_NOUN_1_ADJ_b,F,P,les chemises étaient bleues . <eos>,3,bleues,bleus,1,bleues,-8.234253,bleus,-11.139971,1
47,P_NOUN_1_ADJ_b,F,P,les chemises étaient noires . <eos>,3,noires,noirs,1,noires,-6.310792,noirs,-9.296472,1
