,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est achetée <eos>,6,achetée,acheté,4,M,achetée,-10.013849,acheté,-7.71352,0
1,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est brisée <eos>,6,brisée,brisé,4,M,brisée,-6.723878,brisé,-9.625718,1
2,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est cachée <eos>,6,cachée,caché,4,M,cachée,-7.1696844,caché,-8.535947,1
3,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est cassée <eos>,6,cassée,cassé,4,M,cassée,-8.69285,cassé,-9.818411,1
4,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est couverte <eos>,6,couverte,couvert,4,M,couverte,-6.687705,couvert,-8.015667,1
5,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est déformée <eos>,6,déformée,déformé,4,M,déformée,-8.971517,déformé,-10.568941,1
6,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est fixée <eos>,6,fixée,fixé,4,M,fixée,-5.824429,fixé,-7.5066295,1
7,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est jetée <eos>,6,jetée,jeté,4,M,jetée,-7.2914248,jeté,-8.1749935,1
8,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est laissée <eos>,6,laissée,laissé,4,M,laissée,-7.672357,laissé,-9.245921,1
9,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est ouverte <eos>,6,ouverte,ouvert,4,M,ouverte,-6.7927833,ouvert,-8.354952,1
10,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est perdue <eos>,6,perdue,perdu,4,M,perdue,-7.9918976,perdu,-9.168488,1
11,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est réparée <eos>,6,réparée,réparé,4,M,réparée,-10.354845,réparé,-12.884378,1
12,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est retirée <eos>,6,retirée,retiré,4,M,retirée,-7.931669,retiré,-8.496082,1
13,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est tombée <eos>,6,tombée,tombé,4,M,tombée,-9.398065,tombé,-9.922435,1
14,S_NOUN_1_PASS_a,F,S,la gemme avec le bracelet est utilisée <eos>,6,utilisée,utilisé,4,M,utilisée,-4.6361885,utilisé,-6.640048,1
15,S_NOUN_1_PASS_a,F,S,la gemme avec le miroir est achetée <eos>,6,achetée,acheté,4,M,achetée,-8.584431,acheté,-11.342998,1
16,S_NOUN_1_PASS_a,F,S,la gemme avec le miroir est brisée <eos>,6,brisée,brisé,4,M,brisée,-7.0814743,brisé,-10.642425,1
17,S_NOUN_1_PASS_a,F,S,la gemme avec le miroir est cachée <eos>,6,cachée,caché,4,M,cachée,-7.2751355,caché,-9.183054,1
18,S_NOUN_1_PASS_a,F,S,la gemme avec le miroir est cassée <eos>,6,cassée,cassé,4,M,cassée,-8.627583,cassé,-10.668234,1
19,S_NOUN_1_PASS_a,F,S,la gemme avec le miroir est couverte <eos>,6,couverte,couvert,4,M,couverte,-6.72643,couvert,-9.790723,1
