,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement achetée <eos>,11,achetée,acheté,9,M,achetée,-12.722599,acheté,-7.9030724,0
1,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement brisée <eos>,11,brisée,brisé,9,M,brisée,-7.7465,brisé,-10.577622,1
2,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement cachée <eos>,11,cachée,caché,9,M,cachée,-7.5377398,caché,-9.026153,1
3,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement cassée <eos>,11,cassée,cassé,9,M,cassée,-9.682538,cassé,-11.618532,1
4,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement couverte <eos>,11,couverte,couvert,9,M,couverte,-6.292024,couvert,-10.199146,1
5,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement déformée <eos>,11,déformée,déformé,9,M,déformée,-10.754379,déformé,-10.813808,1
6,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement fixée <eos>,11,fixée,fixé,9,M,fixée,-6.906174,fixé,-9.652302,1
7,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement jetée <eos>,11,jetée,jeté,9,M,jetée,-8.866108,jeté,-9.184416,1
8,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement laissée <eos>,11,laissée,laissé,9,M,laissée,-8.561595,laissé,-10.347273,1
9,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement ouverte <eos>,11,ouverte,ouvert,9,M,ouverte,-7.9799137,ouvert,-10.303316,1
10,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement perdue <eos>,11,perdue,perdu,9,M,perdue,-6.0866537,perdu,-9.794373,1
11,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement réparée <eos>,11,réparée,réparé,9,M,réparée,-11.811313,réparé,-12.993404,1
12,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement retirée <eos>,11,retirée,retiré,9,M,retirée,-9.363758,retiré,-10.654557,1
13,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement tombée <eos>,11,tombée,tombé,9,M,tombée,-9.536381,tombé,-9.641989,1
14,S_NOUN_6_PASS_c,F,S,la gemme avec le bracelet qui était ici est aussi probablement utilisée <eos>,11,utilisée,utilisé,9,M,utilisée,-3.4080887,utilisé,-5.948904,1
15,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement achetée <eos>,11,achetée,acheté,9,M,achetée,-9.711301,acheté,-11.123261,1
16,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement brisée <eos>,11,brisée,brisé,9,M,brisée,-6.6875753,brisé,-10.648363,1
17,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement cachée <eos>,11,cachée,caché,9,M,cachée,-7.5558,caché,-9.481037,1
18,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement cassée <eos>,11,cassée,cassé,9,M,cassée,-8.920896,cassé,-12.013161,1
19,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement couverte <eos>,11,couverte,couvert,9,M,couverte,-6.178465,couvert,-10.787143,1
20,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement déformée <eos>,11,déformée,déformé,9,M,déformée,-9.71906,déformé,-10.868425,1
21,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement fixée <eos>,11,fixée,fixé,9,M,fixée,-6.277182,fixé,-9.375168,1
22,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement jetée <eos>,11,jetée,jeté,9,M,jetée,-8.70226,jeté,-10.179719,1
23,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement laissée <eos>,11,laissée,laissé,9,M,laissée,-8.330002,laissé,-10.876818,1
24,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement ouverte <eos>,11,ouverte,ouvert,9,M,ouverte,-6.876053,ouvert,-10.071016,1
25,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement perdue <eos>,11,perdue,perdu,9,M,perdue,-5.711411,perdu,-10.3289795,1
26,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement réparée <eos>,11,réparée,réparé,9,M,réparée,-11.56822,réparé,-13.56455,1
27,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement retirée <eos>,11,retirée,retiré,9,M,retirée,-9.054558,retiré,-10.867346,1
28,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement tombée <eos>,11,tombée,tombé,9,M,tombée,-9.096039,tombé,-10.038483,1
29,S_NOUN_6_PASS_c,F,S,la gemme avec le miroir qui était ici est aussi probablement utilisée <eos>,11,utilisée,utilisé,9,M,utilisée,-3.4216275,utilisé,-6.4437394,1
30,S_NOUN_6_PASS_c,F,S,la gemme avec le crayon qui était ici est aussi probablement achetée <eos>,11,achetée,acheté,9,M,achetée,-9.482444,acheté,-11.305873,1
31,S_NOUN_6_PASS_c,F,S,la gemme avec le crayon qui était ici est aussi probablement brisée <eos>,11,brisée,brisé,9,M,brisée,-7.667753,brisé,-11.682417,1
32,S_NOUN_6_PASS_c,F,S,la gemme avec le crayon qui était ici est aussi probablement cachée <eos>,11,cachée,caché,9,M,cachée,-8.467215,caché,-10.22624,1
33,S_NOUN_6_PASS_c,F,S,la gemme avec le crayon qui était ici est aussi probablement cassée <eos>,11,cassée,cassé,9,M,cassée,-9.717095,cassé,-12.656889,1
34,S_NOUN_6_PASS_c,F,S,la gemme avec le crayon qui était ici est aussi probablement couverte <eos>,11,couverte,couvert,9,M,couverte,-6.859252,couvert,-11.814611,1
35,S_NOUN_6_PASS_c,F,S,la gemme avec le crayon qui était ici est aussi probablement déformée <eos>,11,déformée,déformé,9,M,déformée,-10.023875,déformé,-11.820365,1
