,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas achetée <eos>,14,achetée,acheté,12,M,achetée,-12.406841,acheté,-9.073344,0
1,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas brisée <eos>,14,brisée,brisé,12,M,brisée,-6.617679,brisé,-9.025561,1
2,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas cachée <eos>,14,cachée,caché,12,M,cachée,-5.852233,caché,-7.8109837,1
3,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas cassée <eos>,14,cassée,cassé,12,M,cassée,-7.144487,cassé,-10.616447,1
4,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas couverte <eos>,14,couverte,couvert,12,M,couverte,-6.1701994,couvert,-8.83648,1
5,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas déformée <eos>,14,déformée,déformé,12,M,déformée,-8.999292,déformé,-10.137257,1
6,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas fixée <eos>,14,fixée,fixé,12,M,fixée,-8.062397,fixé,-10.674145,1
7,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas jetée <eos>,14,jetée,jeté,12,M,jetée,-8.306385,jeté,-10.906073,1
8,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas laissée <eos>,14,laissée,laissé,12,M,laissée,-7.4516234,laissé,-9.341183,1
9,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas ouverte <eos>,14,ouverte,ouvert,12,M,ouverte,-7.2051506,ouvert,-9.49251,1
10,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas perdue <eos>,14,perdue,perdu,12,M,perdue,-5.0076995,perdu,-8.045271,1
11,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas réparée <eos>,14,réparée,réparé,12,M,réparée,-9.426071,réparé,-10.977332,1
12,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas retirée <eos>,14,retirée,retiré,12,M,retirée,-8.449253,retiré,-10.923714,1
13,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas tombée <eos>,14,tombée,tombé,12,M,tombée,-7.3751335,tombé,-8.022477,1
14,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas utilisée <eos>,14,utilisée,utilisé,12,M,utilisée,-5.604741,utilisé,-8.4707365,1
15,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas achetée <eos>,14,achetée,acheté,12,M,achetée,-8.625057,acheté,-11.482786,1
16,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas brisée <eos>,14,brisée,brisé,12,M,brisée,-6.2794247,brisé,-8.786204,1
17,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas cachée <eos>,14,cachée,caché,12,M,cachée,-5.91398,caché,-8.105385,1
18,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas cassée <eos>,14,cassée,cassé,12,M,cassée,-8.011191,cassé,-11.304324,1
19,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas couverte <eos>,14,couverte,couvert,12,M,couverte,-5.9817185,couvert,-8.555429,1
20,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas déformée <eos>,14,déformée,déformé,12,M,déformée,-8.526953,déformé,-9.814238,1
21,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas fixée <eos>,14,fixée,fixé,12,M,fixée,-7.664901,fixé,-10.918489,1
22,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas jetée <eos>,14,jetée,jeté,12,M,jetée,-8.944241,jeté,-11.58332,1
23,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas laissée <eos>,14,laissée,laissé,12,M,laissée,-7.3896923,laissé,-9.39713,1
24,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas ouverte <eos>,14,ouverte,ouvert,12,M,ouverte,-7.3525014,ouvert,-9.749708,1
25,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas perdue <eos>,14,perdue,perdu,12,M,perdue,-5.01046,perdu,-7.992734,1
26,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas réparée <eos>,14,réparée,réparé,12,M,réparée,-10.154591,réparé,-11.525365,1
27,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas retirée <eos>,14,retirée,retiré,12,M,retirée,-8.70021,retiré,-11.309885,1
28,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas tombée <eos>,14,tombée,tombé,12,M,tombée,-7.2123876,tombé,-8.207006,1
29,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas utilisée <eos>,14,utilisée,utilisé,12,M,utilisée,-5.8459215,utilisé,-8.840099,1
30,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas achetée <eos>,14,achetée,acheté,12,M,achetée,-8.283725,acheté,-11.440491,1
31,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas brisée <eos>,14,brisée,brisé,12,M,brisée,-7.0443177,brisé,-9.515938,1
32,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas cachée <eos>,14,cachée,caché,12,M,cachée,-6.3913803,caché,-8.576694,1
33,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas cassée <eos>,14,cassée,cassé,12,M,cassée,-8.049539,cassé,-11.3160305,1
34,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas couverte <eos>,14,couverte,couvert,12,M,couverte,-6.3854084,couvert,-9.326164,1
35,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas déformée <eos>,14,déformée,déformé,12,M,déformée,-8.610952,déformé,-10.309299,1
36,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas fixée <eos>,14,fixée,fixé,12,M,fixée,-8.147561,fixé,-10.904506,1
37,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas jetée <eos>,14,jetée,jeté,12,M,jetée,-9.466998,jeté,-11.968476,1
38,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas laissée <eos>,14,laissée,laissé,12,M,laissée,-7.5471835,laissé,-9.476476,1
39,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas ouverte <eos>,14,ouverte,ouvert,12,M,ouverte,-7.0971165,ouvert,-9.592284,1
40,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas perdue <eos>,14,perdue,perdu,12,M,perdue,-5.334868,perdu,-8.440032,1
41,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas réparée <eos>,14,réparée,réparé,12,M,réparée,-10.344024,réparé,-12.065446,1
42,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas retirée <eos>,14,retirée,retiré,12,M,retirée,-8.931359,retiré,-11.5219555,1
43,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas tombée <eos>,14,tombée,tombé,12,M,tombée,-7.855625,tombé,-8.78064,1
