,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est verte <eos>,9,verte,vert,7,F,P,verte,-8.375844,vert,-8.6333885,1
1,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est bleue <eos>,9,bleue,bleu,7,F,P,bleue,-6.5399303,bleu,-7.344058,1
2,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est noire <eos>,9,noire,noir,7,F,P,noire,-7.4511776,noir,-8.46078,1
3,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est délicate <eos>,9,délicate,délicat,7,F,P,délicate,-8.537193,délicat,-12.573728,1
4,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est pointue <eos>,9,pointue,pointu,7,F,P,pointue,-10.675347,pointu,-13.827428,1
5,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est ronde <eos>,9,ronde,rond,7,F,P,ronde,-8.910667,rond,-10.873865,1
6,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est froide <eos>,9,froide,froid,7,F,P,froide,-11.447758,froid,-12.725275,1
7,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est chaude <eos>,9,chaude,chaud,7,F,P,chaude,-10.520401,chaud,-11.570255,1
8,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est importante <eos>,9,importante,important,7,F,P,importante,-7.926728,important,-10.691841,1
9,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est courte <eos>,9,courte,court,7,F,P,courte,-9.251625,court,-11.666075,1
10,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est dure <eos>,9,dure,dur,7,F,P,dure,-10.056571,dur,-12.520429,1
11,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est claire <eos>,9,claire,clair,7,F,P,claire,-8.956119,clair,-10.462345,1
12,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est intéressante <eos>,9,intéressante,intéressant,7,F,P,intéressante,-8.855871,intéressant,-11.862535,1
13,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est brillante <eos>,9,brillante,brillant,7,F,P,brillante,-8.901472,brillant,-10.645966,1
14,S_NOUN_4_ADJ_d,F,S,la gemme avec les gemmes près de moi est compliquée <eos>,9,compliquée,compliqué,7,F,P,compliquée,-10.2995,compliqué,-12.601532,1
15,S_NOUN_4_ADJ_d,F,S,la gemme avec les chaises près de moi est verte <eos>,9,verte,vert,7,F,P,verte,-9.032993,vert,-8.584591,0
16,S_NOUN_4_ADJ_d,F,S,la gemme avec les chaises près de moi est bleue <eos>,9,bleue,bleu,7,F,P,bleue,-7.034121,bleu,-7.794313,1
17,S_NOUN_4_ADJ_d,F,S,la gemme avec les chaises près de moi est noire <eos>,9,noire,noir,7,F,P,noire,-8.003171,noir,-8.832413,1
18,S_NOUN_4_ADJ_d,F,S,la gemme avec les chaises près de moi est délicate <eos>,9,délicate,délicat,7,F,P,délicate,-8.534381,délicat,-11.743717,1
19,S_NOUN_4_ADJ_d,F,S,la gemme avec les chaises près de moi est pointue <eos>,9,pointue,pointu,7,F,P,pointue,-11.391322,pointu,-13.567421,1
20,S_NOUN_4_ADJ_d,F,S,la gemme avec les chaises près de moi est ronde <eos>,9,ronde,rond,7,F,P,ronde,-8.489606,rond,-10.94694,1
21,S_NOUN_4_ADJ_d,F,S,la gemme avec les chaises près de moi est froide <eos>,9,froide,froid,7,F,P,froide,-11.151035,froid,-13.253214,1
