,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-7.933701,achetés,-7.658736,0
1,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-7.62441,brisés,-11.033474,1
2,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-6.3002343,cachés,-8.216773,1
3,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-8.929404,cassés,-9.958026,1
4,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-8.0724125,couverts,-9.347788,1
5,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont déformées <eos>,9,déformées,déformés,7,M,déformées,-8.330731,déformés,-10.818212,1
6,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont fixées <eos>,9,fixées,fixés,7,M,fixées,-5.7509427,fixés,-7.807485,1
7,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont jetées <eos>,9,jetées,jetés,7,M,jetées,-8.13431,jetés,-9.284854,1
8,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont laissées <eos>,9,laissées,laissés,7,M,laissées,-7.6026936,laissés,-9.617697,1
9,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,ouvertes,-6.707143,ouverts,-10.011634,1
10,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont perdues <eos>,9,perdues,perdus,7,M,perdues,-6.872821,perdus,-8.741448,1
11,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont réparées <eos>,9,réparées,réparés,7,M,réparées,-9.930489,réparés,-13.537308,1
12,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont retirées <eos>,9,retirées,retirés,7,M,retirées,-6.473605,retirés,-7.3792944,1
13,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont tombées <eos>,9,tombées,tombés,7,M,tombées,-7.706169,tombés,-8.779962,1
14,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,utilisées,-4.169938,utilisés,-5.995741,1
15,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-7.52122,achetés,-8.808742,1
16,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-8.032998,brisés,-10.986041,1
17,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-6.677456,cachés,-8.32818,1
18,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-8.870611,cassés,-10.038539,1
19,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-7.748172,couverts,-8.849941,1
20,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont déformées <eos>,9,déformées,déformés,7,M,déformées,-8.4625025,déformés,-10.447794,1
21,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont fixées <eos>,9,fixées,fixés,7,M,fixées,-5.885415,fixés,-7.2680492,1
22,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont jetées <eos>,9,jetées,jetés,7,M,jetées,-8.334451,jetés,-9.7794075,1
23,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont laissées <eos>,9,laissées,laissés,7,M,laissées,-8.158183,laissés,-10.091288,1
24,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,ouvertes,-6.7994127,ouverts,-9.471957,1
25,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont perdues <eos>,9,perdues,perdus,7,M,perdues,-6.9247875,perdus,-8.480689,1
26,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont réparées <eos>,9,réparées,réparés,7,M,réparées,-9.786287,réparés,-12.884301,1
27,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont retirées <eos>,9,retirées,retirés,7,M,retirées,-7.0021315,retirés,-7.691698,1
28,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont tombées <eos>,9,tombées,tombés,7,M,tombées,-7.924646,tombés,-8.77281,1
29,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,utilisées,-4.0789237,utilisés,-5.4127984,1
30,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-6.3089056,achetés,-7.948783,1
31,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-9.121857,brisés,-11.832499,1
32,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-6.9660645,cachés,-8.860412,1
33,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-9.207657,cassés,-9.70383,1
34,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-8.242093,couverts,-9.206316,1
35,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont déformées <eos>,9,déformées,déformés,7,M,déformées,-8.512973,déformés,-11.066559,1
36,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont fixées <eos>,9,fixées,fixés,7,M,fixées,-5.8482475,fixés,-7.465719,1
37,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont jetées <eos>,9,jetées,jetés,7,M,jetées,-9.046827,jetés,-9.887138,1
38,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont laissées <eos>,9,laissées,laissés,7,M,laissées,-7.4737725,laissés,-9.638374,1
39,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,ouvertes,-6.96768,ouverts,-9.760743,1
40,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont perdues <eos>,9,perdues,perdus,7,M,perdues,-7.312668,perdus,-8.793471,1
41,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont réparées <eos>,9,réparées,réparés,7,M,réparées,-10.141508,réparés,-13.553652,1
42,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont retirées <eos>,9,retirées,retirés,7,M,retirées,-6.7249637,retirés,-7.4524226,1
43,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont tombées <eos>,9,tombées,tombés,7,M,tombées,-7.64678,tombés,-9.130368,1
44,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,utilisées,-3.6964746,utilisés,-5.500462,1
45,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-7.273608,achetés,-8.643568,1
46,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-7.8762817,brisés,-10.920244,1
47,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-6.1468906,cachés,-8.142967,1
48,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-8.235521,cassés,-9.56422,1
49,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-7.5779786,couverts,-8.119252,1
50,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont déformées <eos>,9,déformées,déformés,7,M,déformées,-8.64046,déformés,-10.777737,1
51,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont fixées <eos>,9,fixées,fixés,7,M,fixées,-5.8688364,fixés,-7.503113,1
52,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont jetées <eos>,9,jetées,jetés,7,M,jetées,-7.8695126,jetés,-9.326807,1
53,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont laissées <eos>,9,laissées,laissés,7,M,laissées,-7.876058,laissés,-9.511901,1
54,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,ouvertes,-6.827745,ouverts,-9.177853,1
55,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont perdues <eos>,9,perdues,perdus,7,M,perdues,-7.2648125,perdus,-8.682555,1
56,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont réparées <eos>,9,réparées,réparés,7,M,réparées,-9.661706,réparés,-13.129937,1
57,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont retirées <eos>,9,retirées,retirés,7,M,retirées,-6.8039346,retirés,-7.5334907,1
58,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont tombées <eos>,9,tombées,tombés,7,M,tombées,-7.692404,tombés,-8.917041,1
59,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,utilisées,-4.469324,utilisés,-5.936404,1
60,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-7.1022844,achetés,-7.717395,1
61,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-9.312657,brisés,-12.11545,1
62,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-7.5332866,cachés,-8.79405,1
63,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-10.208997,cassés,-10.296676,1
64,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-8.689867,couverts,-8.861191,1
65,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont déformées <eos>,9,déformées,déformés,7,M,déformées,-9.40615,déformés,-11.182503,1
66,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont fixées <eos>,9,fixées,fixés,7,M,fixées,-6.5188437,fixés,-7.491338,1
67,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont jetées <eos>,9,jetées,jetés,7,M,jetées,-9.941607,jetés,-9.797771,0
68,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont laissées <eos>,9,laissées,laissés,7,M,laissées,-8.127076,laissés,-9.821585,1
69,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,ouvertes,-7.320794,ouverts,-9.25966,1
70,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont perdues <eos>,9,perdues,perdus,7,M,perdues,-6.912363,perdus,-7.9997654,1
71,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont réparées <eos>,9,réparées,réparés,7,M,réparées,-10.96774,réparés,-14.041853,1
72,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont retirées <eos>,9,retirées,retirés,7,M,retirées,-6.7284536,retirés,-7.5264645,1
73,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont tombées <eos>,9,tombées,tombés,7,M,tombées,-7.8370843,tombés,-8.583569,1
74,P_NOUN_4_PASS_d,F,P,les gemmes avec les cahiers près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,utilisées,-5.352279,utilisés,-6.3633485,1
75,P_NOUN_4_PASS_d,F,P,les gemmes avec les micros près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-6.873517,achetés,-8.425552,1
76,P_NOUN_4_PASS_d,F,P,les gemmes avec les micros près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-8.581556,brisés,-11.362221,1
77,P_NOUN_4_PASS_d,F,P,les gemmes avec les micros près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-7.0235596,cachés,-8.17294,1
78,P_NOUN_4_PASS_d,F,P,les gemmes avec les micros près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-8.967163,cassés,-9.580497,1
79,P_NOUN_4_PASS_d,F,P,les gemmes avec les micros près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-7.6997433,couverts,-8.900575,1
80,P_NOUN_4_PASS_d,F,P,les gemmes avec les micros près de moi sont déformées <eos>,9,déformées,déformés,7,M,déformées,-8.359023,déformés,-10.905724,1
81,P_NOUN_4_PASS_d,F,P,les gemmes avec les micros près de moi sont fixées <eos>,9,fixées,fixés,7,M,fixées,-6.2790933,fixés,-7.3798356,1
82,P_NOUN_4_PASS_d,F,P,les gemmes avec les micros près de moi sont jetées <eos>,9,jetées,jetés,7,M,jetées,-8.640824,jetés,-9.871061,1
83,P_NOUN_4_PASS_d,F,P,les gemmes avec les micros près de moi sont laissées <eos>,9,laissées,laissés,7,M,laissées,-7.5045047,laissés,-10.082027,1
