,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est achetée <eos>,9,achetée,acheté,7,F,achetée,-8.677053,acheté,-11.139969,1
1,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est brisée <eos>,9,brisée,brisé,7,F,brisée,-7.1474857,brisé,-10.182818,1
2,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est cachée <eos>,9,cachée,caché,7,F,cachée,-6.8001046,caché,-9.540572,1
3,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est cassée <eos>,9,cassée,cassé,7,F,cassée,-8.5517235,cassé,-10.798043,1
4,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est couverte <eos>,9,couverte,couvert,7,F,couverte,-6.1424723,couvert,-9.758823,1
5,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est déformée <eos>,9,déformée,déformé,7,F,déformée,-8.701513,déformé,-11.7281065,1
6,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est fixée <eos>,9,fixée,fixé,7,F,fixée,-5.3381853,fixé,-7.8595324,1
7,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est jetée <eos>,9,jetée,jeté,7,F,jetée,-7.3230343,jeté,-10.93436,1
8,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est laissée <eos>,9,laissée,laissé,7,F,laissée,-8.073799,laissé,-9.879593,1
9,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est ouverte <eos>,9,ouverte,ouvert,7,F,ouverte,-6.5370855,ouvert,-9.911312,1
10,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est perdue <eos>,9,perdue,perdu,7,F,perdue,-8.041995,perdu,-10.5174885,1
11,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est réparée <eos>,9,réparée,réparé,7,F,réparée,-9.871866,réparé,-13.171753,1
12,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est retirée <eos>,9,retirée,retiré,7,F,retirée,-8.694125,retiré,-9.849365,1
13,S_NOUN_4_PASS_d,F,S,la gemme avec la chaise près de moi est tombée <eos>,9,tombée,tombé,7,F,tombée,-7.2717376,tombé,-9.516749,1
