,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est achetée <eos>,9,achetée,acheté,7,M,achetée,-7.9421983,acheté,-6.926866,0
1,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est brisée <eos>,9,brisée,brisé,7,M,brisée,-7.013526,brisé,-10.14528,1
2,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est cachée <eos>,9,cachée,caché,7,M,cachée,-8.198711,caché,-9.998908,1
3,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est cassée <eos>,9,cassée,cassé,7,M,cassée,-6.7975597,cassé,-9.467905,1
4,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est couverte <eos>,9,couverte,couvert,7,M,couverte,-6.9235096,couvert,-10.397461,1
5,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est déformée <eos>,9,déformée,déformé,7,M,déformée,-8.455427,déformé,-11.10468,1
6,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est fixée <eos>,9,fixée,fixé,7,M,fixée,-4.130977,fixé,-7.38454,1
7,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est jetée <eos>,9,jetée,jeté,7,M,jetée,-6.1028557,jeté,-9.3242,1
8,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est laissée <eos>,9,laissée,laissé,7,M,laissée,-6.418273,laissé,-8.813971,1
9,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est ouverte <eos>,9,ouverte,ouvert,7,M,ouverte,-7.2058945,ouvert,-9.706621,1
10,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est perdue <eos>,9,perdue,perdu,7,M,perdue,-6.046397,perdu,-8.466768,1
11,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est réparée <eos>,9,réparée,réparé,7,M,réparée,-10.0037985,réparé,-13.560644,1
12,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est retirée <eos>,9,retirée,retiré,7,M,retirée,-5.5667996,retiré,-7.7384534,1
13,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est tombée <eos>,9,tombée,tombé,7,M,tombée,-9.689905,tombé,-10.282188,1
14,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est utilisée <eos>,9,utilisée,utilisé,7,M,utilisée,-4.022131,utilisé,-6.3806934,1
15,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est achetée <eos>,9,achetée,acheté,7,M,achetée,-5.7676005,acheté,-10.69116,1
16,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est brisée <eos>,9,brisée,brisé,7,M,brisée,-7.1201715,brisé,-10.340984,1
17,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est cachée <eos>,9,cachée,caché,7,M,cachée,-7.654296,caché,-10.123854,1
18,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est cassée <eos>,9,cassée,cassé,7,M,cassée,-6.6260533,cassé,-9.938662,1
19,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est couverte <eos>,9,couverte,couvert,7,M,couverte,-7.7668104,couvert,-10.957851,1
20,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est déformée <eos>,9,déformée,déformé,7,M,déformée,-7.7120743,déformé,-10.916702,1
21,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est fixée <eos>,9,fixée,fixé,7,M,fixée,-4.075621,fixé,-7.674419,1
22,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est jetée <eos>,9,jetée,jeté,7,M,jetée,-5.76551,jeté,-9.496569,1
23,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est laissée <eos>,9,laissée,laissé,7,M,laissée,-6.383254,laissé,-9.187238,1
24,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est ouverte <eos>,9,ouverte,ouvert,7,M,ouverte,-7.1800013,ouvert,-9.903034,1
25,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est perdue <eos>,9,perdue,perdu,7,M,perdue,-6.4474144,perdu,-8.959022,1
26,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est réparée <eos>,9,réparée,réparé,7,M,réparée,-10.212817,réparé,-14.532933,1
27,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est retirée <eos>,9,retirée,retiré,7,M,retirée,-5.8791437,retiré,-9.005049,1
28,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est tombée <eos>,9,tombée,tombé,7,M,tombée,-9.186794,tombé,-10.011841,1
29,S_NOUN_4_PASS_d,F,S,la gemme avec le miroir près de moi est utilisée <eos>,9,utilisée,utilisé,7,M,utilisée,-4.0573044,utilisé,-6.933385,1
30,S_NOUN_4_PASS_d,F,S,la gemme avec le crayon près de moi est achetée <eos>,9,achetée,acheté,7,M,achetée,-4.9943957,acheté,-10.195976,1
31,S_NOUN_4_PASS_d,F,S,la gemme avec le crayon près de moi est brisée <eos>,9,brisée,brisé,7,M,brisée,-6.74504,brisé,-10.309326,1
32,S_NOUN_4_PASS_d,F,S,la gemme avec le crayon près de moi est cachée <eos>,9,cachée,caché,7,M,cachée,-8.377081,caché,-10.73015,1
33,S_NOUN_4_PASS_d,F,S,la gemme avec le crayon près de moi est cassée <eos>,9,cassée,cassé,7,M,cassée,-6.4922094,cassé,-9.824868,1
34,S_NOUN_4_PASS_d,F,S,la gemme avec le crayon près de moi est couverte <eos>,9,couverte,couvert,7,M,couverte,-7.451499,couvert,-11.064807,1
35,S_NOUN_4_PASS_d,F,S,la gemme avec le crayon près de moi est déformée <eos>,9,déformée,déformé,7,M,déformée,-7.5703363,déformé,-11.065532,1
36,S_NOUN_4_PASS_d,F,S,la gemme avec le crayon près de moi est fixée <eos>,9,fixée,fixé,7,M,fixée,-4.3100233,fixé,-7.7353354,1
