,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très verte <eos>,12,verte,vert,10,M,P,verte,-10.586967,vert,-11.272479,1
1,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très bleue <eos>,12,bleue,bleu,10,M,P,bleue,-11.199396,bleu,-12.342142,1
2,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très noire <eos>,12,noire,noir,10,M,P,noire,-9.843567,noir,-13.240597,1
3,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très délicate <eos>,12,délicate,délicat,10,M,P,délicate,-7.51432,délicat,-11.6207485,1
4,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très pointue <eos>,12,pointue,pointu,10,M,P,pointue,-7.9378004,pointu,-11.868746,1
5,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très ronde <eos>,12,ronde,rond,10,M,P,ronde,-8.818766,rond,-10.983491,1
6,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très froide <eos>,12,froide,froid,10,M,P,froide,-8.4181385,froid,-11.575869,1
7,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très chaude <eos>,12,chaude,chaud,10,M,P,chaude,-8.644394,chaud,-11.512785,1
8,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très importante <eos>,12,importante,important,10,M,P,importante,-4.147735,important,-8.394587,1
9,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très courte <eos>,12,courte,court,10,M,P,courte,-5.2876725,court,-8.829912,1
10,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très dure <eos>,12,dure,dur,10,M,P,dure,-6.042802,dur,-8.21131,1
11,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très claire <eos>,12,claire,clair,10,M,P,claire,-2.0778105,clair,-6.245927,1
12,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très intéressante <eos>,12,intéressante,intéressant,10,M,P,intéressante,-6.410944,intéressant,-10.304404,1
13,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très brillante <eos>,12,brillante,brillant,10,M,P,brillante,-4.733075,brillant,-8.61576,1
14,S_NOUN_7_ADJ_c,F,S,la gemme avec les bracelets qui était ici n' est pas très compliquée <eos>,12,compliquée,compliqué,10,M,P,compliquée,-7.2851725,compliqué,-10.430452,1
15,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très verte <eos>,12,verte,vert,10,M,P,verte,-9.987798,vert,-12.215446,1
16,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très bleue <eos>,12,bleue,bleu,10,M,P,bleue,-10.837876,bleu,-12.279821,1
17,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très noire <eos>,12,noire,noir,10,M,P,noire,-10.043659,noir,-13.37808,1
18,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très délicate <eos>,12,délicate,délicat,10,M,P,délicate,-7.9569397,délicat,-11.63882,1
19,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très pointue <eos>,12,pointue,pointu,10,M,P,pointue,-8.661453,pointu,-12.314708,1
20,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très ronde <eos>,12,ronde,rond,10,M,P,ronde,-9.186143,rond,-11.894536,1
21,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très froide <eos>,12,froide,froid,10,M,P,froide,-7.8139167,froid,-11.396875,1
22,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très chaude <eos>,12,chaude,chaud,10,M,P,chaude,-7.623082,chaud,-10.980403,1
23,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très importante <eos>,12,importante,important,10,M,P,importante,-3.9915347,important,-8.201366,1
24,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très courte <eos>,12,courte,court,10,M,P,courte,-6.5954256,court,-9.773134,1
25,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très dure <eos>,12,dure,dur,10,M,P,dure,-6.2969794,dur,-7.565785,1
26,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très claire <eos>,12,claire,clair,10,M,P,claire,-2.3395975,clair,-6.394889,1
27,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très intéressante <eos>,12,intéressante,intéressant,10,M,P,intéressante,-5.9507833,intéressant,-10.418093,1
28,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très brillante <eos>,12,brillante,brillant,10,M,P,brillante,-4.539652,brillant,-8.186995,1
29,S_NOUN_7_ADJ_c,F,S,la gemme avec les miroirs qui était ici n' est pas très compliquée <eos>,12,compliquée,compliqué,10,M,P,compliquée,-7.4038095,compliqué,-10.03751,1
30,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très verte <eos>,12,verte,vert,10,M,P,verte,-9.24239,vert,-10.9064045,1
31,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très bleue <eos>,12,bleue,bleu,10,M,P,bleue,-11.053369,bleu,-11.860326,1
32,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très noire <eos>,12,noire,noir,10,M,P,noire,-9.111759,noir,-12.439577,1
33,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très délicate <eos>,12,délicate,délicat,10,M,P,délicate,-8.642315,délicat,-11.686023,1
34,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très pointue <eos>,12,pointue,pointu,10,M,P,pointue,-8.175512,pointu,-12.378406,1
35,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très ronde <eos>,12,ronde,rond,10,M,P,ronde,-8.575673,rond,-11.743674,1
36,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très froide <eos>,12,froide,froid,10,M,P,froide,-7.7816,froid,-10.941114,1
37,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très chaude <eos>,12,chaude,chaud,10,M,P,chaude,-7.53368,chaud,-10.9660225,1
38,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très importante <eos>,12,importante,important,10,M,P,importante,-3.7338357,important,-8.289495,1
39,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très courte <eos>,12,courte,court,10,M,P,courte,-6.1721244,court,-9.899462,1
40,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très dure <eos>,12,dure,dur,10,M,P,dure,-5.5365725,dur,-6.978056,1
41,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très claire <eos>,12,claire,clair,10,M,P,claire,-2.4315653,clair,-6.6931047,1
42,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très intéressante <eos>,12,intéressante,intéressant,10,M,P,intéressante,-5.6534147,intéressant,-10.273714,1
43,S_NOUN_7_ADJ_c,F,S,la gemme avec les crayons qui était ici n' est pas très brillante <eos>,12,brillante,brillant,10,M,P,brillante,-5.0129023,brillant,-8.636119,1
