,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est achetée <eos>,9,achetée,acheté,7,M,achetée,-10.355882,acheté,-8.796399,0
1,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est brisée <eos>,9,brisée,brisé,7,M,brisée,-8.033519,brisé,-9.488515,1
2,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est cachée <eos>,9,cachée,caché,7,M,cachée,-8.171894,caché,-8.859968,1
3,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est cassée <eos>,9,cassée,cassé,7,M,cassée,-8.635153,cassé,-9.709082,1
4,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est couverte <eos>,9,couverte,couvert,7,M,couverte,-6.7475705,couvert,-8.130722,1
5,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est déformée <eos>,9,déformée,déformé,7,M,déformée,-9.483349,déformé,-10.775317,1
6,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est fixée <eos>,9,fixée,fixé,7,M,fixée,-7.2454395,fixé,-8.537036,1
7,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est jetée <eos>,9,jetée,jeté,7,M,jetée,-8.954273,jeté,-9.285181,1
8,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est laissée <eos>,9,laissée,laissé,7,M,laissée,-7.4756193,laissé,-9.062284,1
9,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est ouverte <eos>,9,ouverte,ouvert,7,M,ouverte,-7.227206,ouvert,-8.245472,1
10,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est perdue <eos>,9,perdue,perdu,7,M,perdue,-7.510468,perdu,-8.229164,1
11,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est réparée <eos>,9,réparée,réparé,7,M,réparée,-9.080869,réparé,-10.891592,1
12,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est retirée <eos>,9,retirée,retiré,7,M,retirée,-7.6716676,retiré,-8.631294,1
13,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est tombée <eos>,9,tombée,tombé,7,M,tombée,-8.015205,tombé,-8.66508,1
14,S_NOUN_4_PASS_c,F,S,la gemme avec le bracelet qui était ici est utilisée <eos>,9,utilisée,utilisé,7,M,utilisée,-3.8567052,utilisé,-5.347532,1
15,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est achetée <eos>,9,achetée,acheté,7,M,achetée,-9.435335,acheté,-10.755589,1
16,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est brisée <eos>,9,brisée,brisé,7,M,brisée,-8.0166025,brisé,-9.570211,1
17,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est cachée <eos>,9,cachée,caché,7,M,cachée,-8.029827,caché,-9.003956,1
18,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est cassée <eos>,9,cassée,cassé,7,M,cassée,-8.6696205,cassé,-9.847586,1
19,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est couverte <eos>,9,couverte,couvert,7,M,couverte,-6.509498,couvert,-8.316642,1
20,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est déformée <eos>,9,déformée,déformé,7,M,déformée,-9.095811,déformé,-10.627531,1
21,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est fixée <eos>,9,fixée,fixé,7,M,fixée,-7.0456333,fixé,-8.756538,1
22,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est jetée <eos>,9,jetée,jeté,7,M,jetée,-9.125381,jeté,-9.783598,1
23,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est laissée <eos>,9,laissée,laissé,7,M,laissée,-7.399575,laissé,-9.305395,1
24,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est ouverte <eos>,9,ouverte,ouvert,7,M,ouverte,-6.7801275,ouvert,-8.26027,1
25,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est perdue <eos>,9,perdue,perdu,7,M,perdue,-7.4807997,perdu,-8.346813,1
26,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est réparée <eos>,9,réparée,réparé,7,M,réparée,-9.3345,réparé,-11.259205,1
27,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est retirée <eos>,9,retirée,retiré,7,M,retirée,-7.7995644,retiré,-8.868804,1
28,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est tombée <eos>,9,tombée,tombé,7,M,tombée,-8.07693,tombé,-9.055004,1
29,S_NOUN_4_PASS_c,F,S,la gemme avec le miroir qui était ici est utilisée <eos>,9,utilisée,utilisé,7,M,utilisée,-3.7231543,utilisé,-5.5247393,1
30,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est achetée <eos>,9,achetée,acheté,7,M,achetée,-8.805699,acheté,-10.312447,1
31,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est brisée <eos>,9,brisée,brisé,7,M,brisée,-8.7035,brisé,-10.885342,1
32,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est cachée <eos>,9,cachée,caché,7,M,cachée,-8.354123,caché,-9.546008,1
33,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est cassée <eos>,9,cassée,cassé,7,M,cassée,-9.815519,cassé,-10.619405,1
34,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est couverte <eos>,9,couverte,couvert,7,M,couverte,-7.3237553,couvert,-8.968323,1
35,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est déformée <eos>,9,déformée,déformé,7,M,déformée,-8.869972,déformé,-10.913904,1
36,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est fixée <eos>,9,fixée,fixé,7,M,fixée,-7.536433,fixé,-9.330197,1
37,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est jetée <eos>,9,jetée,jeté,7,M,jetée,-9.644321,jeté,-10.436568,1
38,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est laissée <eos>,9,laissée,laissé,7,M,laissée,-7.6764917,laissé,-9.54933,1
39,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est ouverte <eos>,9,ouverte,ouvert,7,M,ouverte,-6.941465,ouvert,-8.676086,1
40,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est perdue <eos>,9,perdue,perdu,7,M,perdue,-7.4912577,perdu,-8.755178,1
41,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est réparée <eos>,9,réparée,réparé,7,M,réparée,-10.268853,réparé,-12.159181,1
42,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est retirée <eos>,9,retirée,retiré,7,M,retirée,-8.125097,retiré,-8.974581,1
43,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est tombée <eos>,9,tombée,tombé,7,M,tombée,-8.300932,tombé,-9.316378,1
44,S_NOUN_4_PASS_c,F,S,la gemme avec le crayon qui était ici est utilisée <eos>,9,utilisée,utilisé,7,M,utilisée,-3.2020845,utilisé,-5.0181417,1
45,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est achetée <eos>,9,achetée,acheté,7,M,achetée,-9.033335,acheté,-9.841389,1
46,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est brisée <eos>,9,brisée,brisé,7,M,brisée,-8.200615,brisé,-9.352029,1
47,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est cachée <eos>,9,cachée,caché,7,M,cachée,-8.267919,caché,-8.857355,1
48,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est cassée <eos>,9,cassée,cassé,7,M,cassée,-8.684842,cassé,-9.642741,1
49,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est couverte <eos>,9,couverte,couvert,7,M,couverte,-6.5119715,couvert,-7.9282656,1
50,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est déformée <eos>,9,déformée,déformé,7,M,déformée,-9.680393,déformé,-10.893128,1
51,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est fixée <eos>,9,fixée,fixé,7,M,fixée,-7.0882454,fixé,-8.55619,1
52,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est jetée <eos>,9,jetée,jeté,7,M,jetée,-8.935973,jeté,-9.548887,1
53,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est laissée <eos>,9,laissée,laissé,7,M,laissée,-7.4200993,laissé,-9.007914,1
54,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est ouverte <eos>,9,ouverte,ouvert,7,M,ouverte,-6.7623377,ouvert,-7.849102,1
55,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est perdue <eos>,9,perdue,perdu,7,M,perdue,-7.6847363,perdu,-8.123052,1
56,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est réparée <eos>,9,réparée,réparé,7,M,réparée,-9.074776,réparé,-10.744621,1
57,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est retirée <eos>,9,retirée,retiré,7,M,retirée,-7.8419285,retiré,-8.66459,1
58,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est tombée <eos>,9,tombée,tombé,7,M,tombée,-7.954348,tombé,-8.708303,1
59,S_NOUN_4_PASS_c,F,S,la gemme avec le rideau qui était ici est utilisée <eos>,9,utilisée,utilisé,7,M,utilisée,-3.9981503,utilisé,-5.4394317,1
60,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est achetée <eos>,9,achetée,acheté,7,M,achetée,-9.438359,acheté,-9.620174,1
61,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est brisée <eos>,9,brisée,brisé,7,M,brisée,-8.526756,brisé,-9.321257,1
62,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est cachée <eos>,9,cachée,caché,7,M,cachée,-8.794723,caché,-8.874644,1
63,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est cassée <eos>,9,cassée,cassé,7,M,cassée,-9.209014,cassé,-9.550307,1
64,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est couverte <eos>,9,couverte,couvert,7,M,couverte,-7.179901,couvert,-7.8667374,1
65,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est déformée <eos>,9,déformée,déformé,7,M,déformée,-10.107621,déformé,-10.718029,1
66,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est fixée <eos>,9,fixée,fixé,7,M,fixée,-7.111706,fixé,-7.7083406,1
67,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est jetée <eos>,9,jetée,jeté,7,M,jetée,-9.696306,jeté,-9.452581,0
68,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est laissée <eos>,9,laissée,laissé,7,M,laissée,-7.632826,laissé,-8.803265,1
69,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est ouverte <eos>,9,ouverte,ouvert,7,M,ouverte,-7.2473707,ouvert,-7.647168,1
70,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est perdue <eos>,9,perdue,perdu,7,M,perdue,-7.930232,perdu,-7.8461666,0
71,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est réparée <eos>,9,réparée,réparé,7,M,réparée,-9.178205,réparé,-10.406478,1
72,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est retirée <eos>,9,retirée,retiré,7,M,retirée,-7.906272,retiré,-8.082894,1
73,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est tombée <eos>,9,tombée,tombé,7,M,tombée,-8.521564,tombé,-8.692662,1
74,S_NOUN_4_PASS_c,F,S,la gemme avec le cahier qui était ici est utilisée <eos>,9,utilisée,utilisé,7,M,utilisée,-4.0639215,utilisé,-4.9442163,1
75,S_NOUN_4_PASS_c,F,S,la gemme avec le micro qui était ici est achetée <eos>,9,achetée,acheté,7,M,achetée,-9.197767,acheté,-10.499004,1
