,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont vertes <eos>,9,vertes,verts,7,F,S,vertes,-7.4621773,verts,-10.166357,1
1,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont bleues <eos>,9,bleues,bleus,7,F,S,bleues,-7.451603,bleus,-9.708082,1
2,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont noires <eos>,9,noires,noirs,7,F,S,noires,-6.81791,noirs,-9.993366,1
3,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont délicates <eos>,9,délicates,délicats,7,F,S,délicates,-9.348201,délicats,-12.872858,1
4,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont pointues <eos>,9,pointues,pointus,7,F,S,pointues,-9.802778,pointus,-14.010561,1
5,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont rondes <eos>,9,rondes,ronds,7,F,S,rondes,-9.1421385,ronds,-11.608015,1
6,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont froides <eos>,9,froides,froids,7,F,S,froides,-9.322556,froids,-14.250165,1
7,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont chaudes <eos>,9,chaudes,chauds,7,F,S,chaudes,-9.788197,chauds,-12.810928,1
8,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont importantes <eos>,9,importantes,importants,7,F,S,importantes,-7.945785,importants,-12.285179,1
9,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont courtes <eos>,9,courtes,courts,7,F,S,courtes,-8.999005,courts,-11.219589,1
10,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont dures <eos>,9,dures,durs,7,F,S,dures,-7.508313,durs,-11.898956,1
11,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont claires <eos>,9,claires,clairs,7,F,S,claires,-8.257503,clairs,-11.834349,1
12,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont intéressantes <eos>,9,intéressantes,intéressants,7,F,S,intéressantes,-9.075603,intéressants,-12.033827,1
13,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont brillantes <eos>,9,brillantes,brillants,7,F,S,brillantes,-8.689592,brillants,-11.030712,1
14,P_NOUN_4_ADJ_d,F,P,les gemmes avec la gemme près de moi sont compliquées <eos>,9,compliquées,compliqués,7,F,S,compliquées,-10.821667,compliqués,-13.847237,1
15,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont vertes <eos>,9,vertes,verts,7,F,S,vertes,-8.435029,verts,-12.367666,1
16,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont bleues <eos>,9,bleues,bleus,7,F,S,bleues,-8.453163,bleus,-10.7761965,1
17,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont noires <eos>,9,noires,noirs,7,F,S,noires,-7.7509084,noirs,-10.470795,1
18,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont délicates <eos>,9,délicates,délicats,7,F,S,délicates,-9.062578,délicats,-12.105433,1
19,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont pointues <eos>,9,pointues,pointus,7,F,S,pointues,-9.618517,pointus,-14.086208,1
20,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont rondes <eos>,9,rondes,ronds,7,F,S,rondes,-8.769259,ronds,-12.050575,1
21,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont froides <eos>,9,froides,froids,7,F,S,froides,-9.474078,froids,-14.855916,1
22,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont chaudes <eos>,9,chaudes,chauds,7,F,S,chaudes,-10.169025,chauds,-12.682243,1
23,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont importantes <eos>,9,importantes,importants,7,F,S,importantes,-7.758398,importants,-11.873577,1
24,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont courtes <eos>,9,courtes,courts,7,F,S,courtes,-8.523617,courts,-10.878396,1
25,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont dures <eos>,9,dures,durs,7,F,S,dures,-8.199184,durs,-12.355465,1
26,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont claires <eos>,9,claires,clairs,7,F,S,claires,-8.728042,clairs,-12.579201,1
27,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont intéressantes <eos>,9,intéressantes,intéressants,7,F,S,intéressantes,-8.7531395,intéressants,-11.782064,1
28,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont brillantes <eos>,9,brillantes,brillants,7,F,S,brillantes,-9.313374,brillants,-12.289834,1
29,P_NOUN_4_ADJ_d,F,P,les gemmes avec la chaise près de moi sont compliquées <eos>,9,compliquées,compliqués,7,F,S,compliquées,-9.978931,compliqués,-12.917891,1
30,P_NOUN_4_ADJ_d,F,P,les gemmes avec la poubelle près de moi sont vertes <eos>,9,vertes,verts,7,F,S,vertes,-8.08901,verts,-12.031707,1
31,P_NOUN_4_ADJ_d,F,P,les gemmes avec la poubelle près de moi sont bleues <eos>,9,bleues,bleus,7,F,S,bleues,-8.452213,bleus,-10.484686,1
32,P_NOUN_4_ADJ_d,F,P,les gemmes avec la poubelle près de moi sont noires <eos>,9,noires,noirs,7,F,S,noires,-7.9021797,noirs,-10.513576,1
