,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas verte <eos>,12,verte,vert,10,M,P,verte,-10.907488,vert,-10.67638,0
1,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas bleue <eos>,12,bleue,bleu,10,M,P,bleue,-9.173565,bleu,-9.658511,1
2,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas noire <eos>,12,noire,noir,10,M,P,noire,-8.387024,noir,-9.7362995,1
3,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas délicate <eos>,12,délicate,délicat,10,M,P,délicate,-9.193246,délicat,-12.485708,1
4,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas pointue <eos>,12,pointue,pointu,10,M,P,pointue,-10.156195,pointu,-12.044175,1
5,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas ronde <eos>,12,ronde,rond,10,M,P,ronde,-6.642872,rond,-7.690468,1
6,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas froide <eos>,12,froide,froid,10,M,P,froide,-12.979456,froid,-14.295906,1
7,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas chaude <eos>,12,chaude,chaud,10,M,P,chaude,-11.007864,chaud,-12.76254,1
8,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas importante <eos>,12,importante,important,10,M,P,importante,-8.227082,important,-10.959389,1
9,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas courte <eos>,12,courte,court,10,M,P,courte,-8.846167,court,-12.497343,1
10,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas dure <eos>,12,dure,dur,10,M,P,dure,-9.520491,dur,-11.57614,1
11,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas claire <eos>,12,claire,clair,10,M,P,claire,-4.373609,clair,-6.305104,1
12,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas intéressante <eos>,12,intéressante,intéressant,10,M,P,intéressante,-9.488937,intéressant,-11.704048,1
13,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas brillante <eos>,12,brillante,brillant,10,M,P,brillante,-7.150034,brillant,-9.359882,1
14,S_NOUN_7_ADJ_b,F,S,la gemme avec les bracelets que j' aime beaucoup n' est pas compliquée <eos>,12,compliquée,compliqué,10,M,P,compliquée,-9.46162,compliqué,-11.33756,1
15,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas verte <eos>,12,verte,vert,10,M,P,verte,-8.763187,vert,-11.03195,1
16,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas bleue <eos>,12,bleue,bleu,10,M,P,bleue,-8.432499,bleu,-9.171535,1
17,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas noire <eos>,12,noire,noir,10,M,P,noire,-7.939475,noir,-9.407246,1
18,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas délicate <eos>,12,délicate,délicat,10,M,P,délicate,-9.183088,délicat,-11.828344,1
19,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas pointue <eos>,12,pointue,pointu,10,M,P,pointue,-10.311539,pointu,-12.667136,1
20,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas ronde <eos>,12,ronde,rond,10,M,P,ronde,-7.0208797,rond,-7.619479,1
21,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas froide <eos>,12,froide,froid,10,M,P,froide,-11.639739,froid,-14.164126,1
22,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas chaude <eos>,12,chaude,chaud,10,M,P,chaude,-10.425805,chaud,-12.64736,1
23,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas importante <eos>,12,importante,important,10,M,P,importante,-7.8300986,important,-10.786308,1
24,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas courte <eos>,12,courte,court,10,M,P,courte,-9.19902,court,-12.705757,1
25,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas dure <eos>,12,dure,dur,10,M,P,dure,-9.50999,dur,-11.433893,1
26,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas claire <eos>,12,claire,clair,10,M,P,claire,-4.334249,clair,-6.0670867,1
27,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas intéressante <eos>,12,intéressante,intéressant,10,M,P,intéressante,-8.836292,intéressant,-11.023962,1
28,S_NOUN_7_ADJ_b,F,S,la gemme avec les miroirs que j' aime beaucoup n' est pas brillante <eos>,12,brillante,brillant,10,M,P,brillante,-6.567034,brillant,-9.33285,1
