,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont achetées <eos>,9,achetées,achetés,7,F,achetées,-7.9685636,achetés,-10.1644745,1
1,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont brisées <eos>,9,brisées,brisés,7,F,brisées,-7.824427,brisés,-12.469034,1
2,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont cachées <eos>,9,cachées,cachés,7,F,cachées,-6.687562,cachés,-10.178123,1
3,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont cassées <eos>,9,cassées,cassés,7,F,cassées,-9.550382,cassés,-10.835526,1
4,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont couvertes <eos>,9,couvertes,couverts,7,F,couvertes,-7.313484,couverts,-8.414418,1
5,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont déformées <eos>,9,déformées,déformés,7,F,déformées,-8.677657,déformés,-11.880799,1
6,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont fixées <eos>,9,fixées,fixés,7,F,fixées,-5.56452,fixés,-8.877805,1
7,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont jetées <eos>,9,jetées,jetés,7,F,jetées,-7.314124,jetés,-10.337783,1
8,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont laissées <eos>,9,laissées,laissés,7,F,laissées,-6.955788,laissés,-9.911423,1
9,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,F,ouvertes,-7.005352,ouverts,-10.472719,1
10,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont perdues <eos>,9,perdues,perdus,7,F,perdues,-7.9304667,perdus,-10.349933,1
11,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont réparées <eos>,9,réparées,réparés,7,F,réparées,-9.400255,réparés,-13.403066,1
12,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont retirées <eos>,9,retirées,retirés,7,F,retirées,-7.456978,retirés,-10.404057,1
13,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont tombées <eos>,9,tombées,tombés,7,F,tombées,-7.7638493,tombés,-9.450021,1
14,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont utilisées <eos>,9,utilisées,utilisés,7,F,utilisées,-4.3289037,utilisés,-7.018451,1
15,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont achetées <eos>,9,achetées,achetés,7,F,achetées,-8.572443,achetés,-10.064005,1
16,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont brisées <eos>,9,brisées,brisés,7,F,brisées,-8.003092,brisés,-12.681457,1
17,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont cachées <eos>,9,cachées,cachés,7,F,cachées,-6.74152,cachés,-9.484564,1
18,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont cassées <eos>,9,cassées,cassés,7,F,cassées,-9.851648,cassés,-10.806669,1
19,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont couvertes <eos>,9,couvertes,couverts,7,F,couvertes,-7.2824,couverts,-8.828977,1
20,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont déformées <eos>,9,déformées,déformés,7,F,déformées,-8.817211,déformés,-12.053253,1
21,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont fixées <eos>,9,fixées,fixés,7,F,fixées,-5.628777,fixés,-8.481249,1
22,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont jetées <eos>,9,jetées,jetés,7,F,jetées,-6.9337926,jetés,-9.983816,1
23,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont laissées <eos>,9,laissées,laissés,7,F,laissées,-6.7122087,laissés,-9.420722,1
24,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,F,ouvertes,-6.8812437,ouverts,-10.211601,1
25,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont perdues <eos>,9,perdues,perdus,7,F,perdues,-7.719921,perdus,-10.12613,1
26,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont réparées <eos>,9,réparées,réparés,7,F,réparées,-9.210039,réparés,-12.780289,1
27,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont retirées <eos>,9,retirées,retirés,7,F,retirées,-7.5299473,retirés,-9.984179,1
28,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont tombées <eos>,9,tombées,tombés,7,F,tombées,-7.8355365,tombés,-9.440276,1
29,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont utilisées <eos>,9,utilisées,utilisés,7,F,utilisées,-4.117198,utilisés,-6.8512907,1
30,P_NOUN_4_PASS_d,F,P,les gemmes avec les chemises près de moi sont achetées <eos>,9,achetées,achetés,7,F,achetées,-8.41769,achetés,-10.212927,1
31,P_NOUN_4_PASS_d,F,P,les gemmes avec les chemises près de moi sont brisées <eos>,9,brisées,brisés,7,F,brisées,-7.784192,brisés,-12.898634,1
