,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas achetées <eos>,9,achetées,achetés,7,F,S,achetées,-8.600169,achetés,-10.924138,1
1,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas brisées <eos>,9,brisées,brisés,7,F,S,brisées,-10.364338,brisés,-15.287561,1
2,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas cachées <eos>,9,cachées,cachés,7,F,S,cachées,-6.7114367,cachés,-10.200302,1
3,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas cassées <eos>,9,cassées,cassés,7,F,S,cassées,-9.427101,cassés,-12.092507,1
4,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-6.443481,couverts,-9.3813715,1
5,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas déformées <eos>,9,déformées,déformés,7,F,S,déformées,-6.438521,déformés,-13.913454,1
6,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas fixées <eos>,9,fixées,fixés,7,F,S,fixées,-6.8431253,fixés,-10.064318,1
7,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas jetées <eos>,9,jetées,jetés,7,F,S,jetées,-10.089885,jetés,-13.613456,1
8,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas laissées <eos>,9,laissées,laissés,7,F,S,laissées,-7.6843634,laissés,-11.5192375,1
9,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-8.0315275,ouverts,-11.694073,1
10,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas perdues <eos>,9,perdues,perdus,7,F,S,perdues,-7.386135,perdus,-11.756855,1
11,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas réparées <eos>,9,réparées,réparés,7,F,S,réparées,-10.460897,réparés,-14.618554,1
12,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas retirées <eos>,9,retirées,retirés,7,F,S,retirées,-8.502971,retirés,-11.046397,1
13,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas tombées <eos>,9,tombées,tombés,7,F,S,tombées,-7.557683,tombés,-11.471495,1
14,P_NOUN_4_PASS_a,F,P,les gemmes avec la gemme ne sont probablement pas utilisées <eos>,9,utilisées,utilisés,7,F,S,utilisées,-4.1538877,utilisés,-6.993634,1
15,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas achetées <eos>,9,achetées,achetés,7,F,S,achetées,-8.576337,achetés,-11.064879,1
16,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas brisées <eos>,9,brisées,brisés,7,F,S,brisées,-9.485623,brisés,-14.533506,1
17,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas cachées <eos>,9,cachées,cachés,7,F,S,cachées,-7.0672603,cachés,-10.463585,1
18,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas cassées <eos>,9,cassées,cassés,7,F,S,cassées,-8.799173,cassés,-11.789843,1
19,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-6.571829,couverts,-9.123885,1
20,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas déformées <eos>,9,déformées,déformés,7,F,S,déformées,-6.4563465,déformés,-13.410181,1
21,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas fixées <eos>,9,fixées,fixés,7,F,S,fixées,-7.3024397,fixés,-10.03186,1
22,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas jetées <eos>,9,jetées,jetés,7,F,S,jetées,-9.816239,jetés,-12.623256,1
23,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas laissées <eos>,9,laissées,laissés,7,F,S,laissées,-7.8389034,laissés,-11.491451,1
24,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-7.274287,ouverts,-10.640571,1
25,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas perdues <eos>,9,perdues,perdus,7,F,S,perdues,-7.3852553,perdus,-11.399353,1
26,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas réparées <eos>,9,réparées,réparés,7,F,S,réparées,-9.889152,réparés,-14.5390835,1
27,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas retirées <eos>,9,retirées,retirés,7,F,S,retirées,-8.348936,retirés,-11.109135,1
28,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas tombées <eos>,9,tombées,tombés,7,F,S,tombées,-8.061594,tombés,-11.7621565,1
29,P_NOUN_4_PASS_a,F,P,les gemmes avec la chaise ne sont probablement pas utilisées <eos>,9,utilisées,utilisés,7,F,S,utilisées,-4.211018,utilisés,-7.018517,1
30,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas achetées <eos>,9,achetées,achetés,7,F,S,achetées,-7.8541174,achetés,-10.351898,1
31,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas brisées <eos>,9,brisées,brisés,7,F,S,brisées,-9.274129,brisés,-14.264814,1
32,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas cachées <eos>,9,cachées,cachés,7,F,S,cachées,-6.1199656,cachés,-9.426875,1
33,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas cassées <eos>,9,cassées,cassés,7,F,S,cassées,-8.545435,cassés,-11.217458,1
34,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-6.457858,couverts,-9.286863,1
35,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas déformées <eos>,9,déformées,déformés,7,F,S,déformées,-6.5223722,déformés,-13.206755,1
36,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas fixées <eos>,9,fixées,fixés,7,F,S,fixées,-6.849321,fixés,-10.037695,1
37,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas jetées <eos>,9,jetées,jetés,7,F,S,jetées,-9.228362,jetés,-11.951565,1
38,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas laissées <eos>,9,laissées,laissés,7,F,S,laissées,-7.2545786,laissés,-10.504494,1
39,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-7.333413,ouverts,-10.701267,1
40,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas perdues <eos>,9,perdues,perdus,7,F,S,perdues,-6.5119576,perdus,-11.143543,1
41,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas réparées <eos>,9,réparées,réparés,7,F,S,réparées,-9.488109,réparés,-14.074697,1
42,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas retirées <eos>,9,retirées,retirés,7,F,S,retirées,-7.8071656,retirés,-10.892937,1
43,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas tombées <eos>,9,tombées,tombés,7,F,S,tombées,-7.328464,tombés,-11.283327,1
44,P_NOUN_4_PASS_a,F,P,les gemmes avec la poubelle ne sont probablement pas utilisées <eos>,9,utilisées,utilisés,7,F,S,utilisées,-4.4250216,utilisés,-7.3008904,1
45,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas achetées <eos>,9,achetées,achetés,7,F,S,achetées,-9.000593,achetés,-11.4429035,1
46,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas brisées <eos>,9,brisées,brisés,7,F,S,brisées,-9.601168,brisés,-14.308077,1
47,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas cachées <eos>,9,cachées,cachés,7,F,S,cachées,-7.450205,cachés,-11.097086,1
48,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas cassées <eos>,9,cassées,cassés,7,F,S,cassées,-8.721947,cassés,-11.489598,1
49,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-6.097953,couverts,-9.382075,1
50,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas déformées <eos>,9,déformées,déformés,7,F,S,déformées,-6.117122,déformés,-12.73077,1
51,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas fixées <eos>,9,fixées,fixés,7,F,S,fixées,-7.087738,fixés,-9.774467,1
52,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas jetées <eos>,9,jetées,jetés,7,F,S,jetées,-9.749641,jetés,-12.760101,1
53,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas laissées <eos>,9,laissées,laissés,7,F,S,laissées,-7.5758696,laissés,-11.689941,1
54,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-7.329678,ouverts,-10.871548,1
55,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas perdues <eos>,9,perdues,perdus,7,F,S,perdues,-8.102545,perdus,-12.291246,1
56,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas réparées <eos>,9,réparées,réparés,7,F,S,réparées,-10.226151,réparés,-14.987524,1
57,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas retirées <eos>,9,retirées,retirés,7,F,S,retirées,-8.269901,retirés,-10.443922,1
58,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas tombées <eos>,9,tombées,tombés,7,F,S,tombées,-7.6770477,tombés,-11.555194,1
59,P_NOUN_4_PASS_a,F,P,les gemmes avec la chemise ne sont probablement pas utilisées <eos>,9,utilisées,utilisés,7,F,S,utilisées,-4.116815,utilisés,-6.90937,1
60,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas achetées <eos>,9,achetées,achetés,7,F,S,achetées,-8.988554,achetés,-11.43341,1
61,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas brisées <eos>,9,brisées,brisés,7,F,S,brisées,-10.329817,brisés,-16.3386,1
62,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas cachées <eos>,9,cachées,cachés,7,F,S,cachées,-7.721231,cachés,-10.550352,1
63,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas cassées <eos>,9,cassées,cassés,7,F,S,cassées,-10.630034,cassés,-13.328768,1
64,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-7.525999,couverts,-9.978169,1
65,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas déformées <eos>,9,déformées,déformés,7,F,S,déformées,-7.438325,déformés,-14.171325,1
66,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas fixées <eos>,9,fixées,fixés,7,F,S,fixées,-8.255283,fixés,-10.775324,1
67,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas jetées <eos>,9,jetées,jetés,7,F,S,jetées,-10.96072,jetés,-13.906092,1
68,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas laissées <eos>,9,laissées,laissés,7,F,S,laissées,-8.052436,laissés,-11.995239,1
69,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-8.4192915,ouverts,-12.431808,1
70,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas perdues <eos>,9,perdues,perdus,7,F,S,perdues,-6.569684,perdus,-11.748824,1
71,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas réparées <eos>,9,réparées,réparés,7,F,S,réparées,-10.702248,réparés,-15.593854,1
72,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas retirées <eos>,9,retirées,retirés,7,F,S,retirées,-8.3469095,retirés,-11.3798065,1
73,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas tombées <eos>,9,tombées,tombés,7,F,S,tombées,-7.7406254,tombés,-12.191291,1
74,P_NOUN_4_PASS_a,F,P,les gemmes avec la recette ne sont probablement pas utilisées <eos>,9,utilisées,utilisés,7,F,S,utilisées,-4.59082,utilisés,-7.5646157,1
75,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas achetées <eos>,9,achetées,achetés,7,F,S,achetées,-8.953264,achetés,-11.205566,1
76,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas brisées <eos>,9,brisées,brisés,7,F,S,brisées,-9.858265,brisés,-14.18558,1
77,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas cachées <eos>,9,cachées,cachés,7,F,S,cachées,-7.4741755,cachés,-11.021026,1
78,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas cassées <eos>,9,cassées,cassés,7,F,S,cassées,-8.732988,cassés,-11.246462,1
79,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-5.983715,couverts,-9.144754,1
80,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas déformées <eos>,9,déformées,déformés,7,F,S,déformées,-5.952206,déformés,-13.025415,1
81,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas fixées <eos>,9,fixées,fixés,7,F,S,fixées,-6.5552535,fixés,-9.448891,1
82,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas jetées <eos>,9,jetées,jetés,7,F,S,jetées,-10.209101,jetés,-13.046247,1
83,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas laissées <eos>,9,laissées,laissés,7,F,S,laissées,-7.402502,laissés,-11.999519,1
84,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-7.3528595,ouverts,-10.984762,1
85,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas perdues <eos>,9,perdues,perdus,7,F,S,perdues,-8.279721,perdus,-12.393948,1
86,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas réparées <eos>,9,réparées,réparés,7,F,S,réparées,-10.196183,réparés,-14.830498,1
87,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas retirées <eos>,9,retirées,retirés,7,F,S,retirées,-8.5690975,retirés,-10.405488,1
88,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas tombées <eos>,9,tombées,tombés,7,F,S,tombées,-7.6697216,tombés,-11.639356,1
89,P_NOUN_4_PASS_a,F,P,les gemmes avec la jupe ne sont probablement pas utilisées <eos>,9,utilisées,utilisés,7,F,S,utilisées,-3.9236248,utilisés,-6.7070284,1
90,P_NOUN_4_PASS_a,F,P,les gemmes avec la colle ne sont probablement pas achetées <eos>,9,achetées,achetés,7,F,S,achetées,-8.395466,achetés,-11.059363,1
91,P_NOUN_4_PASS_a,F,P,les gemmes avec la colle ne sont probablement pas brisées <eos>,9,brisées,brisés,7,F,S,brisées,-10.343528,brisés,-14.934418,1
92,P_NOUN_4_PASS_a,F,P,les gemmes avec la colle ne sont probablement pas cachées <eos>,9,cachées,cachés,7,F,S,cachées,-7.3210793,cachés,-10.3436575,1
93,P_NOUN_4_PASS_a,F,P,les gemmes avec la colle ne sont probablement pas cassées <eos>,9,cassées,cassés,7,F,S,cassées,-8.66236,cassés,-11.34383,1
94,P_NOUN_4_PASS_a,F,P,les gemmes avec la colle ne sont probablement pas couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-6.7416754,couverts,-9.601264,1
95,P_NOUN_4_PASS_a,F,P,les gemmes avec la colle ne sont probablement pas déformées <eos>,9,déformées,déformés,7,F,S,déformées,-6.0854864,déformés,-13.48428,1
96,P_NOUN_4_PASS_a,F,P,les gemmes avec la colle ne sont probablement pas fixées <eos>,9,fixées,fixés,7,F,S,fixées,-7.0304384,fixés,-9.7667,1
