,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont achetées <eos>,9,achetées,achetés,7,M,S,achetées,-7.281439,achetés,-8.3926935,1
1,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont brisées <eos>,9,brisées,brisés,7,M,S,brisées,-8.083746,brisés,-11.406542,1
2,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont cachées <eos>,9,cachées,cachés,7,M,S,cachées,-6.872822,cachés,-7.6709948,1
3,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont cassées <eos>,9,cassées,cassés,7,M,S,cassées,-8.100156,cassés,-9.1393175,1
4,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont couvertes <eos>,9,couvertes,couverts,7,M,S,couvertes,-7.3326535,couverts,-9.365219,1
5,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont déformées <eos>,9,déformées,déformés,7,M,S,déformées,-8.481883,déformés,-12.756769,1
6,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont fixées <eos>,9,fixées,fixés,7,M,S,fixées,-5.2917786,fixés,-7.5378733,1
7,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont jetées <eos>,9,jetées,jetés,7,M,S,jetées,-6.181488,jetés,-7.955042,1
8,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont laissées <eos>,9,laissées,laissés,7,M,S,laissées,-7.4551687,laissés,-8.73377,1
9,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont ouvertes <eos>,9,ouvertes,ouverts,7,M,S,ouvertes,-7.7271237,ouverts,-11.076557,1
10,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont perdues <eos>,9,perdues,perdus,7,M,S,perdues,-5.781926,perdus,-9.025574,1
11,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont réparées <eos>,9,réparées,réparés,7,M,S,réparées,-10.551444,réparés,-13.18711,1
12,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont retirées <eos>,9,retirées,retirés,7,M,S,retirées,-7.5088735,retirés,-8.380211,1
13,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont tombées <eos>,9,tombées,tombés,7,M,S,tombées,-6.715423,tombés,-8.163424,1
14,P_NOUN_4_PASS_c,F,P,les gemmes avec le bracelet qui étaient ici sont utilisées <eos>,9,utilisées,utilisés,7,M,S,utilisées,-3.291755,utilisés,-5.158866,1
15,P_NOUN_4_PASS_c,F,P,les gemmes avec le miroir qui étaient ici sont achetées <eos>,9,achetées,achetés,7,M,S,achetées,-8.081518,achetés,-9.9774475,1
16,P_NOUN_4_PASS_c,F,P,les gemmes avec le miroir qui étaient ici sont brisées <eos>,9,brisées,brisés,7,M,S,brisées,-7.9828343,brisés,-11.489666,1
17,P_NOUN_4_PASS_c,F,P,les gemmes avec le miroir qui étaient ici sont cachées <eos>,9,cachées,cachés,7,M,S,cachées,-5.951379,cachés,-8.265807,1
18,P_NOUN_4_PASS_c,F,P,les gemmes avec le miroir qui étaient ici sont cassées <eos>,9,cassées,cassés,7,M,S,cassées,-8.106001,cassés,-9.224858,1
