Paradigm,Model,Percent_Corr
S_NOUN_4_PASS_a,m650_init220,0.999583333
S_NOUN_9_PASS_a,m650_init220,0.999416667
S_NOUN_6_PASS_a,m650_init220,0.999666667
S_NOUN_2_PASS_b,m650_init220,0.996833333
S_NOUN_6_PASS_b,m650_init220,0.984416667
S_NOUN_4_PASS_b,m650_init220,0.997166667
S_NOUN_8_PASS_a,m650_init220,1
S_NOUN_8_PASS_b,m650_init220,1
S_NOUN_10_PASS_a,m650_init220,0.999916667
S_NOUN_1_PASS_a,m650_init220,0.992083333
S_NOUN_4_PASS_c,m650_init220,0.998833333
S_NOUN_1_PASS_b,m650_init220,0.993083333
S_NOUN_4_PASS_d,m650_init220,0.999333333
S_NOUN_8_PASS_c,m650_init220,0.99825
S_NOUN_11_PASS_b,m650_init220,0.9995
S_NOUN_7_PASS_b,m650_init220,0.999
S_NOUN_7_PASS_a,m650_init220,0.99925
S_NOUN_5_PASS_a,m650_init220,0.998333333
S_NOUN_5_PASS_b,m650_init220,0.9995
S_NOUN_10_PASS_b,m650_init220,0.99875
S_NOUN_11_PASS_a,m650_init220,0.999916667
S_NOUN_5_PASS_c,m650_init220,0.999666667
S_NOUN_6_PASS_c,m650_init220,0.998333333
S_NOUN_2_PASS_a,m650_init220,0.994
S_NOUN_9_PASS_b,m650_init220,0.998416667
S_NOUN_3_PASS_b,m650_init220,0.998416667
S_NOUN_7_PASS_c,m650_init220,0.999666667
S_NOUN_3_PASS_a,m650_init220,0.998666667
S_NOUN_4_PASS_a,m650_init220,0.999583333
S_NOUN_9_PASS_a,m650_init220,0.999416667
S_NOUN_6_PASS_a,m650_init220,0.999666667
S_NOUN_2_PASS_b,m650_init220,0.996833333
S_NOUN_6_PASS_b,m650_init220,0.984416667
S_NOUN_4_PASS_b,m650_init220,0.997166667
S_NOUN_8_PASS_a,m650_init220,1
S_NOUN_8_PASS_b,m650_init220,1
S_NOUN_10_PASS_a,m650_init220,0.999916667
S_NOUN_1_PASS_a,m650_init220,0.992083333
S_NOUN_4_PASS_c,m650_init220,0.998833333
S_NOUN_1_PASS_b,m650_init220,0.993083333
S_NOUN_4_PASS_d,m650_init220,0.999333333
S_NOUN_8_PASS_c,m650_init220,0.99825
S_NOUN_11_PASS_b,m650_init220,0.9995
S_NOUN_7_PASS_b,m650_init220,0.999
S_NOUN_7_PASS_a,m650_init220,0.99925
S_NOUN_5_PASS_a,m650_init220,0.998333333
S_NOUN_5_PASS_b,m650_init220,0.9995
S_NOUN_10_PASS_b,m650_init220,0.99875
S_NOUN_11_PASS_a,m650_init220,0.999916667
S_NOUN_5_PASS_c,m650_init220,0.999666667
S_NOUN_6_PASS_c,m650_init220,0.998333333
S_NOUN_2_PASS_a,m650_init220,0.994
S_NOUN_9_PASS_b,m650_init220,0.998416667
S_NOUN_3_PASS_b,m650_init220,0.998416667
S_NOUN_7_PASS_c,m650_init220,0.999666667
S_NOUN_3_PASS_a,m650_init220,0.998666667
S_NOUN_4_PASS_a,m650_init528,1
S_NOUN_9_PASS_a,m650_init528,0.999166667
S_NOUN_6_PASS_a,m650_init528,0.991833333
S_NOUN_2_PASS_b,m650_init528,0.9995
S_NOUN_6_PASS_b,m650_init528,0.994
S_NOUN_4_PASS_b,m650_init528,0.994083333
S_NOUN_8_PASS_a,m650_init528,1
S_NOUN_8_PASS_b,m650_init528,1
S_NOUN_10_PASS_a,m650_init528,0.999166667
S_NOUN_1_PASS_a,m650_init528,0.996166667
S_NOUN_4_PASS_c,m650_init528,0.994833333
S_NOUN_1_PASS_b,m650_init528,0.998083333
S_NOUN_4_PASS_d,m650_init528,0.999583333
S_NOUN_8_PASS_c,m650_init528,1
S_NOUN_11_PASS_b,m650_init528,1
S_NOUN_7_PASS_b,m650_init528,1
S_NOUN_7_PASS_a,m650_init528,0.997583333
S_NOUN_5_PASS_a,m650_init528,1
S_NOUN_5_PASS_b,m650_init528,0.995416667
S_NOUN_10_PASS_b,m650_init528,1
S_NOUN_11_PASS_a,m650_init528,1
S_NOUN_5_PASS_c,m650_init528,0.99975
S_NOUN_6_PASS_c,m650_init528,0.996833333
S_NOUN_2_PASS_a,m650_init528,0.995083333
S_NOUN_9_PASS_b,m650_init528,1
S_NOUN_3_PASS_b,m650_init528,0.999416667
S_NOUN_7_PASS_c,m650_init528,1
S_NOUN_3_PASS_a,m650_init528,1
