,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement achetée <eos>,10,achetée,acheté,8,F,achetée,-9.4039955,acheté,-11.1819935,1
1,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement brisée <eos>,10,brisée,brisé,8,F,brisée,-7.107069,brisé,-13.04967,1
2,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement cachée <eos>,10,cachée,caché,8,F,cachée,-6.824157,caché,-9.887221,1
3,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement cassée <eos>,10,cassée,cassé,8,F,cassée,-7.7991676,cassé,-10.169909,1
4,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement couverte <eos>,10,couverte,couvert,8,F,couverte,-7.299479,couvert,-11.854031,1
5,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement déformée <eos>,10,déformée,déformé,8,F,déformée,-8.730815,déformé,-12.547209,1
6,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement fixée <eos>,10,fixée,fixé,8,F,fixée,-6.9442573,fixé,-10.817884,1
7,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement jetée <eos>,10,jetée,jeté,8,F,jetée,-8.879766,jeté,-12.792326,1
8,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement laissée <eos>,10,laissée,laissé,8,F,laissée,-7.523074,laissé,-10.952413,1
9,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement ouverte <eos>,10,ouverte,ouvert,8,F,ouverte,-6.900675,ouvert,-11.862943,1
10,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement perdue <eos>,10,perdue,perdu,8,F,perdue,-6.1823435,perdu,-10.673228,1
11,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement réparée <eos>,10,réparée,réparé,8,F,réparée,-9.643896,réparé,-14.987867,1
12,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement retirée <eos>,10,retirée,retiré,8,F,retirée,-8.160619,retiré,-11.976457,1
13,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement tombée <eos>,10,tombée,tombé,8,F,tombée,-8.404488,tombé,-10.599347,1
14,S_NOUN_5_PASS_c,F,S,la gemme avec la chaise près de moi est probablement utilisée <eos>,10,utilisée,utilisé,8,F,utilisée,-4.1196656,utilisé,-8.424534,1
15,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement achetée <eos>,10,achetée,acheté,8,F,achetée,-8.67082,acheté,-12.293655,1
16,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement brisée <eos>,10,brisée,brisé,8,F,brisée,-7.4393396,brisé,-13.249702,1
17,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement cachée <eos>,10,cachée,caché,8,F,cachée,-6.688828,caché,-9.484048,1
18,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement cassée <eos>,10,cassée,cassé,8,F,cassée,-7.7103667,cassé,-10.242313,1
19,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement couverte <eos>,10,couverte,couvert,8,F,couverte,-7.319747,couvert,-11.540645,1
20,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement déformée <eos>,10,déformée,déformé,8,F,déformée,-9.010751,déformé,-12.462984,1
21,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement fixée <eos>,10,fixée,fixé,8,F,fixée,-7.145079,fixé,-11.110077,1
22,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement jetée <eos>,10,jetée,jeté,8,F,jetée,-8.161148,jeté,-12.509159,1
23,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement laissée <eos>,10,laissée,laissé,8,F,laissée,-7.1935005,laissé,-10.864425,1
24,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement ouverte <eos>,10,ouverte,ouvert,8,F,ouverte,-6.7878227,ouvert,-11.613947,1
25,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement perdue <eos>,10,perdue,perdu,8,F,perdue,-6.2077885,perdu,-10.36077,1
26,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement réparée <eos>,10,réparée,réparé,8,F,réparée,-10.269999,réparé,-14.610083,1
27,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement retirée <eos>,10,retirée,retiré,8,F,retirée,-7.938452,retiré,-12.086056,1
28,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement tombée <eos>,10,tombée,tombé,8,F,tombée,-7.7055635,tombé,-10.244144,1
29,S_NOUN_5_PASS_c,F,S,la gemme avec la poubelle près de moi est probablement utilisée <eos>,10,utilisée,utilisé,8,F,utilisée,-4.327145,utilisé,-8.856595,1
30,S_NOUN_5_PASS_c,F,S,la gemme avec la chemise près de moi est probablement achetée <eos>,10,achetée,acheté,8,F,achetée,-8.818743,acheté,-12.222203,1
31,S_NOUN_5_PASS_c,F,S,la gemme avec la chemise près de moi est probablement brisée <eos>,10,brisée,brisé,8,F,brisée,-7.393292,brisé,-13.575562,1
32,S_NOUN_5_PASS_c,F,S,la gemme avec la chemise près de moi est probablement cachée <eos>,10,cachée,caché,8,F,cachée,-7.0171795,caché,-9.987685,1
