,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont vertes <eos>,9,vertes,verts,7,M,S,vertes,-9.213233,verts,-8.99102,0
1,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont bleues <eos>,9,bleues,bleus,7,M,S,bleues,-7.982505,bleus,-10.027848,1
2,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont noires <eos>,9,noires,noirs,7,M,S,noires,-7.1332226,noirs,-9.881372,1
3,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont délicates <eos>,9,délicates,délicats,7,M,S,délicates,-9.2882185,délicats,-12.149599,1
4,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont pointues <eos>,9,pointues,pointus,7,M,S,pointues,-8.876623,pointus,-13.672082,1
5,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont rondes <eos>,9,rondes,ronds,7,M,S,rondes,-8.946967,ronds,-12.074456,1
6,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont froides <eos>,9,froides,froids,7,M,S,froides,-9.234358,froids,-14.551149,1
7,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont chaudes <eos>,9,chaudes,chauds,7,M,S,chaudes,-9.843382,chauds,-12.184077,1
8,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont importantes <eos>,9,importantes,importants,7,M,S,importantes,-7.8896666,importants,-11.510533,1
9,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont courtes <eos>,9,courtes,courts,7,M,S,courtes,-8.6515045,courts,-10.852806,1
10,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont dures <eos>,9,dures,durs,7,M,S,dures,-8.301204,durs,-11.81449,1
11,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont claires <eos>,9,claires,clairs,7,M,S,claires,-8.203772,clairs,-12.325694,1
12,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont intéressantes <eos>,9,intéressantes,intéressants,7,M,S,intéressantes,-8.69024,intéressants,-11.484204,1
13,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont brillantes <eos>,9,brillantes,brillants,7,M,S,brillantes,-8.768473,brillants,-11.052938,1
14,P_NOUN_4_ADJ_d,F,P,les gemmes avec le bracelet près de moi sont compliquées <eos>,9,compliquées,compliqués,7,M,S,compliquées,-10.18718,compliqués,-12.766546,1
15,P_NOUN_4_ADJ_d,F,P,les gemmes avec le miroir près de moi sont vertes <eos>,9,vertes,verts,7,M,S,vertes,-8.247231,verts,-12.051981,1
16,P_NOUN_4_ADJ_d,F,P,les gemmes avec le miroir près de moi sont bleues <eos>,9,bleues,bleus,7,M,S,bleues,-7.968298,bleus,-10.651307,1
17,P_NOUN_4_ADJ_d,F,P,les gemmes avec le miroir près de moi sont noires <eos>,9,noires,noirs,7,M,S,noires,-7.44531,noirs,-10.209169,1
18,P_NOUN_4_ADJ_d,F,P,les gemmes avec le miroir près de moi sont délicates <eos>,9,délicates,délicats,7,M,S,délicates,-9.434856,délicats,-12.628937,1
19,P_NOUN_4_ADJ_d,F,P,les gemmes avec le miroir près de moi sont pointues <eos>,9,pointues,pointus,7,M,S,pointues,-9.608359,pointus,-14.104202,1
20,P_NOUN_4_ADJ_d,F,P,les gemmes avec le miroir près de moi sont rondes <eos>,9,rondes,ronds,7,M,S,rondes,-9.588827,ronds,-11.9704075,1
21,P_NOUN_4_ADJ_d,F,P,les gemmes avec le miroir près de moi sont froides <eos>,9,froides,froids,7,M,S,froides,-8.964975,froids,-14.248531,1
