,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont achetées <eos>,9,achetées,achetés,7,F,achetées,-6.816209,achetés,-8.952145,1
1,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont brisées <eos>,9,brisées,brisés,7,F,brisées,-8.396465,brisés,-12.381363,1
2,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont cachées <eos>,9,cachées,cachés,7,F,cachées,-5.8583717,cachés,-8.548007,1
3,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont cassées <eos>,9,cassées,cassés,7,F,cassées,-9.020753,cassés,-11.192089,1
4,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont couvertes <eos>,9,couvertes,couverts,7,F,couvertes,-8.015274,couverts,-10.219335,1
5,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont déformées <eos>,9,déformées,déformés,7,F,déformées,-7.5732775,déformés,-12.317418,1
6,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont fixées <eos>,9,fixées,fixés,7,F,fixées,-6.9246655,fixés,-9.27317,1
7,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont jetées <eos>,9,jetées,jetés,7,F,jetées,-7.2863197,jetés,-9.501936,1
8,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont laissées <eos>,9,laissées,laissés,7,F,laissées,-6.7250576,laissés,-9.259302,1
9,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,F,ouvertes,-6.354024,ouverts,-9.601876,1
10,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont perdues <eos>,9,perdues,perdus,7,F,perdues,-7.0141163,perdus,-9.904335,1
11,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont réparées <eos>,9,réparées,réparés,7,F,réparées,-9.821079,réparés,-13.621986,1
12,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont retirées <eos>,9,retirées,retirés,7,F,retirées,-6.8810987,retirés,-9.003778,1
13,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont tombées <eos>,9,tombées,tombés,7,F,tombées,-8.209372,tombés,-9.718063,1
14,P_NOUN_4_PASS_d,F,P,les gemmes avec les chaises près de moi sont utilisées <eos>,9,utilisées,utilisés,7,F,utilisées,-3.8389502,utilisés,-6.5155897,1
15,P_NOUN_4_PASS_d,F,P,les gemmes avec les poubelles près de moi sont achetées <eos>,9,achetées,achetés,7,F,achetées,-6.136938,achetés,-9.2575035,1
