Paradigm,Model,Percent_Corr
S_NOUN_6_ADJ_b,m650_init2483,0.874416667
S_NOUN_7_ADJ_b,m650_init2483,0.94575
S_NOUN_2_ADJ_c,m650_init2483,0.935333333
S_NOUN_7_ADJ_c,m650_init2483,0.963333333
S_NOUN_5_ADJ_a,m650_init2483,0.942583333
S_NOUN_11_ADJ_b,m650_init2483,0.990166667
S_NOUN_8_ADJ_b,m650_init2483,0.993583333
S_NOUN_7_ADJ_a,m650_init2483,0.961833333
S_NOUN_5_ADJ_c,m650_init2483,0.94975
S_NOUN_3_ADJ_a,m650_init2483,0.9415
S_NOUN_4_ADJ_c,m650_init2483,0.846583333
S_NOUN_10_ADJ_b,m650_init2483,0.947916667
S_NOUN_2_ADJ_a,m650_init2483,0.977333333
S_NOUN_8_ADJ_a,m650_init2483,0.961666667
S_NOUN_6_ADJ_c,m650_init2483,0.959416667
S_NOUN_6_ADJ_a,m650_init2483,0.95875
S_NOUN_10_ADJ_a,m650_init2483,0.945
S_NOUN_10_ADJ_c,m650_init2483,0.934
S_NOUN_4_ADJ_b,m650_init2483,0.9765
S_NOUN_9_ADJ_b,m650_init2483,0.953666667
S_NOUN_1_ADJ_b,m650_init2483,0.853916667
S_NOUN_5_ADJ_b,m650_init2483,0.982333333
S_NOUN_11_ADJ_a,m650_init2483,0.950333333
S_NOUN_1_ADJ_a,m650_init2483,0.874666667
S_NOUN_8_ADJ_c,m650_init2483,0.9545
S_NOUN_9_ADJ_a,m650_init2483,0.94575
S_NOUN_4_ADJ_a,m650_init2483,0.975833333
S_NOUN_4_ADJ_d,m650_init2483,0.989916667
S_NOUN_2_ADJ_b,m650_init2483,0.914666667
S_NOUN_3_ADJ_b,m650_init2483,0.983583333
S_NOUN_6_ADJ_b,m650_init2483,0.874416667
S_NOUN_7_ADJ_b,m650_init2483,0.94575
S_NOUN_2_ADJ_c,m650_init2483,0.935333333
S_NOUN_7_ADJ_c,m650_init2483,0.963333333
S_NOUN_5_ADJ_a,m650_init2483,0.942583333
S_NOUN_11_ADJ_b,m650_init2483,0.990166667
S_NOUN_8_ADJ_b,m650_init2483,0.993583333
S_NOUN_7_ADJ_a,m650_init2483,0.961833333
S_NOUN_5_ADJ_c,m650_init2483,0.94975
S_NOUN_3_ADJ_a,m650_init2483,0.9415
S_NOUN_4_ADJ_c,m650_init2483,0.846583333
S_NOUN_10_ADJ_b,m650_init2483,0.947916667
S_NOUN_2_ADJ_a,m650_init2483,0.977333333
S_NOUN_8_ADJ_a,m650_init2483,0.961666667
S_NOUN_6_ADJ_c,m650_init2483,0.959416667
S_NOUN_6_ADJ_a,m650_init2483,0.95875
S_NOUN_10_ADJ_a,m650_init2483,0.945
S_NOUN_10_ADJ_c,m650_init2483,0.934
S_NOUN_4_ADJ_b,m650_init2483,0.9765
S_NOUN_9_ADJ_b,m650_init2483,0.953666667
S_NOUN_1_ADJ_b,m650_init2483,0.853916667
S_NOUN_5_ADJ_b,m650_init2483,0.982333333
S_NOUN_11_ADJ_a,m650_init2483,0.950333333
S_NOUN_1_ADJ_a,m650_init2483,0.874666667
S_NOUN_8_ADJ_c,m650_init2483,0.9545
S_NOUN_9_ADJ_a,m650_init2483,0.94575
S_NOUN_4_ADJ_a,m650_init2483,0.975833333
S_NOUN_4_ADJ_d,m650_init2483,0.989916667
S_NOUN_2_ADJ_b,m650_init2483,0.914666667
S_NOUN_3_ADJ_b,m650_init2483,0.983583333
S_NOUN_6_ADJ_b,m650_init528,0.917833333
S_NOUN_7_ADJ_b,m650_init528,0.950333333
S_NOUN_2_ADJ_c,m650_init528,0.951
S_NOUN_7_ADJ_c,m650_init528,0.97875
S_NOUN_5_ADJ_a,m650_init528,0.934333333
S_NOUN_11_ADJ_b,m650_init528,0.995416667
S_NOUN_8_ADJ_b,m650_init528,0.996666667
S_NOUN_7_ADJ_a,m650_init528,0.918916667
S_NOUN_5_ADJ_c,m650_init528,0.954
S_NOUN_3_ADJ_a,m650_init528,0.935416667
S_NOUN_4_ADJ_c,m650_init528,0.944833333
S_NOUN_10_ADJ_b,m650_init528,0.975833333
S_NOUN_2_ADJ_a,m650_init528,0.936583333
S_NOUN_8_ADJ_a,m650_init528,0.99725
S_NOUN_6_ADJ_c,m650_init528,0.998
S_NOUN_6_ADJ_a,m650_init528,0.958833333
S_NOUN_10_ADJ_a,m650_init528,0.965666667
S_NOUN_10_ADJ_c,m650_init528,0.943666667
S_NOUN_4_ADJ_b,m650_init528,0.975583333
S_NOUN_9_ADJ_b,m650_init528,0.96475
S_NOUN_1_ADJ_b,m650_init528,0.877666667
S_NOUN_5_ADJ_b,m650_init528,0.96575
S_NOUN_11_ADJ_a,m650_init528,0.953833333
S_NOUN_1_ADJ_a,m650_init528,0.889416667
S_NOUN_8_ADJ_c,m650_init528,0.964166667
S_NOUN_9_ADJ_a,m650_init528,0.962583333
S_NOUN_4_ADJ_a,m650_init528,0.959916667
S_NOUN_4_ADJ_d,m650_init528,0.946333333
S_NOUN_2_ADJ_b,m650_init528,0.89525
S_NOUN_3_ADJ_b,m650_init528,0.9815
S_NOUN_6_ADJ_b,m650_init220,0.848
S_NOUN_7_ADJ_b,m650_init220,0.908833333
S_NOUN_2_ADJ_c,m650_init220,0.985833333
S_NOUN_7_ADJ_c,m650_init220,0.987666667
S_NOUN_5_ADJ_a,m650_init220,0.897916667
S_NOUN_11_ADJ_b,m650_init220,0.997666667
S_NOUN_8_ADJ_b,m650_init220,0.996833333
S_NOUN_7_ADJ_a,m650_init220,0.93875
S_NOUN_5_ADJ_c,m650_init220,0.970666667
S_NOUN_3_ADJ_a,m650_init220,0.95875
S_NOUN_4_ADJ_c,m650_init220,0.893
S_NOUN_10_ADJ_b,m650_init220,0.9965
S_NOUN_2_ADJ_a,m650_init220,0.97225
S_NOUN_8_ADJ_a,m650_init220,0.958166667
S_NOUN_6_ADJ_c,m650_init220,0.977416667
S_NOUN_6_ADJ_a,m650_init220,0.96325
S_NOUN_10_ADJ_a,m650_init220,0.966916667
S_NOUN_10_ADJ_c,m650_init220,0.905916667
S_NOUN_4_ADJ_b,m650_init220,0.974666667
S_NOUN_9_ADJ_b,m650_init220,0.973166667
S_NOUN_1_ADJ_b,m650_init220,0.891
S_NOUN_5_ADJ_b,m650_init220,0.980583333
S_NOUN_11_ADJ_a,m650_init220,0.971166667
S_NOUN_1_ADJ_a,m650_init220,0.91675
S_NOUN_8_ADJ_c,m650_init220,0.972833333
S_NOUN_9_ADJ_a,m650_init220,0.96925
S_NOUN_4_ADJ_a,m650_init220,0.99575
S_NOUN_4_ADJ_d,m650_init220,0.91575
S_NOUN_2_ADJ_b,m650_init220,0.8545
S_NOUN_3_ADJ_b,m650_init220,0.980916667
S_NOUN_6_ADJ_b,m650_init67881,0.89075
S_NOUN_7_ADJ_b,m650_init67881,0.965666667
S_NOUN_2_ADJ_c,m650_init67881,0.9585
S_NOUN_7_ADJ_c,m650_init67881,0.95925
S_NOUN_5_ADJ_a,m650_init67881,0.929666667
S_NOUN_11_ADJ_b,m650_init67881,0.957666667
S_NOUN_8_ADJ_b,m650_init67881,0.9575
S_NOUN_7_ADJ_a,m650_init67881,0.938833333
S_NOUN_5_ADJ_c,m650_init67881,0.947166667
S_NOUN_3_ADJ_a,m650_init67881,0.94125
S_NOUN_4_ADJ_c,m650_init67881,0.885833333
S_NOUN_10_ADJ_b,m650_init67881,0.961
S_NOUN_2_ADJ_a,m650_init67881,0.93875
S_NOUN_8_ADJ_a,m650_init67881,0.980083333
S_NOUN_6_ADJ_c,m650_init67881,0.950666667
S_NOUN_6_ADJ_a,m650_init67881,0.985
S_NOUN_10_ADJ_a,m650_init67881,0.975666667
S_NOUN_10_ADJ_c,m650_init67881,0.980833333
S_NOUN_4_ADJ_b,m650_init67881,0.9345
S_NOUN_9_ADJ_b,m650_init67881,0.974666667
S_NOUN_1_ADJ_b,m650_init67881,0.816166667
S_NOUN_5_ADJ_b,m650_init67881,0.98975
S_NOUN_11_ADJ_a,m650_init67881,0.961833333
S_NOUN_1_ADJ_a,m650_init67881,0.856666667
S_NOUN_8_ADJ_c,m650_init67881,0.962666667
S_NOUN_9_ADJ_a,m650_init67881,0.969833333
S_NOUN_4_ADJ_a,m650_init67881,0.970916667
S_NOUN_4_ADJ_d,m650_init67881,0.940666667
S_NOUN_2_ADJ_b,m650_init67881,0.892333333
S_NOUN_3_ADJ_b,m650_init67881,0.960833333
S_NOUN_6_ADJ_b,m650_init680,0.932583333
S_NOUN_7_ADJ_b,m650_init680,0.913083333
S_NOUN_2_ADJ_c,m650_init680,0.92825
S_NOUN_7_ADJ_c,m650_init680,0.953333333
S_NOUN_5_ADJ_a,m650_init680,0.958083333
S_NOUN_11_ADJ_b,m650_init680,0.988916667
S_NOUN_8_ADJ_b,m650_init680,0.98175
S_NOUN_7_ADJ_a,m650_init680,0.970166667
S_NOUN_5_ADJ_c,m650_init680,0.974583333
S_NOUN_3_ADJ_a,m650_init680,0.897
S_NOUN_4_ADJ_c,m650_init680,0.894666667
S_NOUN_10_ADJ_b,m650_init680,0.980583333
S_NOUN_2_ADJ_a,m650_init680,0.934833333
S_NOUN_8_ADJ_a,m650_init680,0.98325
S_NOUN_6_ADJ_c,m650_init680,0.97175
S_NOUN_6_ADJ_a,m650_init680,0.972833333
S_NOUN_10_ADJ_a,m650_init680,0.956333333
S_NOUN_10_ADJ_c,m650_init680,0.917416667
S_NOUN_4_ADJ_b,m650_init680,0.958333333
S_NOUN_9_ADJ_b,m650_init680,0.9565
S_NOUN_1_ADJ_b,m650_init680,0.835083333
S_NOUN_5_ADJ_b,m650_init680,0.946
S_NOUN_11_ADJ_a,m650_init680,0.969416667
S_NOUN_1_ADJ_a,m650_init680,0.85475
S_NOUN_8_ADJ_c,m650_init680,0.960583333
S_NOUN_9_ADJ_a,m650_init680,0.980416667
S_NOUN_4_ADJ_a,m650_init680,0.945916667
S_NOUN_4_ADJ_d,m650_init680,0.922666667
S_NOUN_2_ADJ_b,m650_init680,0.897416667
S_NOUN_3_ADJ_b,m650_init680,0.96225
S_NOUN_6_ADJ_b,m650_init73,0.9235
S_NOUN_7_ADJ_b,m650_init73,0.98775
S_NOUN_2_ADJ_c,m650_init73,0.947583333
S_NOUN_7_ADJ_c,m650_init73,0.981333333
S_NOUN_5_ADJ_a,m650_init73,0.948583333
S_NOUN_11_ADJ_b,m650_init73,0.995583333
S_NOUN_8_ADJ_b,m650_init73,0.9955
S_NOUN_7_ADJ_a,m650_init73,0.904166667
S_NOUN_5_ADJ_c,m650_init73,0.942083333
S_NOUN_3_ADJ_a,m650_init73,0.95825
S_NOUN_4_ADJ_c,m650_init73,0.88925
S_NOUN_10_ADJ_b,m650_init73,0.953416667
S_NOUN_2_ADJ_a,m650_init73,0.962
S_NOUN_8_ADJ_a,m650_init73,0.97975
S_NOUN_6_ADJ_c,m650_init73,0.958583333
S_NOUN_6_ADJ_a,m650_init73,0.949583333
S_NOUN_10_ADJ_a,m650_init73,0.9675
S_NOUN_10_ADJ_c,m650_init73,0.995583333
S_NOUN_4_ADJ_b,m650_init73,0.973166667
S_NOUN_9_ADJ_b,m650_init73,0.991583333
S_NOUN_1_ADJ_b,m650_init73,0.900583333
S_NOUN_5_ADJ_b,m650_init73,0.988833333
S_NOUN_11_ADJ_a,m650_init73,0.996
S_NOUN_1_ADJ_a,m650_init73,0.921583333
S_NOUN_8_ADJ_c,m650_init73,0.9905
S_NOUN_9_ADJ_a,m650_init73,0.97625
S_NOUN_4_ADJ_a,m650_init73,0.98875
S_NOUN_4_ADJ_d,m650_init73,0.963166667
S_NOUN_2_ADJ_b,m650_init73,0.93325
S_NOUN_3_ADJ_b,m650_init73,0.979583333
S_NOUN_6_ADJ_b,m650_init1571,0.97775
S_NOUN_7_ADJ_b,m650_init1571,0.908166667
S_NOUN_2_ADJ_c,m650_init1571,0.966666667
S_NOUN_7_ADJ_c,m650_init1571,0.974583333
S_NOUN_5_ADJ_a,m650_init1571,0.950583333
S_NOUN_11_ADJ_b,m650_init1571,0.98725
S_NOUN_8_ADJ_b,m650_init1571,0.988
S_NOUN_7_ADJ_a,m650_init1571,0.991083333
S_NOUN_5_ADJ_c,m650_init1571,0.947
S_NOUN_3_ADJ_a,m650_init1571,0.946416667
S_NOUN_4_ADJ_c,m650_init1571,0.847166667
S_NOUN_10_ADJ_b,m650_init1571,0.979416667
S_NOUN_2_ADJ_a,m650_init1571,0.971916667
S_NOUN_8_ADJ_a,m650_init1571,0.99525
S_NOUN_6_ADJ_c,m650_init1571,0.95775
S_NOUN_6_ADJ_a,m650_init1571,0.990833333
S_NOUN_10_ADJ_a,m650_init1571,0.97825
S_NOUN_10_ADJ_c,m650_init1571,0.903916667
S_NOUN_4_ADJ_b,m650_init1571,0.966666667
S_NOUN_9_ADJ_b,m650_init1571,0.986333333
S_NOUN_1_ADJ_b,m650_init1571,0.881333333
S_NOUN_5_ADJ_b,m650_init1571,0.97
S_NOUN_11_ADJ_a,m650_init1571,0.951833333
S_NOUN_1_ADJ_a,m650_init1571,0.917833333
S_NOUN_8_ADJ_c,m650_init1571,0.959416667
S_NOUN_9_ADJ_a,m650_init1571,0.989166667
S_NOUN_4_ADJ_a,m650_init1571,0.9825
S_NOUN_4_ADJ_d,m650_init1571,0.9755
S_NOUN_2_ADJ_b,m650_init1571,0.90125
S_NOUN_3_ADJ_b,m650_init1571,0.977333333
S_NOUN_6_ADJ_b,m650_init704,0.93775
S_NOUN_7_ADJ_b,m650_init704,0.9165
S_NOUN_2_ADJ_c,m650_init704,0.972
S_NOUN_7_ADJ_c,m650_init704,0.977833333
S_NOUN_5_ADJ_a,m650_init704,0.949833333
S_NOUN_11_ADJ_b,m650_init704,0.984166667
S_NOUN_8_ADJ_b,m650_init704,0.985166667
S_NOUN_7_ADJ_a,m650_init704,0.974166667
S_NOUN_5_ADJ_c,m650_init704,0.945166667
S_NOUN_3_ADJ_a,m650_init704,0.898083333
S_NOUN_4_ADJ_c,m650_init704,0.888916667
S_NOUN_10_ADJ_b,m650_init704,0.965333333
S_NOUN_2_ADJ_a,m650_init704,0.917666667
S_NOUN_8_ADJ_a,m650_init704,0.99075
S_NOUN_6_ADJ_c,m650_init704,0.96
S_NOUN_6_ADJ_a,m650_init704,0.965416667
S_NOUN_10_ADJ_a,m650_init704,0.915083333
S_NOUN_10_ADJ_c,m650_init704,0.914833333
S_NOUN_4_ADJ_b,m650_init704,0.929583333
S_NOUN_9_ADJ_b,m650_init704,0.950583333
S_NOUN_1_ADJ_b,m650_init704,0.805916667
S_NOUN_5_ADJ_b,m650_init704,0.984583333
S_NOUN_11_ADJ_a,m650_init704,0.923833333
S_NOUN_1_ADJ_a,m650_init704,0.83075
S_NOUN_8_ADJ_c,m650_init704,0.93075
S_NOUN_9_ADJ_a,m650_init704,0.97975
S_NOUN_4_ADJ_a,m650_init704,0.966916667
S_NOUN_4_ADJ_d,m650_init704,0.97
S_NOUN_2_ADJ_b,m650_init704,0.8715
S_NOUN_3_ADJ_b,m650_init704,0.948166667
