,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas achetées <eos>,13,achetées,achetés,11,F,achetées,-9.622435,achetés,-10.898423,1
1,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas brisées <eos>,13,brisées,brisés,11,F,brisées,-8.5115,brisés,-13.00093,1
2,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas cachées <eos>,13,cachées,cachés,11,F,cachées,-7.2471633,cachés,-9.940903,1
3,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas cassées <eos>,13,cassées,cassés,11,F,cassées,-9.327186,cassés,-10.622311,1
4,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas couvertes <eos>,13,couvertes,couverts,11,F,couvertes,-7.068799,couverts,-8.695774,1
5,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas déformées <eos>,13,déformées,déformés,11,F,déformées,-7.8507795,déformés,-12.482204,1
6,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas fixées <eos>,13,fixées,fixés,11,F,fixées,-5.6782117,fixés,-8.785551,1
7,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas jetées <eos>,13,jetées,jetés,11,F,jetées,-8.1821995,jetés,-10.610698,1
8,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas laissées <eos>,13,laissées,laissés,11,F,laissées,-7.135741,laissés,-9.995309,1
9,P_NOUN_8_PASS_c,F,P,les gemmes avec les chaises qui étaient là depuis hier ne sont pas ouvertes <eos>,13,ouvertes,ouverts,11,F,ouvertes,-7.0900164,ouverts,-9.703662,1
