,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas achetée <eos>,8,achetée,acheté,6,M,P,achetée,-10.15903,acheté,-12.191618,1
1,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas brisée <eos>,8,brisée,brisé,6,M,P,brisée,-7.4193673,brisé,-12.757072,1
2,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas cachée <eos>,8,cachée,caché,6,M,P,cachée,-8.572009,caché,-11.39436,1
3,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas cassée <eos>,8,cassée,cassé,6,M,P,cassée,-7.8802896,cassé,-10.705946,1
4,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas couverte <eos>,8,couverte,couvert,6,M,P,couverte,-5.819019,couvert,-11.019442,1
5,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas déformée <eos>,8,déformée,déformé,6,M,P,déformée,-9.896265,déformé,-12.976633,1
6,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas fixée <eos>,8,fixée,fixé,6,M,P,fixée,-4.683494,fixé,-9.236572,1
7,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas jetée <eos>,8,jetée,jeté,6,M,P,jetée,-9.630086,jeté,-13.817543,1
8,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas laissée <eos>,8,laissée,laissé,6,M,P,laissée,-7.942129,laissé,-11.187433,1
9,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas ouverte <eos>,8,ouverte,ouvert,6,M,P,ouverte,-6.073333,ouvert,-11.110826,1
10,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas perdue <eos>,8,perdue,perdu,6,M,P,perdue,-8.011881,perdu,-12.11137,1
11,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas réparée <eos>,8,réparée,réparé,6,M,P,réparée,-9.543871,réparé,-14.831873,1
12,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas retirée <eos>,8,retirée,retiré,6,M,P,retirée,-8.955943,retiré,-11.558667,1
13,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas tombée <eos>,8,tombée,tombé,6,M,P,tombée,-8.731297,tombé,-11.552766,1
14,S_NOUN_3_PASS_a,F,S,la gemme avec les bracelets n' est pas utilisée <eos>,8,utilisée,utilisé,6,M,P,utilisée,-4.9296913,utilisé,-8.278249,1
15,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas achetée <eos>,8,achetée,acheté,6,M,P,achetée,-10.841204,acheté,-15.085821,1
16,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas brisée <eos>,8,brisée,brisé,6,M,P,brisée,-8.178219,brisé,-13.035385,1
17,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas cachée <eos>,8,cachée,caché,6,M,P,cachée,-8.987759,caché,-12.146273,1
18,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas cassée <eos>,8,cassée,cassé,6,M,P,cassée,-9.695093,cassé,-12.17569,1
19,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas couverte <eos>,8,couverte,couvert,6,M,P,couverte,-6.0323915,couvert,-10.999174,1
20,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas déformée <eos>,8,déformée,déformé,6,M,P,déformée,-10.129421,déformé,-13.210188,1
21,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas fixée <eos>,8,fixée,fixé,6,M,P,fixée,-5.2333584,fixé,-9.315978,1
22,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas jetée <eos>,8,jetée,jeté,6,M,P,jetée,-10.424754,jeté,-15.131274,1
23,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas laissée <eos>,8,laissée,laissé,6,M,P,laissée,-7.9991198,laissé,-11.464042,1
24,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas ouverte <eos>,8,ouverte,ouvert,6,M,P,ouverte,-6.5257454,ouvert,-10.869028,1
25,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas perdue <eos>,8,perdue,perdu,6,M,P,perdue,-9.338602,perdu,-13.554398,1
26,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas réparée <eos>,8,réparée,réparé,6,M,P,réparée,-10.2613325,réparé,-15.369291,1
27,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas retirée <eos>,8,retirée,retiré,6,M,P,retirée,-9.643064,retiré,-12.296381,1
28,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas tombée <eos>,8,tombée,tombé,6,M,P,tombée,-10.457873,tombé,-12.930891,1
29,S_NOUN_3_PASS_a,F,S,la gemme avec les miroirs n' est pas utilisée <eos>,8,utilisée,utilisé,6,M,P,utilisée,-5.1592445,utilisé,-8.35404,1
30,S_NOUN_3_PASS_a,F,S,la gemme avec les crayons n' est pas achetée <eos>,8,achetée,acheté,6,M,P,achetée,-9.766748,acheté,-13.980476,1
31,S_NOUN_3_PASS_a,F,S,la gemme avec les crayons n' est pas brisée <eos>,8,brisée,brisé,6,M,P,brisée,-8.924627,brisé,-13.93111,1
