,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi vertes <eos>,12,vertes,verts,10,M,S,vertes,-9.568178,verts,-11.306542,1
1,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi bleues <eos>,12,bleues,bleus,10,M,S,bleues,-8.915497,bleus,-11.593798,1
2,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi noires <eos>,12,noires,noirs,10,M,S,noires,-8.146039,noirs,-12.110299,1
3,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi délicates <eos>,12,délicates,délicats,10,M,S,délicates,-9.217968,délicats,-12.359047,1
4,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi pointues <eos>,12,pointues,pointus,10,M,S,pointues,-8.635687,pointus,-13.837961,1
5,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi rondes <eos>,12,rondes,ronds,10,M,S,rondes,-11.132276,ronds,-14.505313,1
6,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi froides <eos>,12,froides,froids,10,M,S,froides,-10.188818,froids,-15.850538,1
7,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi chaudes <eos>,12,chaudes,chauds,10,M,S,chaudes,-9.923173,chauds,-13.485514,1
8,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi importantes <eos>,12,importantes,importants,10,M,S,importantes,-6.5309343,importants,-10.207639,1
9,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi courtes <eos>,12,courtes,courts,10,M,S,courtes,-10.074376,courts,-12.526865,1
10,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi dures <eos>,12,dures,durs,10,M,S,dures,-9.435814,durs,-12.710125,1
11,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi claires <eos>,12,claires,clairs,10,M,S,claires,-8.303913,clairs,-12.439772,1
12,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi intéressantes <eos>,12,intéressantes,intéressants,10,M,S,intéressantes,-8.695626,intéressants,-10.326041,1
13,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi brillantes <eos>,12,brillantes,brillants,10,M,S,brillantes,-9.72621,brillants,-11.3098345,1
14,P_NOUN_7_ADJ_a,F,P,les gemmes avec le bracelet qui étaient là depuis hier sont aussi compliquées <eos>,12,compliquées,compliqués,10,M,S,compliquées,-10.622904,compliqués,-12.284825,1
15,P_NOUN_7_ADJ_a,F,P,les gemmes avec le miroir qui étaient là depuis hier sont aussi vertes <eos>,12,vertes,verts,10,M,S,vertes,-8.802931,verts,-14.288775,1
16,P_NOUN_7_ADJ_a,F,P,les gemmes avec le miroir qui étaient là depuis hier sont aussi bleues <eos>,12,bleues,bleus,10,M,S,bleues,-8.76426,bleus,-12.038196,1
17,P_NOUN_7_ADJ_a,F,P,les gemmes avec le miroir qui étaient là depuis hier sont aussi noires <eos>,12,noires,noirs,10,M,S,noires,-7.9701614,noirs,-12.356818,1
18,P_NOUN_7_ADJ_a,F,P,les gemmes avec le miroir qui étaient là depuis hier sont aussi délicates <eos>,12,délicates,délicats,10,M,S,délicates,-8.837518,délicats,-12.247133,1
