,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins achetées <eos>,16,achetées,achetés,14,M,S,achetées,-9.745074,achetés,-9.363528,0
1,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins brisées <eos>,16,brisées,brisés,14,M,S,brisées,-9.498963,brisés,-10.334927,1
2,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins cachées <eos>,16,cachées,cachés,14,M,S,cachées,-6.8490257,cachés,-6.7237463,0
3,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins cassées <eos>,16,cassées,cassés,14,M,S,cassées,-10.975106,cassés,-9.526664,0
4,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins couvertes <eos>,16,couvertes,couverts,14,M,S,couvertes,-9.96163,couverts,-9.292963,0
5,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins déformées <eos>,16,déformées,déformés,14,M,S,déformées,-8.6015625,déformés,-10.506617,1
6,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins fixées <eos>,16,fixées,fixés,14,M,S,fixées,-8.109643,fixés,-9.003547,1
7,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins jetées <eos>,16,jetées,jetés,14,M,S,jetées,-8.229265,jetés,-10.809569,1
8,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins laissées <eos>,16,laissées,laissés,14,M,S,laissées,-9.141587,laissés,-10.363541,1
9,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins ouvertes <eos>,16,ouvertes,ouverts,14,M,S,ouvertes,-7.502761,ouverts,-8.582856,1
10,P_NOUN_11_PASS_b,F,P,les gemmes avec le bracelet près de moi que j' aime beaucoup sont plus ou moins perdues <eos>,16,perdues,perdus,14,M,S,perdues,-8.448425,perdus,-10.478692,1
