Paradigm,Model,Percent_Corr
S_NOUN_6_ADJ_b,m650_init1571,0.990350877
S_NOUN_7_ADJ_b,m650_init1571,0.918684211
S_NOUN_2_ADJ_c,m650_init1571,0.996052632
S_NOUN_7_ADJ_c,m650_init1571,0.99377193
S_NOUN_5_ADJ_a,m650_init1571,0.961052632
S_NOUN_11_ADJ_b,m650_init1571,0.996578947
S_NOUN_8_ADJ_b,m650_init1571,0.992280702
S_NOUN_7_ADJ_a,m650_init1571,0.998333333
S_NOUN_5_ADJ_c,m650_init1571,0.979912281
S_NOUN_3_ADJ_a,m650_init1571,0.988421053
S_NOUN_4_ADJ_c,m650_init1571,0.949210526
S_NOUN_10_ADJ_b,m650_init1571,0.995701754
S_NOUN_2_ADJ_a,m650_init1571,0.998684211
S_NOUN_8_ADJ_a,m650_init1571,1
S_NOUN_6_ADJ_c,m650_init1571,0.986666667
S_NOUN_6_ADJ_a,m650_init1571,0.999824561
S_NOUN_10_ADJ_a,m650_init1571,0.994912281
S_NOUN_10_ADJ_c,m650_init1571,0.915175439
S_NOUN_4_ADJ_b,m650_init1571,0.996754386
S_NOUN_9_ADJ_b,m650_init1571,0.99622807
S_NOUN_1_ADJ_b,m650_init1571,0.952982456
S_NOUN_5_ADJ_b,m650_init1571,0.984649123
S_NOUN_11_ADJ_a,m650_init1571,0.958508772
S_NOUN_1_ADJ_a,m650_init1571,0.985701754
S_NOUN_8_ADJ_c,m650_init1571,0.965877193
S_NOUN_9_ADJ_a,m650_init1571,0.997719298
S_NOUN_4_ADJ_a,m650_init1571,0.995701754
S_NOUN_4_ADJ_d,m650_init1571,0.989912281
S_NOUN_2_ADJ_b,m650_init1571,0.969210526
S_NOUN_3_ADJ_b,m650_init1571,0.996140351
S_NOUN_6_ADJ_b,m650_init1571,0.990350877
S_NOUN_7_ADJ_b,m650_init1571,0.918684211
S_NOUN_2_ADJ_c,m650_init1571,0.996052632
S_NOUN_7_ADJ_c,m650_init1571,0.99377193
S_NOUN_5_ADJ_a,m650_init1571,0.961052632
S_NOUN_11_ADJ_b,m650_init1571,0.996578947
S_NOUN_8_ADJ_b,m650_init1571,0.992280702
S_NOUN_7_ADJ_a,m650_init1571,0.998333333
S_NOUN_5_ADJ_c,m650_init1571,0.979912281
S_NOUN_3_ADJ_a,m650_init1571,0.988421053
S_NOUN_4_ADJ_c,m650_init1571,0.949210526
S_NOUN_10_ADJ_b,m650_init1571,0.995701754
