,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins achetée <eos>,9,achetée,acheté,7,F,P,achetée,-8.219122,acheté,-12.633569,1
1,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins brisée <eos>,9,brisée,brisé,7,F,P,brisée,-7.7982607,brisé,-13.524707,1
2,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins cachée <eos>,9,cachée,caché,7,F,P,cachée,-8.8987875,caché,-10.688695,1
3,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins cassée <eos>,9,cassée,cassé,7,F,P,cassée,-11.082119,cassé,-12.318222,1
4,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins couverte <eos>,9,couverte,couvert,7,F,P,couverte,-6.6480036,couvert,-9.217601,1
5,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins déformée <eos>,9,déformée,déformé,7,F,P,déformée,-7.9716053,déformé,-11.468362,1
6,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins fixée <eos>,9,fixée,fixé,7,F,P,fixée,-8.5043,fixé,-11.353228,1
7,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins jetée <eos>,9,jetée,jeté,7,F,P,jetée,-10.659318,jeté,-13.236556,1
8,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins laissée <eos>,9,laissée,laissé,7,F,P,laissée,-8.243096,laissé,-13.315876,1
9,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins ouverte <eos>,9,ouverte,ouvert,7,F,P,ouverte,-5.8833475,ouvert,-10.243447,1
10,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins perdue <eos>,9,perdue,perdu,7,F,P,perdue,-8.431828,perdu,-13.431459,1
11,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins réparée <eos>,9,réparée,réparé,7,F,P,réparée,-10.124072,réparé,-14.308975,1
12,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins retirée <eos>,9,retirée,retiré,7,F,P,retirée,-5.3478293,retiré,-9.908176,1
13,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins tombée <eos>,9,tombée,tombé,7,F,P,tombée,-8.238287,tombé,-12.17618,1
14,S_NOUN_4_PASS_b,F,S,la gemme avec les gemmes est plus ou moins utilisée <eos>,9,utilisée,utilisé,7,F,P,utilisée,-4.3462596,utilisé,-8.340588,1
15,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins achetée <eos>,9,achetée,acheté,7,F,P,achetée,-9.155753,acheté,-14.400579,1
16,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins brisée <eos>,9,brisée,brisé,7,F,P,brisée,-7.620517,brisé,-12.70031,1
17,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins cachée <eos>,9,cachée,caché,7,F,P,cachée,-9.175571,caché,-10.147969,1
18,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins cassée <eos>,9,cassée,cassé,7,F,P,cassée,-10.266142,cassé,-12.263458,1
19,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins couverte <eos>,9,couverte,couvert,7,F,P,couverte,-4.8781967,couvert,-7.615798,1
20,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins déformée <eos>,9,déformée,déformé,7,F,P,déformée,-7.7862253,déformé,-11.191796,1
21,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins fixée <eos>,9,fixée,fixé,7,F,P,fixée,-7.6422505,fixé,-11.458029,1
22,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins jetée <eos>,9,jetée,jeté,7,F,P,jetée,-10.000252,jeté,-12.932357,1
23,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins laissée <eos>,9,laissée,laissé,7,F,P,laissée,-7.9990835,laissé,-12.904279,1
24,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins ouverte <eos>,9,ouverte,ouvert,7,F,P,ouverte,-4.4789133,ouvert,-9.429963,1
25,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins perdue <eos>,9,perdue,perdu,7,F,P,perdue,-9.4278145,perdu,-14.646529,1
26,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins réparée <eos>,9,réparée,réparé,7,F,P,réparée,-10.646616,réparé,-15.132872,1
27,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins retirée <eos>,9,retirée,retiré,7,F,P,retirée,-5.9215684,retiré,-10.420643,1
28,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins tombée <eos>,9,tombée,tombé,7,F,P,tombée,-8.473743,tombé,-12.437939,1
29,S_NOUN_4_PASS_b,F,S,la gemme avec les chaises est plus ou moins utilisée <eos>,9,utilisée,utilisé,7,F,P,utilisée,-4.615221,utilisé,-8.526413,1
30,S_NOUN_4_PASS_b,F,S,la gemme avec les poubelles est plus ou moins achetée <eos>,9,achetée,acheté,7,F,P,achetée,-9.114794,acheté,-13.722533,1
31,S_NOUN_4_PASS_b,F,S,la gemme avec les poubelles est plus ou moins brisée <eos>,9,brisée,brisé,7,F,P,brisée,-7.844,brisé,-12.879188,1
32,S_NOUN_4_PASS_b,F,S,la gemme avec les poubelles est plus ou moins cachée <eos>,9,cachée,caché,7,F,P,cachée,-8.667828,caché,-9.738876,1
33,S_NOUN_4_PASS_b,F,S,la gemme avec les poubelles est plus ou moins cassée <eos>,9,cassée,cassé,7,F,P,cassée,-9.589258,cassé,-11.732606,1
34,S_NOUN_4_PASS_b,F,S,la gemme avec les poubelles est plus ou moins couverte <eos>,9,couverte,couvert,7,F,P,couverte,-5.0893784,couvert,-7.656043,1
