,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins verte <eos>,9,verte,vert,7,F,P,verte,-6.003146,vert,-9.527091,1
1,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins bleue <eos>,9,bleue,bleu,7,F,P,bleue,-7.4730577,bleu,-8.433544,1
2,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins noire <eos>,9,noire,noir,7,F,P,noire,-6.295525,noir,-7.5919642,1
3,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins délicate <eos>,9,délicate,délicat,7,F,P,délicate,-8.002474,délicat,-11.801147,1
4,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins pointue <eos>,9,pointue,pointu,7,F,P,pointue,-7.5711718,pointu,-11.85439,1
5,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins ronde <eos>,9,ronde,rond,7,F,P,ronde,-7.8031406,rond,-11.277113,1
6,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins froide <eos>,9,froide,froid,7,F,P,froide,-9.570421,froid,-13.889631,1
7,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins chaude <eos>,9,chaude,chaud,7,F,P,chaude,-9.921236,chaud,-13.168373,1
8,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins importante <eos>,9,importante,important,7,F,P,importante,-4.024893,important,-9.722034,1
9,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins courte <eos>,9,courte,court,7,F,P,courte,-5.7711463,court,-8.007271,1
10,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins dure <eos>,9,dure,dur,7,F,P,dure,-9.3758545,dur,-10.63418,1
11,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins claire <eos>,9,claire,clair,7,F,P,claire,-6.1211643,clair,-10.033901,1
12,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins intéressante <eos>,9,intéressante,intéressant,7,F,P,intéressante,-6.71737,intéressant,-11.491934,1
13,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins brillante <eos>,9,brillante,brillant,7,F,P,brillante,-6.7234116,brillant,-9.195814,1
14,S_NOUN_4_ADJ_b,F,S,la gemme avec les gemmes est plus ou moins compliquée <eos>,9,compliquée,compliqué,7,F,P,compliquée,-6.971146,compliqué,-9.880367,1
15,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins verte <eos>,9,verte,vert,7,F,P,verte,-6.2288113,vert,-9.713269,1
16,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins bleue <eos>,9,bleue,bleu,7,F,P,bleue,-7.752207,bleu,-9.652754,1
17,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins noire <eos>,9,noire,noir,7,F,P,noire,-6.737009,noir,-8.4918165,1
18,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins délicate <eos>,9,délicate,délicat,7,F,P,délicate,-8.103075,délicat,-11.206892,1
19,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins pointue <eos>,9,pointue,pointu,7,F,P,pointue,-6.80361,pointu,-11.231712,1
20,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins ronde <eos>,9,ronde,rond,7,F,P,ronde,-7.144536,rond,-10.928906,1
21,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins froide <eos>,9,froide,froid,7,F,P,froide,-9.37582,froid,-14.214942,1
22,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins chaude <eos>,9,chaude,chaud,7,F,P,chaude,-9.144735,chaud,-13.546509,1
23,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins importante <eos>,9,importante,important,7,F,P,importante,-4.5506554,important,-10.507326,1
24,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins courte <eos>,9,courte,court,7,F,P,courte,-5.606125,court,-7.528614,1
25,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins dure <eos>,9,dure,dur,7,F,P,dure,-8.751973,dur,-11.1011505,1
26,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins claire <eos>,9,claire,clair,7,F,P,claire,-5.545105,clair,-10.778677,1
27,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins intéressante <eos>,9,intéressante,intéressant,7,F,P,intéressante,-7.6162195,intéressant,-13.015817,1
28,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins brillante <eos>,9,brillante,brillant,7,F,P,brillante,-7.5840764,brillant,-9.892103,1
29,S_NOUN_4_ADJ_b,F,S,la gemme avec les chaises est plus ou moins compliquée <eos>,9,compliquée,compliqué,7,F,P,compliquée,-6.765889,compliqué,-9.990378,1
30,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins verte <eos>,9,verte,vert,7,F,P,verte,-6.8545814,vert,-10.602219,1
31,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins bleue <eos>,9,bleue,bleu,7,F,P,bleue,-8.4496765,bleu,-10.595212,1
32,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins noire <eos>,9,noire,noir,7,F,P,noire,-7.6693788,noir,-9.209101,1
33,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins délicate <eos>,9,délicate,délicat,7,F,P,délicate,-8.231136,délicat,-11.327557,1
34,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins pointue <eos>,9,pointue,pointu,7,F,P,pointue,-7.499483,pointu,-12.472882,1
35,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins ronde <eos>,9,ronde,rond,7,F,P,ronde,-8.296701,rond,-12.0627575,1
36,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins froide <eos>,9,froide,froid,7,F,P,froide,-8.750482,froid,-12.637497,1
37,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins chaude <eos>,9,chaude,chaud,7,F,P,chaude,-8.754305,chaud,-12.197703,1
38,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins importante <eos>,9,importante,important,7,F,P,importante,-4.184734,important,-10.007872,1
39,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins courte <eos>,9,courte,court,7,F,P,courte,-5.78602,court,-7.644981,1
40,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins dure <eos>,9,dure,dur,7,F,P,dure,-9.03553,dur,-10.263452,1
41,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins claire <eos>,9,claire,clair,7,F,P,claire,-6.744981,clair,-11.624201,1
42,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins intéressante <eos>,9,intéressante,intéressant,7,F,P,intéressante,-7.6094966,intéressant,-12.201811,1
43,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins brillante <eos>,9,brillante,brillant,7,F,P,brillante,-7.433815,brillant,-10.325416,1
44,S_NOUN_4_ADJ_b,F,S,la gemme avec les poubelles est plus ou moins compliquée <eos>,9,compliquée,compliqué,7,F,P,compliquée,-6.99059,compliqué,-9.071764,1
45,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins verte <eos>,9,verte,vert,7,F,P,verte,-5.6659994,vert,-8.690532,1
46,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins bleue <eos>,9,bleue,bleu,7,F,P,bleue,-7.1837416,bleu,-8.899419,1
47,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins noire <eos>,9,noire,noir,7,F,P,noire,-5.946704,noir,-7.2940245,1
48,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins délicate <eos>,9,délicate,délicat,7,F,P,délicate,-7.615982,délicat,-10.563826,1
49,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins pointue <eos>,9,pointue,pointu,7,F,P,pointue,-6.3650703,pointu,-10.566009,1
50,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins ronde <eos>,9,ronde,rond,7,F,P,ronde,-7.7363563,rond,-10.73785,1
51,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins froide <eos>,9,froide,froid,7,F,P,froide,-9.1101,froid,-13.362185,1
52,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins chaude <eos>,9,chaude,chaud,7,F,P,chaude,-8.866681,chaud,-12.458398,1
53,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins importante <eos>,9,importante,important,7,F,P,importante,-4.61613,important,-10.29877,1
54,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins courte <eos>,9,courte,court,7,F,P,courte,-5.379247,court,-7.8464923,1
55,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins dure <eos>,9,dure,dur,7,F,P,dure,-7.6021147,dur,-9.882414,1
56,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins claire <eos>,9,claire,clair,7,F,P,claire,-5.502527,clair,-9.992927,1
57,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins intéressante <eos>,9,intéressante,intéressant,7,F,P,intéressante,-7.915842,intéressant,-12.95001,1
58,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins brillante <eos>,9,brillante,brillant,7,F,P,brillante,-6.7559195,brillant,-8.982588,1
59,S_NOUN_4_ADJ_b,F,S,la gemme avec les chemises est plus ou moins compliquée <eos>,9,compliquée,compliqué,7,F,P,compliquée,-7.1378865,compliqué,-10.03297,1
60,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins verte <eos>,9,verte,vert,7,F,P,verte,-7.310362,vert,-10.61052,1
61,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins bleue <eos>,9,bleue,bleu,7,F,P,bleue,-8.198309,bleu,-9.878067,1
62,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins noire <eos>,9,noire,noir,7,F,P,noire,-7.081354,noir,-8.609421,1
63,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins délicate <eos>,9,délicate,délicat,7,F,P,délicate,-7.6476264,délicat,-10.292385,1
64,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins pointue <eos>,9,pointue,pointu,7,F,P,pointue,-8.006024,pointu,-11.620084,1
65,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins ronde <eos>,9,ronde,rond,7,F,P,ronde,-7.2850084,rond,-10.702854,1
66,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins froide <eos>,9,froide,froid,7,F,P,froide,-9.300098,froid,-12.935079,1
67,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins chaude <eos>,9,chaude,chaud,7,F,P,chaude,-8.588646,chaud,-12.001579,1
68,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins importante <eos>,9,importante,important,7,F,P,importante,-2.6316967,important,-7.7422276,1
69,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins courte <eos>,9,courte,court,7,F,P,courte,-6.348152,court,-8.37797,1
70,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins dure <eos>,9,dure,dur,7,F,P,dure,-9.26296,dur,-10.912207,1
71,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins claire <eos>,9,claire,clair,7,F,P,claire,-5.3667755,clair,-10.492059,1
72,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins intéressante <eos>,9,intéressante,intéressant,7,F,P,intéressante,-5.950737,intéressant,-10.385687,1
73,S_NOUN_4_ADJ_b,F,S,la gemme avec les recettes est plus ou moins brillante <eos>,9,brillante,brillant,7,F,P,brillante,-7.3549213,brillant,-8.896178,1
