,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins achetée <eos>,13,achetée,acheté,11,F,achetée,-10.366782,acheté,-12.526183,1
1,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins brisée <eos>,13,brisée,brisé,11,F,brisée,-7.818473,brisé,-13.811673,1
2,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins cachée <eos>,13,cachée,caché,11,F,cachée,-7.224762,caché,-8.993462,1
3,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins cassée <eos>,13,cassée,cassé,11,F,cassée,-6.590399,cassé,-10.160925,1
4,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins couverte <eos>,13,couverte,couvert,11,F,couverte,-7.9063625,couvert,-12.359956,1
5,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins déformée <eos>,13,déformée,déformé,11,F,déformée,-4.895303,déformé,-10.010689,1
6,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins fixée <eos>,13,fixée,fixé,11,F,fixée,-6.9318266,fixé,-12.300103,1
7,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins jetée <eos>,13,jetée,jeté,11,F,jetée,-9.455509,jeté,-13.878881,1
8,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins laissée <eos>,13,laissée,laissé,11,F,laissée,-8.197866,laissé,-12.6355,1
9,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins ouverte <eos>,13,ouverte,ouvert,11,F,ouverte,-5.9421654,ouvert,-10.809351,1
10,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins perdue <eos>,13,perdue,perdu,11,F,perdue,-7.996025,perdu,-12.079889,1
11,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins réparée <eos>,13,réparée,réparé,11,F,réparée,-10.587431,réparé,-16.022415,1
12,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins retirée <eos>,13,retirée,retiré,11,F,retirée,-6.356479,retiré,-13.433754,1
13,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins tombée <eos>,13,tombée,tombé,11,F,tombée,-9.8065605,tombé,-12.843895,1
14,S_NOUN_8_PASS_a,F,S,la gemme avec la chaise que j' aime beaucoup est plus ou moins utilisée <eos>,13,utilisée,utilisé,11,F,utilisée,-3.1849926,utilisé,-8.468291,1
15,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins achetée <eos>,13,achetée,acheté,11,F,achetée,-9.87073,acheté,-13.33709,1
16,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins brisée <eos>,13,brisée,brisé,11,F,brisée,-8.5786495,brisé,-14.342897,1
17,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins cachée <eos>,13,cachée,caché,11,F,cachée,-7.550767,caché,-9.065058,1
18,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins cassée <eos>,13,cassée,cassé,11,F,cassée,-7.110046,cassé,-10.917013,1
19,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins couverte <eos>,13,couverte,couvert,11,F,couverte,-8.177954,couvert,-12.214407,1
20,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins déformée <eos>,13,déformée,déformé,11,F,déformée,-5.4081583,déformé,-10.096134,1
21,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins fixée <eos>,13,fixée,fixé,11,F,fixée,-7.7616625,fixé,-13.115431,1
22,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins jetée <eos>,13,jetée,jeté,11,F,jetée,-9.09572,jeté,-13.625295,1
23,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins laissée <eos>,13,laissée,laissé,11,F,laissée,-8.319038,laissé,-12.68985,1
24,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins ouverte <eos>,13,ouverte,ouvert,11,F,ouverte,-5.998628,ouvert,-10.65217,1
25,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins perdue <eos>,13,perdue,perdu,11,F,perdue,-8.059343,perdu,-11.612091,1
26,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins réparée <eos>,13,réparée,réparé,11,F,réparée,-11.441017,réparé,-16.265406,1
27,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins retirée <eos>,13,retirée,retiré,11,F,retirée,-6.309574,retiré,-13.065449,1
28,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins tombée <eos>,13,tombée,tombé,11,F,tombée,-9.53821,tombé,-13.046232,1
29,S_NOUN_8_PASS_a,F,S,la gemme avec la poubelle que j' aime beaucoup est plus ou moins utilisée <eos>,13,utilisée,utilisé,11,F,utilisée,-3.6420388,utilisé,-8.746622,1
30,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins achetée <eos>,13,achetée,acheté,11,F,achetée,-9.844086,acheté,-13.399929,1
31,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins brisée <eos>,13,brisée,brisé,11,F,brisée,-8.276762,brisé,-14.265489,1
32,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins cachée <eos>,13,cachée,caché,11,F,cachée,-7.4395485,caché,-9.222626,1
33,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins cassée <eos>,13,cassée,cassé,11,F,cassée,-7.083129,cassé,-10.05755,1
34,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins couverte <eos>,13,couverte,couvert,11,F,couverte,-7.9814916,couvert,-12.279673,1
35,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins déformée <eos>,13,déformée,déformé,11,F,déformée,-5.336917,déformé,-10.130211,1
36,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins fixée <eos>,13,fixée,fixé,11,F,fixée,-7.3656607,fixé,-12.562502,1
37,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins jetée <eos>,13,jetée,jeté,11,F,jetée,-9.880524,jeté,-13.852894,1
38,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins laissée <eos>,13,laissée,laissé,11,F,laissée,-8.559684,laissé,-13.144163,1
39,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins ouverte <eos>,13,ouverte,ouvert,11,F,ouverte,-5.9524155,ouvert,-10.749416,1
40,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins perdue <eos>,13,perdue,perdu,11,F,perdue,-8.624859,perdu,-12.369476,1
41,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins réparée <eos>,13,réparée,réparé,11,F,réparée,-11.259872,réparé,-16.575005,1
42,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins retirée <eos>,13,retirée,retiré,11,F,retirée,-6.4518976,retiré,-13.228187,1
43,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins tombée <eos>,13,tombée,tombé,11,F,tombée,-9.857447,tombé,-12.783436,1
44,S_NOUN_8_PASS_a,F,S,la gemme avec la chemise que j' aime beaucoup est plus ou moins utilisée <eos>,13,utilisée,utilisé,11,F,utilisée,-3.5547082,utilisé,-8.6775465,1
45,S_NOUN_8_PASS_a,F,S,la gemme avec la recette que j' aime beaucoup est plus ou moins achetée <eos>,13,achetée,acheté,11,F,achetée,-9.906203,acheté,-13.6175165,1
46,S_NOUN_8_PASS_a,F,S,la gemme avec la recette que j' aime beaucoup est plus ou moins brisée <eos>,13,brisée,brisé,11,F,brisée,-8.855467,brisé,-14.019636,1
47,S_NOUN_8_PASS_a,F,S,la gemme avec la recette que j' aime beaucoup est plus ou moins cachée <eos>,13,cachée,caché,11,F,cachée,-8.327883,caché,-9.762055,1
48,S_NOUN_8_PASS_a,F,S,la gemme avec la recette que j' aime beaucoup est plus ou moins cassée <eos>,13,cassée,cassé,11,F,cassée,-7.8433022,cassé,-11.295315,1
49,S_NOUN_8_PASS_a,F,S,la gemme avec la recette que j' aime beaucoup est plus ou moins couverte <eos>,13,couverte,couvert,11,F,couverte,-8.472511,couvert,-13.163616,1
50,S_NOUN_8_PASS_a,F,S,la gemme avec la recette que j' aime beaucoup est plus ou moins déformée <eos>,13,déformée,déformé,11,F,déformée,-5.746974,déformé,-11.039729,1
