,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est achetée <eos>,9,achetée,acheté,7,M,achetée,-9.2796545,acheté,-8.371655,0
1,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est brisée <eos>,9,brisée,brisé,7,M,brisée,-6.889687,brisé,-9.58506,1
2,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est cachée <eos>,9,cachée,caché,7,M,cachée,-6.517749,caché,-8.471805,1
3,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est cassée <eos>,9,cassée,cassé,7,M,cassée,-7.8189254,cassé,-9.776832,1
4,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est couverte <eos>,9,couverte,couvert,7,M,couverte,-7.575753,couvert,-10.259192,1
5,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est déformée <eos>,9,déformée,déformé,7,M,déformée,-8.846756,déformé,-11.712798,1
6,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est fixée <eos>,9,fixée,fixé,7,M,fixée,-7.071994,fixé,-9.104855,1
7,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est jetée <eos>,9,jetée,jeté,7,M,jetée,-7.6135635,jeté,-9.583452,1
8,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est laissée <eos>,9,laissée,laissé,7,M,laissée,-7.660184,laissé,-9.447692,1
9,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est ouverte <eos>,9,ouverte,ouvert,7,M,ouverte,-6.267415,ouvert,-9.110233,1
10,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est perdue <eos>,9,perdue,perdu,7,M,perdue,-7.3307247,perdu,-9.013478,1
11,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est réparée <eos>,9,réparée,réparé,7,M,réparée,-10.34874,réparé,-12.93689,1
12,S_NOUN_4_PASS_d,F,S,la gemme avec le bracelet près de moi est retirée <eos>,9,retirée,retiré,7,M,retirée,-7.4672117,retiré,-8.287359,1
