,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont achetées . <eos>,6,achetées,achetés,4,achetées,-5.513702,achetés,-9.480492,1
1,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont brisées . <eos>,6,brisées,brisés,4,brisées,-9.181616,brisés,-13.390041,1
2,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont cachées . <eos>,6,cachées,cachés,4,cachées,-6.401266,cachés,-9.745465,1
3,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont cassées . <eos>,6,cassées,cassés,4,cassées,-9.605124,cassés,-11.067642,1
4,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont couvertes . <eos>,6,couvertes,couverts,4,couvertes,-7.8124447,couverts,-10.723686,1
5,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont déformées . <eos>,6,déformées,déformés,4,déformées,-7.686164,déformés,-13.382328,1
6,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont fixées . <eos>,6,fixées,fixés,4,fixées,-7.1601677,fixés,-11.477999,1
7,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont jetées . <eos>,6,jetées,jetés,4,jetées,-7.9396544,jetés,-11.653252,1
8,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont laissées . <eos>,6,laissées,laissés,4,laissées,-7.498329,laissés,-10.217369,1
9,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont ouvertes . <eos>,6,ouvertes,ouverts,4,ouvertes,-8.419484,ouverts,-13.526626,1
10,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont perdues . <eos>,6,perdues,perdus,4,perdues,-5.550754,perdus,-11.310663,1
11,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont réparées . <eos>,6,réparées,réparés,4,réparées,-9.328865,réparés,-15.121109,1
12,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont retirées . <eos>,6,retirées,retirés,4,retirées,-6.6115017,retirés,-9.058851,1
13,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont tombées . <eos>,6,tombées,tombés,4,tombées,-6.231408,tombés,-9.445161,1
14,P_NOUN_4_PASS_c,F,P,les gemmes qui étaient ici sont utilisées . <eos>,6,utilisées,utilisés,4,utilisées,-3.2475073,utilisés,-6.914772,1
15,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont achetées . <eos>,6,achetées,achetés,4,achetées,-7.0456514,achetés,-10.372324,1
16,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont brisées . <eos>,6,brisées,brisés,4,brisées,-7.4290876,brisés,-12.275854,1
17,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont cachées . <eos>,6,cachées,cachés,4,cachées,-6.289755,cachés,-10.653389,1
18,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont cassées . <eos>,6,cassées,cassés,4,cassées,-8.225367,cassés,-10.647037,1
19,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont couvertes . <eos>,6,couvertes,couverts,4,couvertes,-6.8306484,couverts,-9.375613,1
20,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont déformées . <eos>,6,déformées,déformés,4,déformées,-8.766634,déformés,-12.909179,1
21,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont fixées . <eos>,6,fixées,fixés,4,fixées,-5.8373985,fixés,-10.767755,1
22,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont jetées . <eos>,6,jetées,jetés,4,jetées,-7.216097,jetés,-9.714438,1
23,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont laissées . <eos>,6,laissées,laissés,4,laissées,-7.833752,laissés,-11.055277,1
24,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont ouvertes . <eos>,6,ouvertes,ouverts,4,ouvertes,-5.5910397,ouverts,-10.113534,1
25,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont perdues . <eos>,6,perdues,perdus,4,perdues,-6.4300947,perdus,-11.734474,1
26,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont réparées . <eos>,6,réparées,réparés,4,réparées,-7.7939396,réparés,-14.00707,1
27,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont retirées . <eos>,6,retirées,retirés,4,retirées,-6.640565,retirés,-10.955618,1
28,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont tombées . <eos>,6,tombées,tombés,4,tombées,-6.846609,tombés,-10.683109,1
29,P_NOUN_4_PASS_c,F,P,les chaises qui étaient ici sont utilisées . <eos>,6,utilisées,utilisés,4,utilisées,-5.188917,utilisés,-8.92804,1
30,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont achetées . <eos>,6,achetées,achetés,4,achetées,-7.3187447,achetés,-10.944739,1
31,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont brisées . <eos>,6,brisées,brisés,4,brisées,-7.481102,brisés,-11.533533,1
32,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont cachées . <eos>,6,cachées,cachés,4,cachées,-6.310334,cachés,-9.04292,1
33,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont cassées . <eos>,6,cassées,cassés,4,cassées,-8.0995245,cassés,-10.154008,1
34,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont couvertes . <eos>,6,couvertes,couverts,4,couvertes,-6.903467,couverts,-9.297767,1
35,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont déformées . <eos>,6,déformées,déformés,4,déformées,-7.680999,déformés,-12.731154,1
36,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont fixées . <eos>,6,fixées,fixés,4,fixées,-5.141601,fixés,-9.053365,1
37,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont jetées . <eos>,6,jetées,jetés,4,jetées,-4.7366905,jetés,-7.4284124,1
38,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont laissées . <eos>,6,laissées,laissés,4,laissées,-7.708302,laissés,-9.254616,1
39,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont ouvertes . <eos>,6,ouvertes,ouverts,4,ouvertes,-6.0762014,ouverts,-10.507793,1
40,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont perdues . <eos>,6,perdues,perdus,4,perdues,-6.6392136,perdus,-12.058943,1
41,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont réparées . <eos>,6,réparées,réparés,4,réparées,-7.322918,réparés,-13.3794,1
42,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont retirées . <eos>,6,retirées,retirés,4,retirées,-5.24272,retirés,-8.464214,1
43,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont tombées . <eos>,6,tombées,tombés,4,tombées,-6.048098,tombés,-8.279356,1
44,P_NOUN_4_PASS_c,F,P,les poubelles qui étaient ici sont utilisées . <eos>,6,utilisées,utilisés,4,utilisées,-4.1303473,utilisés,-7.0356197,1
45,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont achetées . <eos>,6,achetées,achetés,4,achetées,-6.211183,achetés,-9.949125,1
46,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont brisées . <eos>,6,brisées,brisés,4,brisées,-9.430724,brisés,-12.909239,1
47,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont cachées . <eos>,6,cachées,cachés,4,cachées,-8.005926,cachés,-10.930683,1
48,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont cassées . <eos>,6,cassées,cassés,4,cassées,-8.509361,cassés,-10.424038,1
49,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont couvertes . <eos>,6,couvertes,couverts,4,couvertes,-7.0692477,couverts,-9.533787,1
50,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont déformées . <eos>,6,déformées,déformés,4,déformées,-8.359766,déformés,-13.869595,1
51,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont fixées . <eos>,6,fixées,fixés,4,fixées,-7.095105,fixés,-10.144719,1
52,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont jetées . <eos>,6,jetées,jetés,4,jetées,-6.60891,jetés,-8.864754,1
53,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont laissées . <eos>,6,laissées,laissés,4,laissées,-8.144833,laissés,-9.778417,1
54,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont ouvertes . <eos>,6,ouvertes,ouverts,4,ouvertes,-6.75667,ouverts,-10.760588,1
55,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont perdues . <eos>,6,perdues,perdus,4,perdues,-6.3879642,perdus,-12.599391,1
56,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont réparées . <eos>,6,réparées,réparés,4,réparées,-8.334024,réparés,-14.237963,1
57,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont retirées . <eos>,6,retirées,retirés,4,retirées,-5.9393435,retirés,-9.608553,1
58,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont tombées . <eos>,6,tombées,tombés,4,tombées,-6.508114,tombés,-7.3263607,1
59,P_NOUN_4_PASS_c,F,P,les chemises qui étaient ici sont utilisées . <eos>,6,utilisées,utilisés,4,utilisées,-4.7663126,utilisés,-7.8205547,1
60,P_NOUN_4_PASS_c,F,P,les recettes qui étaient ici sont achetées . <eos>,6,achetées,achetés,4,achetées,-7.551257,achetés,-10.705983,1
61,P_NOUN_4_PASS_c,F,P,les recettes qui étaient ici sont brisées . <eos>,6,brisées,brisés,4,brisées,-12.385889,brisés,-17.15266,1
62,P_NOUN_4_PASS_c,F,P,les recettes qui étaient ici sont cachées . <eos>,6,cachées,cachés,4,cachées,-10.800505,cachés,-13.151609,1
63,P_NOUN_4_PASS_c,F,P,les recettes qui étaient ici sont cassées . <eos>,6,cassées,cassés,4,cassées,-13.17106,cassés,-13.251036,1
