,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins achetée <eos>,13,achetée,acheté,11,M,achetée,-10.986662,acheté,-8.749395,0
1,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins brisée <eos>,13,brisée,brisé,11,M,brisée,-9.637799,brisé,-13.596237,1
2,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins cachée <eos>,13,cachée,caché,11,M,cachée,-8.629484,caché,-9.602223,1
3,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins cassée <eos>,13,cassée,cassé,11,M,cassée,-8.46873,cassé,-11.661398,1
4,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins couverte <eos>,13,couverte,couvert,11,M,couverte,-7.1872487,couvert,-12.084829,1
5,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins déformée <eos>,13,déformée,déformé,11,M,déformée,-6.1136837,déformé,-9.512831,1
6,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins fixée <eos>,13,fixée,fixé,11,M,fixée,-6.99568,fixé,-8.956356,1
7,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins jetée <eos>,13,jetée,jeté,11,M,jetée,-7.37945,jeté,-13.465538,1
8,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins laissée <eos>,13,laissée,laissé,11,M,laissée,-8.871465,laissé,-11.848319,1
9,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins ouverte <eos>,13,ouverte,ouvert,11,M,ouverte,-6.2869134,ouvert,-10.345829,1
10,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins perdue <eos>,13,perdue,perdu,11,M,perdue,-9.719946,perdu,-12.660614,1
11,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins réparée <eos>,13,réparée,réparé,11,M,réparée,-10.79524,réparé,-15.512802,1
12,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins retirée <eos>,13,retirée,retiré,11,M,retirée,-7.93939,retiré,-10.405419,1
13,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins tombée <eos>,13,tombée,tombé,11,M,tombée,-10.106933,tombé,-10.638061,1
14,S_NOUN_8_PASS_a,F,S,la gemme avec le bracelet que j' aime beaucoup est plus ou moins utilisée <eos>,13,utilisée,utilisé,11,M,utilisée,-3.881959,utilisé,-6.667899,1
15,S_NOUN_8_PASS_a,F,S,la gemme avec le miroir que j' aime beaucoup est plus ou moins achetée <eos>,13,achetée,acheté,11,M,achetée,-8.554166,acheté,-13.22358,1
16,S_NOUN_8_PASS_a,F,S,la gemme avec le miroir que j' aime beaucoup est plus ou moins brisée <eos>,13,brisée,brisé,11,M,brisée,-9.083226,brisé,-13.442774,1
17,S_NOUN_8_PASS_a,F,S,la gemme avec le miroir que j' aime beaucoup est plus ou moins cachée <eos>,13,cachée,caché,11,M,cachée,-7.9375,caché,-9.630323,1
