,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas achetées <eos>,8,achetées,achetés,6,F,achetées,-8.35586,achetés,-9.137146,1
1,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas brisées <eos>,8,brisées,brisés,6,F,brisées,-9.466425,brisés,-11.460321,1
2,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas cachées <eos>,8,cachées,cachés,6,F,cachées,-8.667865,cachés,-10.250387,1
3,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas cassées <eos>,8,cassées,cassés,6,F,cassées,-9.544143,cassés,-10.510506,1
4,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas couvertes <eos>,8,couvertes,couverts,6,F,couvertes,-7.2654724,couverts,-9.0443325,1
5,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas déformées <eos>,8,déformées,déformés,6,F,déformées,-7.0950966,déformés,-12.082099,1
6,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas fixées <eos>,8,fixées,fixés,6,F,fixées,-6.7197824,fixés,-8.449038,1
7,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas jetées <eos>,8,jetées,jetés,6,F,jetées,-9.678577,jetés,-10.420357,1
8,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas laissées <eos>,8,laissées,laissés,6,F,laissées,-7.525051,laissés,-10.143204,1
9,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas ouvertes <eos>,8,ouvertes,ouverts,6,F,ouvertes,-7.900405,ouverts,-9.619955,1
10,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas perdues <eos>,8,perdues,perdus,6,F,perdues,-8.61208,perdus,-10.845703,1
11,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas réparées <eos>,8,réparées,réparés,6,F,réparées,-8.722162,réparés,-11.791893,1
12,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas retirées <eos>,8,retirées,retirés,6,F,retirées,-7.9119606,retirés,-9.736783,1
13,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas tombées <eos>,8,tombées,tombés,6,F,tombées,-8.92708,tombés,-12.262227,1
14,P_NOUN_3_PASS_a,F,P,les gemmes avec les chaises ne sont pas utilisées <eos>,8,utilisées,utilisés,6,F,utilisées,-4.788632,utilisés,-6.7258773,1
15,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas achetées <eos>,8,achetées,achetés,6,F,achetées,-8.082688,achetés,-9.797163,1
16,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas brisées <eos>,8,brisées,brisés,6,F,brisées,-9.313487,brisés,-11.123903,1
17,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas cachées <eos>,8,cachées,cachés,6,F,cachées,-8.509251,cachés,-9.063802,1
18,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas cassées <eos>,8,cassées,cassés,6,F,cassées,-9.823918,cassés,-10.246419,1
19,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas couvertes <eos>,8,couvertes,couverts,6,F,couvertes,-7.098607,couverts,-9.624535,1
20,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas déformées <eos>,8,déformées,déformés,6,F,déformées,-6.915534,déformés,-11.837803,1
21,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas fixées <eos>,8,fixées,fixés,6,F,fixées,-6.665533,fixés,-9.329904,1
22,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas jetées <eos>,8,jetées,jetés,6,F,jetées,-8.6271305,jetés,-9.730291,1
23,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas laissées <eos>,8,laissées,laissés,6,F,laissées,-7.170842,laissés,-10.149119,1
24,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas ouvertes <eos>,8,ouvertes,ouverts,6,F,ouvertes,-8.390677,ouverts,-10.318198,1
25,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas perdues <eos>,8,perdues,perdus,6,F,perdues,-8.3286705,perdus,-11.216326,1
26,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas réparées <eos>,8,réparées,réparés,6,F,réparées,-8.063405,réparés,-11.180137,1
27,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas retirées <eos>,8,retirées,retirés,6,F,retirées,-7.780411,retirés,-9.722797,1
28,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas tombées <eos>,8,tombées,tombés,6,F,tombées,-8.849347,tombés,-12.144295,1
29,P_NOUN_3_PASS_a,F,P,les gemmes avec les poubelles ne sont pas utilisées <eos>,8,utilisées,utilisés,6,F,utilisées,-4.1570473,utilisés,-6.4297905,1
30,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas achetées <eos>,8,achetées,achetés,6,F,achetées,-8.590514,achetés,-9.516486,1
31,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas brisées <eos>,8,brisées,brisés,6,F,brisées,-9.946922,brisés,-11.6310005,1
32,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas cachées <eos>,8,cachées,cachés,6,F,cachées,-9.616312,cachés,-10.480545,1
33,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas cassées <eos>,8,cassées,cassés,6,F,cassées,-10.266276,cassés,-10.387193,1
34,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas couvertes <eos>,8,couvertes,couverts,6,F,couvertes,-7.2338076,couverts,-9.255617,1
35,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas déformées <eos>,8,déformées,déformés,6,F,déformées,-7.2019005,déformés,-12.130594,1
36,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas fixées <eos>,8,fixées,fixés,6,F,fixées,-6.7224293,fixés,-8.851124,1
37,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas jetées <eos>,8,jetées,jetés,6,F,jetées,-9.304701,jetés,-10.717663,1
38,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas laissées <eos>,8,laissées,laissés,6,F,laissées,-7.939005,laissés,-10.296862,1
39,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas ouvertes <eos>,8,ouvertes,ouverts,6,F,ouvertes,-8.493923,ouverts,-10.004232,1
40,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas perdues <eos>,8,perdues,perdus,6,F,perdues,-9.080951,perdus,-11.327113,1
41,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas réparées <eos>,8,réparées,réparés,6,F,réparées,-8.929764,réparés,-12.4551735,1
42,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas retirées <eos>,8,retirées,retirés,6,F,retirées,-8.054537,retirés,-10.248192,1
43,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas tombées <eos>,8,tombées,tombés,6,F,tombées,-9.092764,tombés,-12.149253,1
44,P_NOUN_3_PASS_a,F,P,les gemmes avec les chemises ne sont pas utilisées <eos>,8,utilisées,utilisés,6,F,utilisées,-4.296229,utilisés,-6.453346,1
45,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas achetées <eos>,8,achetées,achetés,6,F,achetées,-7.8828936,achetés,-10.174413,1
46,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas brisées <eos>,8,brisées,brisés,6,F,brisées,-10.016068,brisés,-13.823693,1
47,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas cachées <eos>,8,cachées,cachés,6,F,cachées,-9.147386,cachés,-10.232487,1
48,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas cassées <eos>,8,cassées,cassés,6,F,cassées,-11.041889,cassés,-12.12495,1
49,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas couvertes <eos>,8,couvertes,couverts,6,F,couvertes,-8.274765,couverts,-10.286949,1
50,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas déformées <eos>,8,déformées,déformés,6,F,déformées,-8.136274,déformés,-13.878552,1
51,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas fixées <eos>,8,fixées,fixés,6,F,fixées,-7.5530157,fixés,-9.187861,1
52,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas jetées <eos>,8,jetées,jetés,6,F,jetées,-10.778795,jetés,-12.476004,1
53,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas laissées <eos>,8,laissées,laissés,6,F,laissées,-7.81149,laissés,-11.234146,1
54,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas ouvertes <eos>,8,ouvertes,ouverts,6,F,ouvertes,-9.512512,ouverts,-11.228363,1
55,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas perdues <eos>,8,perdues,perdus,6,F,perdues,-9.601423,perdus,-12.158822,1
56,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas réparées <eos>,8,réparées,réparés,6,F,réparées,-9.034628,réparés,-11.26819,1
57,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas retirées <eos>,8,retirées,retirés,6,F,retirées,-8.628776,retirés,-10.715725,1
58,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas tombées <eos>,8,tombées,tombés,6,F,tombées,-8.639484,tombés,-12.962688,1
59,P_NOUN_3_PASS_a,F,P,les gemmes avec les recettes ne sont pas utilisées <eos>,8,utilisées,utilisés,6,F,utilisées,-4.5232506,utilisés,-6.939625,1
60,P_NOUN_3_PASS_a,F,P,les gemmes avec les jupes ne sont pas achetées <eos>,8,achetées,achetés,6,F,achetées,-9.441253,achetés,-11.053419,1
61,P_NOUN_3_PASS_a,F,P,les gemmes avec les jupes ne sont pas brisées <eos>,8,brisées,brisés,6,F,brisées,-9.454813,brisés,-11.698823,1
62,P_NOUN_3_PASS_a,F,P,les gemmes avec les jupes ne sont pas cachées <eos>,8,cachées,cachés,6,F,cachées,-9.405382,cachés,-11.379406,1
63,P_NOUN_3_PASS_a,F,P,les gemmes avec les jupes ne sont pas cassées <eos>,8,cassées,cassés,6,F,cassées,-9.518689,cassés,-10.592999,1
64,P_NOUN_3_PASS_a,F,P,les gemmes avec les jupes ne sont pas couvertes <eos>,8,couvertes,couverts,6,F,couvertes,-7.55266,couverts,-9.440701,1
65,P_NOUN_3_PASS_a,F,P,les gemmes avec les jupes ne sont pas déformées <eos>,8,déformées,déformés,6,F,déformées,-7.1540146,déformés,-12.338216,1
66,P_NOUN_3_PASS_a,F,P,les gemmes avec les jupes ne sont pas fixées <eos>,8,fixées,fixés,6,F,fixées,-6.971118,fixés,-8.98915,1
