,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très vertes <eos>,7,vertes,verts,5,F,S,vertes,-8.596701,verts,-10.1719055,1
1,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très bleues <eos>,7,bleues,bleus,5,F,S,bleues,-9.766522,bleus,-13.049028,1
2,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très noires <eos>,7,noires,noirs,5,F,S,noires,-7.875922,noirs,-11.092229,1
3,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très délicates <eos>,7,délicates,délicats,5,F,S,délicates,-7.9374056,délicats,-8.839787,1
4,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très pointues <eos>,7,pointues,pointus,5,F,S,pointues,-8.029051,pointus,-11.930602,1
5,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très rondes <eos>,7,rondes,ronds,5,F,S,rondes,-8.491613,ronds,-13.839296,1
6,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très froides <eos>,7,froides,froids,5,F,S,froides,-7.797328,froids,-12.278049,1
7,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très chaudes <eos>,7,chaudes,chauds,5,F,S,chaudes,-7.1826625,chauds,-10.117548,1
8,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très importantes <eos>,7,importantes,importants,5,F,S,importantes,-5.146595,importants,-8.639494,1
9,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très courtes <eos>,7,courtes,courts,5,F,S,courtes,-6.3738008,courts,-8.853085,1
10,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très dures <eos>,7,dures,durs,5,F,S,dures,-4.0542984,durs,-7.764144,1
11,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très claires <eos>,7,claires,clairs,5,F,S,claires,-7.1714687,clairs,-8.440187,1
12,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très intéressantes <eos>,7,intéressantes,intéressants,5,F,S,intéressantes,-6.2408667,intéressants,-8.956468,1
13,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très brillantes <eos>,7,brillantes,brillants,5,F,S,brillantes,-6.6567297,brillants,-8.567709,1
14,P_NOUN_2_ADJ_a,F,P,les gemmes avec la gemme sont très compliquées <eos>,7,compliquées,compliqués,5,F,S,compliquées,-7.517689,compliqués,-11.231794,1
15,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très vertes <eos>,7,vertes,verts,5,F,S,vertes,-9.710321,verts,-12.276003,1
16,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très bleues <eos>,7,bleues,bleus,5,F,S,bleues,-10.910053,bleus,-14.211638,1
17,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très noires <eos>,7,noires,noirs,5,F,S,noires,-8.83036,noirs,-12.439812,1
18,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très délicates <eos>,7,délicates,délicats,5,F,S,délicates,-8.237259,délicats,-8.86887,1
19,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très pointues <eos>,7,pointues,pointus,5,F,S,pointues,-7.267561,pointus,-11.66098,1
20,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très rondes <eos>,7,rondes,ronds,5,F,S,rondes,-7.2121,ronds,-13.688875,1
21,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très froides <eos>,7,froides,froids,5,F,S,froides,-7.625909,froids,-13.297679,1
22,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très chaudes <eos>,7,chaudes,chauds,5,F,S,chaudes,-7.625518,chauds,-10.783481,1
23,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très importantes <eos>,7,importantes,importants,5,F,S,importantes,-5.6694193,importants,-9.615095,1
24,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très courtes <eos>,7,courtes,courts,5,F,S,courtes,-4.948943,courts,-8.33671,1
25,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très dures <eos>,7,dures,durs,5,F,S,dures,-5.315805,durs,-9.358791,1
26,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très claires <eos>,7,claires,clairs,5,F,S,claires,-7.576849,clairs,-10.116354,1
27,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très intéressantes <eos>,7,intéressantes,intéressants,5,F,S,intéressantes,-6.2997036,intéressants,-10.454377,1
28,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très brillantes <eos>,7,brillantes,brillants,5,F,S,brillantes,-8.124489,brillants,-10.493031,1
29,P_NOUN_2_ADJ_a,F,P,les gemmes avec la chaise sont très compliquées <eos>,7,compliquées,compliqués,5,F,S,compliquées,-6.157548,compliqués,-10.480261,1
30,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très vertes <eos>,7,vertes,verts,5,F,S,vertes,-9.434695,verts,-11.266759,1
31,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très bleues <eos>,7,bleues,bleus,5,F,S,bleues,-11.101876,bleus,-13.877193,1
32,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très noires <eos>,7,noires,noirs,5,F,S,noires,-8.852476,noirs,-11.980364,1
33,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très délicates <eos>,7,délicates,délicats,5,F,S,délicates,-8.053785,délicats,-8.343023,1
34,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très pointues <eos>,7,pointues,pointus,5,F,S,pointues,-8.142121,pointus,-11.670287,1
35,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très rondes <eos>,7,rondes,ronds,5,F,S,rondes,-8.347014,ronds,-12.87864,1
36,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très froides <eos>,7,froides,froids,5,F,S,froides,-7.9692535,froids,-12.137655,1
37,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très chaudes <eos>,7,chaudes,chauds,5,F,S,chaudes,-7.839644,chauds,-10.698782,1
38,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très importantes <eos>,7,importantes,importants,5,F,S,importantes,-5.4635878,importants,-8.569853,1
39,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très courtes <eos>,7,courtes,courts,5,F,S,courtes,-5.982972,courts,-8.508586,1
40,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très dures <eos>,7,dures,durs,5,F,S,dures,-5.070612,durs,-8.546783,1
41,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très claires <eos>,7,claires,clairs,5,F,S,claires,-7.878131,clairs,-9.1722975,1
42,P_NOUN_2_ADJ_a,F,P,les gemmes avec la poubelle sont très intéressantes <eos>,7,intéressantes,intéressants,5,F,S,intéressantes,-5.770027,intéressants,-9.491534,1
