Paradigm,Model,Percent_Corr
P_NOUN_10_PASS_a,m650_init528,0.959166667
P_NOUN_9_PASS_a,m650_init528,0.96575
P_NOUN_10_PASS_b,m650_init528,0.9795
P_NOUN_8_PASS_a,m650_init528,0.9825
P_NOUN_6_PASS_b,m650_init528,0.98825
P_NOUN_2_PASS_b,m650_init528,0.994833333
P_NOUN_6_PASS_a,m650_init528,0.991916667
P_NOUN_9_PASS_b,m650_init528,0.9925
P_NOUN_1_PASS_b,m650_init528,0.986416667
P_NOUN_3_PASS_b,m650_init528,0.984666667
P_NOUN_3_PASS_a,m650_init528,0.97475
P_NOUN_7_PASS_a,m650_init528,0.989416667
P_NOUN_11_PASS_b,m650_init528,0.9825
P_NOUN_4_PASS_c,m650_init528,0.994333333
P_NOUN_4_PASS_d,m650_init528,0.998916667
P_NOUN_4_PASS_b,m650_init528,0.972083333
P_NOUN_2_PASS_a,m650_init528,0.999
P_NOUN_1_PASS_a,m650_init528,0.99025
P_NOUN_7_PASS_c,m650_init528,0.967833333
P_NOUN_8_PASS_b,m650_init528,0.9495
P_NOUN_5_PASS_a,m650_init528,0.989916667
P_NOUN_11_PASS_a,m650_init528,0.94775
P_NOUN_5_PASS_b,m650_init528,0.975
P_NOUN_7_PASS_b,m650_init528,0.97425
P_NOUN_6_PASS_c,m650_init528,0.973583333
P_NOUN_4_PASS_a,m650_init528,0.967583333
P_NOUN_8_PASS_c,m650_init528,0.976166667
P_NOUN_5_PASS_c,m650_init528,0.996833333
P_NOUN_10_PASS_a,m650_init528,0.959166667
P_NOUN_9_PASS_a,m650_init528,0.96575
P_NOUN_10_PASS_b,m650_init528,0.9795
P_NOUN_8_PASS_a,m650_init528,0.9825
P_NOUN_6_PASS_b,m650_init528,0.98825
P_NOUN_2_PASS_b,m650_init528,0.994833333
P_NOUN_6_PASS_a,m650_init528,0.991916667
P_NOUN_9_PASS_b,m650_init528,0.9925
P_NOUN_1_PASS_b,m650_init528,0.986416667
P_NOUN_3_PASS_b,m650_init528,0.984666667
P_NOUN_3_PASS_a,m650_init528,0.97475
P_NOUN_7_PASS_a,m650_init528,0.989416667
P_NOUN_11_PASS_b,m650_init528,0.9825
P_NOUN_4_PASS_c,m650_init528,0.994333333
P_NOUN_4_PASS_d,m650_init528,0.998916667
P_NOUN_4_PASS_b,m650_init528,0.972083333
P_NOUN_2_PASS_a,m650_init528,0.999
P_NOUN_1_PASS_a,m650_init528,0.99025
P_NOUN_7_PASS_c,m650_init528,0.967833333
P_NOUN_8_PASS_b,m650_init528,0.9495
P_NOUN_5_PASS_a,m650_init528,0.989916667
P_NOUN_11_PASS_a,m650_init528,0.94775
P_NOUN_5_PASS_b,m650_init528,0.975
P_NOUN_7_PASS_b,m650_init528,0.97425
P_NOUN_6_PASS_c,m650_init528,0.973583333
P_NOUN_4_PASS_a,m650_init528,0.967583333
P_NOUN_8_PASS_c,m650_init528,0.976166667
