,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont achetées <eos>,9,achetées,achetés,7,F,S,achetées,-6.5786757,achetés,-9.242363,1
1,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont brisées <eos>,9,brisées,brisés,7,F,S,brisées,-8.405146,brisés,-12.765409,1
2,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont cachées <eos>,9,cachées,cachés,7,F,S,cachées,-5.6386833,cachés,-8.569317,1
3,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont cassées <eos>,9,cassées,cassés,7,F,S,cassées,-9.439203,cassés,-11.265119,1
4,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-7.6972814,couverts,-10.859929,1
5,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont déformées <eos>,9,déformées,déformés,7,F,S,déformées,-6.90738,déformés,-11.762259,1
6,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont fixées <eos>,9,fixées,fixés,7,F,S,fixées,-6.3862944,fixés,-9.506626,1
7,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont jetées <eos>,9,jetées,jetés,7,F,S,jetées,-7.3957243,jetés,-10.206656,1
8,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont laissées <eos>,9,laissées,laissés,7,F,S,laissées,-6.6992464,laissés,-10.505638,1
9,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-6.4682703,ouverts,-10.010969,1
10,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont perdues <eos>,9,perdues,perdus,7,F,S,perdues,-7.132038,perdus,-10.346545,1
11,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont réparées <eos>,9,réparées,réparés,7,F,S,réparées,-9.679538,réparés,-13.187342,1
12,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont retirées <eos>,9,retirées,retirés,7,F,S,retirées,-7.0033927,retirés,-8.934359,1
13,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont tombées <eos>,9,tombées,tombés,7,F,S,tombées,-8.164348,tombés,-9.688121,1
14,P_NOUN_4_PASS_d,F,P,les gemmes avec la gemme près de moi sont utilisées <eos>,9,utilisées,utilisés,7,F,S,utilisées,-3.3561614,utilisés,-6.3371763,1
15,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont achetées <eos>,9,achetées,achetés,7,F,S,achetées,-6.7171583,achetés,-9.608031,1
16,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont brisées <eos>,9,brisées,brisés,7,F,S,brisées,-8.303891,brisés,-12.2482605,1
17,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont cachées <eos>,9,cachées,cachés,7,F,S,cachées,-6.105144,cachés,-8.702274,1
18,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont cassées <eos>,9,cassées,cassés,7,F,S,cassées,-9.165185,cassés,-11.193532,1
19,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-7.713845,couverts,-10.426776,1
20,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont déformées <eos>,9,déformées,déformés,7,F,S,déformées,-7.3249063,déformés,-11.927657,1
21,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont fixées <eos>,9,fixées,fixés,7,F,S,fixées,-6.5708294,fixés,-9.40321,1
22,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont jetées <eos>,9,jetées,jetés,7,F,S,jetées,-6.948412,jetés,-9.614489,1
23,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont laissées <eos>,9,laissées,laissés,7,F,S,laissées,-6.754158,laissés,-9.5705805,1
24,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-6.0780134,ouverts,-9.873207,1
25,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont perdues <eos>,9,perdues,perdus,7,F,S,perdues,-6.681365,perdus,-9.795757,1
26,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont réparées <eos>,9,réparées,réparés,7,F,S,réparées,-9.975148,réparés,-13.713236,1
27,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont retirées <eos>,9,retirées,retirés,7,F,S,retirées,-6.609145,retirés,-9.10963,1
28,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont tombées <eos>,9,tombées,tombés,7,F,S,tombées,-8.136171,tombés,-9.707287,1
29,P_NOUN_4_PASS_d,F,P,les gemmes avec la chaise près de moi sont utilisées <eos>,9,utilisées,utilisés,7,F,S,utilisées,-3.6963174,utilisés,-6.5184383,1
30,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont achetées <eos>,9,achetées,achetés,7,F,S,achetées,-6.3840184,achetés,-9.236294,1
31,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont brisées <eos>,9,brisées,brisés,7,F,S,brisées,-8.349479,brisés,-12.54419,1
32,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont cachées <eos>,9,cachées,cachés,7,F,S,cachées,-5.4635677,cachés,-8.297322,1
33,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont cassées <eos>,9,cassées,cassés,7,F,S,cassées,-9.271966,cassés,-11.05094,1
34,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-7.7287335,couverts,-9.962355,1
35,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont déformées <eos>,9,déformées,déformés,7,F,S,déformées,-7.427705,déformés,-11.565925,1
36,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont fixées <eos>,9,fixées,fixés,7,F,S,fixées,-6.7942147,fixés,-9.816118,1
37,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont jetées <eos>,9,jetées,jetés,7,F,S,jetées,-7.2881393,jetés,-9.234047,1
38,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont laissées <eos>,9,laissées,laissés,7,F,S,laissées,-6.5359473,laissés,-9.298735,1
39,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-5.869833,ouverts,-9.59457,1
40,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont perdues <eos>,9,perdues,perdus,7,F,S,perdues,-6.553155,perdus,-9.654782,1
41,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont réparées <eos>,9,réparées,réparés,7,F,S,réparées,-9.30504,réparés,-12.8815,1
42,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont retirées <eos>,9,retirées,retirés,7,F,S,retirées,-6.46929,retirés,-9.000705,1
43,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont tombées <eos>,9,tombées,tombés,7,F,S,tombées,-7.2258615,tombés,-9.126795,1
44,P_NOUN_4_PASS_d,F,P,les gemmes avec la poubelle près de moi sont utilisées <eos>,9,utilisées,utilisés,7,F,S,utilisées,-4.1069546,utilisés,-6.806386,1
45,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont achetées <eos>,9,achetées,achetés,7,F,S,achetées,-6.5227137,achetés,-9.417021,1
46,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont brisées <eos>,9,brisées,brisés,7,F,S,brisées,-8.323092,brisés,-12.944214,1
47,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont cachées <eos>,9,cachées,cachés,7,F,S,cachées,-6.1817446,cachés,-9.059906,1
48,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont cassées <eos>,9,cassées,cassés,7,F,S,cassées,-9.379729,cassés,-11.611075,1
49,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont couvertes <eos>,9,couvertes,couverts,7,F,S,couvertes,-7.4398737,couverts,-10.389204,1
50,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont déformées <eos>,9,déformées,déformés,7,F,S,déformées,-7.494585,déformés,-12.149075,1
51,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont fixées <eos>,9,fixées,fixés,7,F,S,fixées,-6.521572,fixés,-9.546018,1
52,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont jetées <eos>,9,jetées,jetés,7,F,S,jetées,-7.1766195,jetés,-9.879017,1
53,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont laissées <eos>,9,laissées,laissés,7,F,S,laissées,-6.507174,laissés,-9.834763,1
54,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,F,S,ouvertes,-6.1477165,ouverts,-10.267361,1
55,P_NOUN_4_PASS_d,F,P,les gemmes avec la chemise près de moi sont perdues <eos>,9,perdues,perdus,7,F,S,perdues,-7.0776906,perdus,-10.781691,1
