,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement achetées <eos>,10,achetées,achetés,8,F,S,achetées,-6.140398,achetés,-8.578968,1
1,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement brisées <eos>,10,brisées,brisés,8,F,S,brisées,-8.537514,brisés,-13.074496,1
2,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement cachées <eos>,10,cachées,cachés,8,F,S,cachées,-6.329939,cachés,-9.047655,1
3,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement cassées <eos>,10,cassées,cassés,8,F,S,cassées,-8.929855,cassés,-11.365036,1
4,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement couvertes <eos>,10,couvertes,couverts,8,F,S,couvertes,-7.917819,couverts,-10.618632,1
5,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement déformées <eos>,10,déformées,déformés,8,F,S,déformées,-6.7810593,déformés,-12.053827,1
6,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement fixées <eos>,10,fixées,fixés,8,F,S,fixées,-6.8719363,fixés,-10.887225,1
7,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement jetées <eos>,10,jetées,jetés,8,F,S,jetées,-9.126012,jetés,-11.440418,1
8,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement laissées <eos>,10,laissées,laissés,8,F,S,laissées,-5.6500006,laissés,-10.930562,1
9,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement ouvertes <eos>,10,ouvertes,ouverts,8,F,S,ouvertes,-8.16578,ouverts,-12.742211,1
10,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement perdues <eos>,10,perdues,perdus,8,F,S,perdues,-6.557644,perdus,-10.433924,1
11,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement réparées <eos>,10,réparées,réparés,8,F,S,réparées,-10.746182,réparés,-14.976894,1
12,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement retirées <eos>,10,retirées,retirés,8,F,S,retirées,-6.672697,retirés,-9.392485,1
13,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement tombées <eos>,10,tombées,tombés,8,F,S,tombées,-6.9882917,tombés,-9.944244,1
14,P_NOUN_5_PASS_c,F,P,les gemmes avec la gemme près de moi sont probablement utilisées <eos>,10,utilisées,utilisés,8,F,S,utilisées,-4.2357144,utilisés,-7.1416984,1
15,P_NOUN_5_PASS_c,F,P,les gemmes avec la chaise près de moi sont probablement achetées <eos>,10,achetées,achetés,8,F,S,achetées,-7.0634117,achetés,-10.984464,1
16,P_NOUN_5_PASS_c,F,P,les gemmes avec la chaise près de moi sont probablement brisées <eos>,10,brisées,brisés,8,F,S,brisées,-8.812417,brisés,-13.355049,1
17,P_NOUN_5_PASS_c,F,P,les gemmes avec la chaise près de moi sont probablement cachées <eos>,10,cachées,cachés,8,F,S,cachées,-6.9105973,cachés,-10.008413,1
18,P_NOUN_5_PASS_c,F,P,les gemmes avec la chaise près de moi sont probablement cassées <eos>,10,cassées,cassés,8,F,S,cassées,-9.056044,cassés,-11.228392,1
19,P_NOUN_5_PASS_c,F,P,les gemmes avec la chaise près de moi sont probablement couvertes <eos>,10,couvertes,couverts,8,F,S,couvertes,-7.748459,couverts,-10.643809,1
20,P_NOUN_5_PASS_c,F,P,les gemmes avec la chaise près de moi sont probablement déformées <eos>,10,déformées,déformés,8,F,S,déformées,-7.2621536,déformés,-12.273684,1
21,P_NOUN_5_PASS_c,F,P,les gemmes avec la chaise près de moi sont probablement fixées <eos>,10,fixées,fixés,8,F,S,fixées,-7.1826553,fixés,-11.240339,1
22,P_NOUN_5_PASS_c,F,P,les gemmes avec la chaise près de moi sont probablement jetées <eos>,10,jetées,jetés,8,F,S,jetées,-9.413392,jetés,-11.439972,1
23,P_NOUN_5_PASS_c,F,P,les gemmes avec la chaise près de moi sont probablement laissées <eos>,10,laissées,laissés,8,F,S,laissées,-6.114466,laissés,-11.272596,1
