Paradigm,Model,Percent_Corr
S_NOUN_6_ADJ_b,m650_init528,0.919083333
S_NOUN_7_ADJ_b,m650_init528,0.95725
S_NOUN_2_ADJ_c,m650_init528,0.975083333
S_NOUN_7_ADJ_c,m650_init528,0.980083333
S_NOUN_5_ADJ_a,m650_init528,0.948
S_NOUN_11_ADJ_b,m650_init528,0.992916667
S_NOUN_8_ADJ_b,m650_init528,0.99725
S_NOUN_7_ADJ_a,m650_init528,0.920333333
S_NOUN_5_ADJ_c,m650_init528,0.967416667
S_NOUN_3_ADJ_a,m650_init528,0.95175
S_NOUN_4_ADJ_c,m650_init528,0.9735
S_NOUN_10_ADJ_b,m650_init528,0.969583333
S_NOUN_2_ADJ_a,m650_init528,0.978083333
S_NOUN_8_ADJ_a,m650_init528,0.995666667
S_NOUN_6_ADJ_c,m650_init528,0.997666667
S_NOUN_6_ADJ_a,m650_init528,0.957583333
S_NOUN_10_ADJ_a,m650_init528,0.9665
S_NOUN_10_ADJ_c,m650_init528,0.949
S_NOUN_4_ADJ_b,m650_init528,0.996666667
S_NOUN_9_ADJ_b,m650_init528,0.966083333
S_NOUN_1_ADJ_b,m650_init528,0.945833333
S_NOUN_5_ADJ_b,m650_init528,0.967916667
S_NOUN_11_ADJ_a,m650_init528,0.960833333
S_NOUN_1_ADJ_a,m650_init528,0.950916667
S_NOUN_8_ADJ_c,m650_init528,0.96625
S_NOUN_9_ADJ_a,m650_init528,0.959583333
S_NOUN_4_ADJ_a,m650_init528,0.964333333
S_NOUN_4_ADJ_d,m650_init528,0.953
S_NOUN_2_ADJ_b,m650_init528,0.951333333
S_NOUN_3_ADJ_b,m650_init528,0.993583333
S_NOUN_6_ADJ_b,m650_init528,0.919083333
S_NOUN_7_ADJ_b,m650_init528,0.95725
S_NOUN_2_ADJ_c,m650_init528,0.975083333
S_NOUN_7_ADJ_c,m650_init528,0.980083333
S_NOUN_5_ADJ_a,m650_init528,0.948
S_NOUN_11_ADJ_b,m650_init528,0.992916667
S_NOUN_8_ADJ_b,m650_init528,0.99725
S_NOUN_7_ADJ_a,m650_init528,0.920333333
S_NOUN_5_ADJ_c,m650_init528,0.967416667
S_NOUN_3_ADJ_a,m650_init528,0.95175
S_NOUN_4_ADJ_c,m650_init528,0.9735
S_NOUN_10_ADJ_b,m650_init528,0.969583333
S_NOUN_2_ADJ_a,m650_init528,0.978083333
S_NOUN_8_ADJ_a,m650_init528,0.995666667
S_NOUN_6_ADJ_c,m650_init528,0.997666667
S_NOUN_6_ADJ_a,m650_init528,0.957583333
S_NOUN_10_ADJ_a,m650_init528,0.9665
S_NOUN_10_ADJ_c,m650_init528,0.949
S_NOUN_4_ADJ_b,m650_init528,0.996666667
S_NOUN_9_ADJ_b,m650_init528,0.966083333
S_NOUN_1_ADJ_b,m650_init528,0.945833333
S_NOUN_5_ADJ_b,m650_init528,0.967916667
S_NOUN_11_ADJ_a,m650_init528,0.960833333
S_NOUN_1_ADJ_a,m650_init528,0.950916667
S_NOUN_8_ADJ_c,m650_init528,0.96625
S_NOUN_9_ADJ_a,m650_init528,0.959583333
S_NOUN_4_ADJ_a,m650_init528,0.964333333
S_NOUN_4_ADJ_d,m650_init528,0.953
S_NOUN_2_ADJ_b,m650_init528,0.951333333
S_NOUN_3_ADJ_b,m650_init528,0.993583333
S_NOUN_6_ADJ_b,m650_init704,0.89925
S_NOUN_7_ADJ_b,m650_init704,0.89675
S_NOUN_2_ADJ_c,m650_init704,0.983083333
S_NOUN_7_ADJ_c,m650_init704,0.984083333
S_NOUN_5_ADJ_a,m650_init704,0.942
S_NOUN_11_ADJ_b,m650_init704,0.99
S_NOUN_8_ADJ_b,m650_init704,0.991583333
S_NOUN_7_ADJ_a,m650_init704,0.949
S_NOUN_5_ADJ_c,m650_init704,0.972
S_NOUN_3_ADJ_a,m650_init704,0.92
S_NOUN_4_ADJ_c,m650_init704,0.9255
S_NOUN_10_ADJ_b,m650_init704,0.928166667
S_NOUN_2_ADJ_a,m650_init704,0.9875
S_NOUN_8_ADJ_a,m650_init704,0.973
S_NOUN_6_ADJ_c,m650_init704,0.99525
S_NOUN_6_ADJ_a,m650_init704,0.876166667
S_NOUN_10_ADJ_a,m650_init704,0.891833333
