,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est achetée <eos>,9,achetée,acheté,7,M,P,achetée,-10.452209,acheté,-9.564011,0
1,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est brisée <eos>,9,brisée,brisé,7,M,P,brisée,-6.497472,brisé,-11.081259,1
2,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est cachée <eos>,9,cachée,caché,7,M,P,cachée,-6.593381,caché,-9.122507,1
3,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est cassée <eos>,9,cassée,cassé,7,M,P,cassée,-6.232356,cassé,-9.427798,1
4,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est couverte <eos>,9,couverte,couvert,7,M,P,couverte,-7.425676,couvert,-10.932142,1
5,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est déformée <eos>,9,déformée,déformé,7,M,P,déformée,-8.327617,déformé,-12.48148,1
6,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est fixée <eos>,9,fixée,fixé,7,M,P,fixée,-6.702936,fixé,-9.7103405,1
7,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est jetée <eos>,9,jetée,jeté,7,M,P,jetée,-7.302558,jeté,-10.927532,1
8,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est laissée <eos>,9,laissée,laissé,7,M,P,laissée,-7.2264953,laissé,-10.55994,1
9,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est ouverte <eos>,9,ouverte,ouvert,7,M,P,ouverte,-6.556988,ouvert,-10.226735,1
10,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est perdue <eos>,9,perdue,perdu,7,M,P,perdue,-6.876565,perdu,-9.189607,1
11,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est réparée <eos>,9,réparée,réparé,7,M,P,réparée,-8.721291,réparé,-13.80434,1
12,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est retirée <eos>,9,retirée,retiré,7,M,P,retirée,-6.6606197,retiré,-9.796965,1
13,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est tombée <eos>,9,tombée,tombé,7,M,P,tombée,-7.8289676,tombé,-10.172592,1
14,S_NOUN_4_PASS_d,F,S,la gemme avec les bracelets près de moi est utilisée <eos>,9,utilisée,utilisé,7,M,P,utilisée,-4.576106,utilisé,-7.93715,1
15,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est achetée <eos>,9,achetée,acheté,7,M,P,achetée,-8.238672,acheté,-11.692639,1
16,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est brisée <eos>,9,brisée,brisé,7,M,P,brisée,-6.7293186,brisé,-11.61195,1
17,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est cachée <eos>,9,cachée,caché,7,M,P,cachée,-6.8906364,caché,-9.140242,1
18,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est cassée <eos>,9,cassée,cassé,7,M,P,cassée,-7.7707815,cassé,-10.270902,1
19,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est couverte <eos>,9,couverte,couvert,7,M,P,couverte,-6.905826,couvert,-10.578953,1
20,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est déformée <eos>,9,déformée,déformé,7,M,P,déformée,-8.251157,déformé,-12.352568,1
21,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est fixée <eos>,9,fixée,fixé,7,M,P,fixée,-6.726207,fixé,-9.640863,1
22,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est jetée <eos>,9,jetée,jeté,7,M,P,jetée,-7.708415,jeté,-11.879439,1
23,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est laissée <eos>,9,laissée,laissé,7,M,P,laissée,-7.5506325,laissé,-10.772859,1
24,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est ouverte <eos>,9,ouverte,ouvert,7,M,P,ouverte,-6.280097,ouvert,-9.784422,1
25,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est perdue <eos>,9,perdue,perdu,7,M,P,perdue,-7.476628,perdu,-9.863512,1
26,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est réparée <eos>,9,réparée,réparé,7,M,P,réparée,-9.045412,réparé,-13.787767,1
27,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est retirée <eos>,9,retirée,retiré,7,M,P,retirée,-6.928903,retiré,-10.611532,1
28,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est tombée <eos>,9,tombée,tombé,7,M,P,tombée,-8.508135,tombé,-10.941362,1
29,S_NOUN_4_PASS_d,F,S,la gemme avec les miroirs près de moi est utilisée <eos>,9,utilisée,utilisé,7,M,P,utilisée,-4.450348,utilisé,-7.657545,1
30,S_NOUN_4_PASS_d,F,S,la gemme avec les crayons près de moi est achetée <eos>,9,achetée,acheté,7,M,P,achetée,-6.7457066,acheté,-10.162506,1
31,S_NOUN_4_PASS_d,F,S,la gemme avec les crayons près de moi est brisée <eos>,9,brisée,brisé,7,M,P,brisée,-7.2833843,brisé,-12.135706,1
32,S_NOUN_4_PASS_d,F,S,la gemme avec les crayons près de moi est cachée <eos>,9,cachée,caché,7,M,P,cachée,-7.9305134,caché,-9.582991,1
33,S_NOUN_4_PASS_d,F,S,la gemme avec les crayons près de moi est cassée <eos>,9,cassée,cassé,7,M,P,cassée,-7.720113,cassé,-10.331484,1
34,S_NOUN_4_PASS_d,F,S,la gemme avec les crayons près de moi est couverte <eos>,9,couverte,couvert,7,M,P,couverte,-6.911056,couvert,-10.652073,1
35,S_NOUN_4_PASS_d,F,S,la gemme avec les crayons près de moi est déformée <eos>,9,déformée,déformé,7,M,P,déformée,-8.765922,déformé,-12.805927,1
