,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins achetées <eos>,16,achetées,achetés,14,M,achetées,-10.788777,achetés,-9.172512,0
1,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins brisées <eos>,16,brisées,brisés,14,M,brisées,-9.528364,brisés,-10.528448,1
2,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins cachées <eos>,16,cachées,cachés,14,M,cachées,-6.4554386,cachés,-6.661998,1
3,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins cassées <eos>,16,cassées,cassés,14,M,cassées,-10.521558,cassés,-9.282826,0
4,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins couvertes <eos>,16,couvertes,couverts,14,M,couvertes,-10.062864,couverts,-9.534852,0
5,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins déformées <eos>,16,déformées,déformés,14,M,déformées,-7.95509,déformés,-9.917084,1
6,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins fixées <eos>,16,fixées,fixés,14,M,fixées,-8.121169,fixés,-9.628304,1
7,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins jetées <eos>,16,jetées,jetés,14,M,jetées,-8.348127,jetés,-10.747858,1
8,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins laissées <eos>,16,laissées,laissés,14,M,laissées,-8.888724,laissés,-10.415073,1
9,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins ouvertes <eos>,16,ouvertes,ouverts,14,M,ouvertes,-7.537993,ouverts,-8.677993,1
10,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins perdues <eos>,16,perdues,perdus,14,M,perdues,-8.804623,perdus,-10.905252,1
11,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins réparées <eos>,16,réparées,réparés,14,M,réparées,-11.996822,réparés,-13.394037,1
12,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins retirées <eos>,16,retirées,retirés,14,M,retirées,-9.248258,retirés,-9.5577965,1
13,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins tombées <eos>,16,tombées,tombés,14,M,tombées,-9.133023,tombés,-9.083054,0
14,P_NOUN_11_PASS_b,F,P,les gemmes avec les bracelets près de moi que j' aime beaucoup sont plus ou moins utilisées <eos>,16,utilisées,utilisés,14,M,utilisées,-5.980404,utilisés,-7.426157,1
15,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins achetées <eos>,16,achetées,achetés,14,M,achetées,-11.457644,achetés,-10.80346,0
16,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins brisées <eos>,16,brisées,brisés,14,M,brisées,-9.911479,brisés,-10.429781,1
17,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins cachées <eos>,16,cachées,cachés,14,M,cachées,-6.5814457,cachés,-7.317992,1
18,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins cassées <eos>,16,cassées,cassés,14,M,cassées,-10.835461,cassés,-9.974363,0
19,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins couvertes <eos>,16,couvertes,couverts,14,M,couvertes,-9.4437,couverts,-9.379123,0
20,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins déformées <eos>,16,déformées,déformés,14,M,déformées,-6.9970775,déformés,-8.876884,1
21,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins fixées <eos>,16,fixées,fixés,14,M,fixées,-8.5734215,fixés,-9.996948,1
22,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins jetées <eos>,16,jetées,jetés,14,M,jetées,-8.912512,jetés,-11.481221,1
23,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins laissées <eos>,16,laissées,laissés,14,M,laissées,-8.839714,laissés,-10.767506,1
24,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins ouvertes <eos>,16,ouvertes,ouverts,14,M,ouvertes,-6.703784,ouverts,-7.5427475,1
25,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins perdues <eos>,16,perdues,perdus,14,M,perdues,-8.642286,perdus,-10.774689,1
26,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins réparées <eos>,16,réparées,réparés,14,M,réparées,-11.260527,réparés,-13.078274,1
27,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins retirées <eos>,16,retirées,retirés,14,M,retirées,-9.088139,retirés,-10.268565,1
28,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins tombées <eos>,16,tombées,tombés,14,M,tombées,-9.168971,tombés,-10.612777,1
29,P_NOUN_11_PASS_b,F,P,les gemmes avec les miroirs près de moi que j' aime beaucoup sont plus ou moins utilisées <eos>,16,utilisées,utilisés,14,M,utilisées,-6.137555,utilisés,-7.86395,1
30,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins achetées <eos>,16,achetées,achetés,14,M,achetées,-10.61325,achetés,-9.635385,0
31,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins brisées <eos>,16,brisées,brisés,14,M,brisées,-10.339898,brisés,-11.027272,1
32,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins cachées <eos>,16,cachées,cachés,14,M,cachées,-6.873884,cachés,-7.1176844,1
33,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins cassées <eos>,16,cassées,cassés,14,M,cassées,-11.114754,cassés,-9.09015,0
34,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins couvertes <eos>,16,couvertes,couverts,14,M,couvertes,-9.787769,couverts,-9.014117,0
35,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins déformées <eos>,16,déformées,déformés,14,M,déformées,-8.069849,déformés,-9.959129,1
36,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins fixées <eos>,16,fixées,fixés,14,M,fixées,-9.12685,fixés,-9.953579,1
37,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins jetées <eos>,16,jetées,jetés,14,M,jetées,-9.18911,jetés,-11.233247,1
38,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins laissées <eos>,16,laissées,laissés,14,M,laissées,-8.685361,laissés,-10.097167,1
39,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins ouvertes <eos>,16,ouvertes,ouverts,14,M,ouvertes,-7.3704023,ouverts,-8.091608,1
40,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins perdues <eos>,16,perdues,perdus,14,M,perdues,-9.076309,perdus,-11.12231,1
41,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins réparées <eos>,16,réparées,réparés,14,M,réparées,-11.518521,réparés,-12.61505,1
42,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins retirées <eos>,16,retirées,retirés,14,M,retirées,-9.164645,retirés,-9.960476,1
43,P_NOUN_11_PASS_b,F,P,les gemmes avec les crayons près de moi que j' aime beaucoup sont plus ou moins tombées <eos>,16,tombées,tombés,14,M,tombées,-9.062775,tombés,-9.6798315,1
