,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est achetée . <eos>,6,achetée,acheté,4,achetée,-8.108302,acheté,-10.503865,1
1,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est brisée . <eos>,6,brisée,brisé,4,brisée,-7.950681,brisé,-11.627838,1
2,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est cachée . <eos>,6,cachée,caché,4,cachée,-7.122056,caché,-10.557713,1
3,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est cassée . <eos>,6,cassée,cassé,4,cassée,-7.6299453,cassé,-11.543264,1
4,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est couverte . <eos>,6,couverte,couvert,4,couverte,-6.885399,couvert,-10.461848,1
5,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est déformée . <eos>,6,déformée,déformé,4,déformée,-9.24346,déformé,-11.756346,1
6,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est fixée . <eos>,6,fixée,fixé,4,fixée,-4.539588,fixé,-7.815675,1
7,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est jetée . <eos>,6,jetée,jeté,4,jetée,-7.320237,jeté,-10.802226,1
8,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est laissée . <eos>,6,laissée,laissé,4,laissée,-7.13092,laissé,-10.378395,1
9,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est ouverte . <eos>,6,ouverte,ouvert,4,ouverte,-7.807751,ouvert,-11.3974495,1
10,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est perdue . <eos>,6,perdue,perdu,4,perdue,-7.270816,perdu,-10.59111,1
11,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est réparée . <eos>,6,réparée,réparé,4,réparée,-10.760484,réparé,-14.913755,1
12,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est retirée . <eos>,6,retirée,retiré,4,retirée,-7.186096,retiré,-9.5063505,1
13,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est tombée . <eos>,6,tombée,tombé,4,tombée,-7.033283,tombé,-10.185188,1
14,S_NOUN_4_PASS_c,F,S,la gemme qui était ici est utilisée . <eos>,6,utilisée,utilisé,4,utilisée,-4.810615,utilisé,-7.980326,1
15,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est achetée . <eos>,6,achetée,acheté,4,achetée,-8.851795,acheté,-12.100878,1
16,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est brisée . <eos>,6,brisée,brisé,4,brisée,-6.306156,brisé,-11.022654,1
17,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est cachée . <eos>,6,cachée,caché,4,cachée,-7.307007,caché,-12.518204,1
18,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est cassée . <eos>,6,cassée,cassé,4,cassée,-7.1755857,cassé,-11.652869,1
19,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est couverte . <eos>,6,couverte,couvert,4,couverte,-6.0770025,couvert,-9.161705,1
20,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est déformée . <eos>,6,déformée,déformé,4,déformée,-8.832628,déformé,-13.518303,1
21,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est fixée . <eos>,6,fixée,fixé,4,fixée,-4.9475136,fixé,-8.293613,1
22,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est jetée . <eos>,6,jetée,jeté,4,jetée,-6.9025006,jeté,-11.071259,1
23,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est laissée . <eos>,6,laissée,laissé,4,laissée,-7.885376,laissé,-10.706959,1
24,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est ouverte . <eos>,6,ouverte,ouvert,4,ouverte,-5.5303807,ouvert,-9.745598,1
25,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est perdue . <eos>,6,perdue,perdu,4,perdue,-7.2203074,perdu,-10.27319,1
26,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est réparée . <eos>,6,réparée,réparé,4,réparée,-8.62942,réparé,-12.723915,1
27,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est retirée . <eos>,6,retirée,retiré,4,retirée,-6.701393,retiré,-10.248872,1
28,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est tombée . <eos>,6,tombée,tombé,4,tombée,-6.4219337,tombé,-9.020393,1
29,S_NOUN_4_PASS_c,F,S,la chaise qui était ici est utilisée . <eos>,6,utilisée,utilisé,4,utilisée,-4.3039417,utilisé,-7.9706383,1
30,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est achetée . <eos>,6,achetée,acheté,4,achetée,-7.170685,acheté,-9.844982,1
31,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est brisée . <eos>,6,brisée,brisé,4,brisée,-7.474019,brisé,-12.018037,1
32,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est cachée . <eos>,6,cachée,caché,4,cachée,-5.9024525,caché,-9.893949,1
33,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est cassée . <eos>,6,cassée,cassé,4,cassée,-6.5770006,cassé,-10.888637,1
34,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est couverte . <eos>,6,couverte,couvert,4,couverte,-7.1336594,couvert,-9.715586,1
35,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est déformée . <eos>,6,déformée,déformé,4,déformée,-8.475885,déformé,-12.6011095,1
36,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est fixée . <eos>,6,fixée,fixé,4,fixée,-5.195078,fixé,-9.34392,1
37,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est jetée . <eos>,6,jetée,jeté,4,jetée,-6.112375,jeté,-9.003027,1
38,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est laissée . <eos>,6,laissée,laissé,4,laissée,-6.7104874,laissé,-9.505966,1
39,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est ouverte . <eos>,6,ouverte,ouvert,4,ouverte,-6.9256387,ouvert,-11.337101,1
40,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est perdue . <eos>,6,perdue,perdu,4,perdue,-6.674505,perdu,-9.421162,1
41,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est réparée . <eos>,6,réparée,réparé,4,réparée,-8.392607,réparé,-11.726148,1
42,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est retirée . <eos>,6,retirée,retiré,4,retirée,-6.2637033,retiré,-9.831287,1
43,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est tombée . <eos>,6,tombée,tombé,4,tombée,-5.2857,tombé,-7.847845,1
44,S_NOUN_4_PASS_c,F,S,la poubelle qui était ici est utilisée . <eos>,6,utilisée,utilisé,4,utilisée,-4.5761223,utilisé,-8.1856165,1
45,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est achetée . <eos>,6,achetée,acheté,4,achetée,-9.714107,acheté,-12.555613,1
46,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est brisée . <eos>,6,brisée,brisé,4,brisée,-6.4894753,brisé,-11.740417,1
47,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est cachée . <eos>,6,cachée,caché,4,cachée,-7.5579014,caché,-11.61031,1
48,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est cassée . <eos>,6,cassée,cassé,4,cassée,-8.385533,cassé,-11.500193,1
49,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est couverte . <eos>,6,couverte,couvert,4,couverte,-6.7418995,couvert,-9.095987,1
50,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est déformée . <eos>,6,déformée,déformé,4,déformée,-8.420899,déformé,-12.597794,1
51,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est fixée . <eos>,6,fixée,fixé,4,fixée,-6.3378024,fixé,-9.416099,1
52,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est jetée . <eos>,6,jetée,jeté,4,jetée,-8.742577,jeté,-11.269724,1
53,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est laissée . <eos>,6,laissée,laissé,4,laissée,-8.03773,laissé,-10.781573,1
54,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est ouverte . <eos>,6,ouverte,ouvert,4,ouverte,-6.6776114,ouvert,-11.390376,1
55,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est perdue . <eos>,6,perdue,perdu,4,perdue,-7.754279,perdu,-10.564933,1
56,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est réparée . <eos>,6,réparée,réparé,4,réparée,-9.808876,réparé,-14.118517,1
57,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est retirée . <eos>,6,retirée,retiré,4,retirée,-7.4772043,retiré,-9.7788315,1
58,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est tombée . <eos>,6,tombée,tombé,4,tombée,-6.205679,tombé,-8.926239,1
59,S_NOUN_4_PASS_c,F,S,la chemise qui était ici est utilisée . <eos>,6,utilisée,utilisé,4,utilisée,-5.000696,utilisé,-8.597249,1
60,S_NOUN_4_PASS_c,F,S,la recette qui était ici est achetée . <eos>,6,achetée,acheté,4,achetée,-10.370626,acheté,-12.8906145,1
61,S_NOUN_4_PASS_c,F,S,la recette qui était ici est brisée . <eos>,6,brisée,brisé,4,brisée,-9.870812,brisé,-13.183206,1
62,S_NOUN_4_PASS_c,F,S,la recette qui était ici est cachée . <eos>,6,cachée,caché,4,cachée,-9.573134,caché,-12.902275,1
63,S_NOUN_4_PASS_c,F,S,la recette qui était ici est cassée . <eos>,6,cassée,cassé,4,cassée,-9.968473,cassé,-13.466191,1
64,S_NOUN_4_PASS_c,F,S,la recette qui était ici est couverte . <eos>,6,couverte,couvert,4,couverte,-8.546178,couvert,-12.180361,1
65,S_NOUN_4_PASS_c,F,S,la recette qui était ici est déformée . <eos>,6,déformée,déformé,4,déformée,-10.008966,déformé,-15.764011,1
66,S_NOUN_4_PASS_c,F,S,la recette qui était ici est fixée . <eos>,6,fixée,fixé,4,fixée,-5.293857,fixé,-9.236905,1
67,S_NOUN_4_PASS_c,F,S,la recette qui était ici est jetée . <eos>,6,jetée,jeté,4,jetée,-9.90684,jeté,-13.5167,1
68,S_NOUN_4_PASS_c,F,S,la recette qui était ici est laissée . <eos>,6,laissée,laissé,4,laissée,-8.07085,laissé,-12.387864,1
69,S_NOUN_4_PASS_c,F,S,la recette qui était ici est ouverte . <eos>,6,ouverte,ouvert,4,ouverte,-8.389824,ouvert,-13.277734,1
70,S_NOUN_4_PASS_c,F,S,la recette qui était ici est perdue . <eos>,6,perdue,perdu,4,perdue,-7.990963,perdu,-11.435656,1
71,S_NOUN_4_PASS_c,F,S,la recette qui était ici est réparée . <eos>,6,réparée,réparé,4,réparée,-11.673673,réparé,-15.555144,1
72,S_NOUN_4_PASS_c,F,S,la recette qui était ici est retirée . <eos>,6,retirée,retiré,4,retirée,-8.722116,retiré,-11.334463,1
73,S_NOUN_4_PASS_c,F,S,la recette qui était ici est tombée . <eos>,6,tombée,tombé,4,tombée,-5.0792465,tombé,-8.843949,1
74,S_NOUN_4_PASS_c,F,S,la recette qui était ici est utilisée . <eos>,6,utilisée,utilisé,4,utilisée,-4.702984,utilisé,-8.833997,1
75,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est achetée . <eos>,6,achetée,acheté,4,achetée,-9.006331,acheté,-12.980321,1
76,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est brisée . <eos>,6,brisée,brisé,4,brisée,-7.135418,brisé,-11.393575,1
77,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est cachée . <eos>,6,cachée,caché,4,cachée,-8.041165,caché,-11.727519,1
78,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est cassée . <eos>,6,cassée,cassé,4,cassée,-7.7540083,cassé,-10.620828,1
79,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est couverte . <eos>,6,couverte,couvert,4,couverte,-5.8620453,couvert,-8.634014,1
80,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est déformée . <eos>,6,déformée,déformé,4,déformée,-8.556316,déformé,-12.802479,1
81,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est fixée . <eos>,6,fixée,fixé,4,fixée,-5.224985,fixé,-8.394828,1
82,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est jetée . <eos>,6,jetée,jeté,4,jetée,-8.632696,jeté,-12.05621,1
83,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est laissée . <eos>,6,laissée,laissé,4,laissée,-7.6952705,laissé,-11.12427,1
84,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est ouverte . <eos>,6,ouverte,ouvert,4,ouverte,-6.2921953,ouvert,-10.71593,1
85,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est perdue . <eos>,6,perdue,perdu,4,perdue,-8.178067,perdu,-10.950642,1
86,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est réparée . <eos>,6,réparée,réparé,4,réparée,-9.646913,réparé,-13.959336,1
87,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est retirée . <eos>,6,retirée,retiré,4,retirée,-6.768497,retiré,-10.159231,1
88,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est tombée . <eos>,6,tombée,tombé,4,tombée,-7.5215845,tombé,-9.897032,1
89,S_NOUN_4_PASS_c,F,S,la jupe qui était ici est utilisée . <eos>,6,utilisée,utilisé,4,utilisée,-4.906622,utilisé,-8.687781,1
90,S_NOUN_4_PASS_c,F,S,la colle qui était ici est achetée . <eos>,6,achetée,acheté,4,achetée,-8.374226,acheté,-11.5875025,1
91,S_NOUN_4_PASS_c,F,S,la colle qui était ici est brisée . <eos>,6,brisée,brisé,4,brisée,-7.7302127,brisé,-12.237591,1
92,S_NOUN_4_PASS_c,F,S,la colle qui était ici est cachée . <eos>,6,cachée,caché,4,cachée,-8.229104,caché,-11.762312,1
