Paradigm,Model,Percent_Corr
P_NOUN_9_ADJ_b,m650_init1571,0.97754386
P_NOUN_6_ADJ_a,m650_init1571,0.989649123
P_NOUN_5_ADJ_c,m650_init1571,0.993421053
P_NOUN_10_ADJ_a,m650_init1571,0.977807018
P_NOUN_10_ADJ_c,m650_init1571,0.964824561
P_NOUN_3_ADJ_a,m650_init1571,1
P_NOUN_4_ADJ_d,m650_init1571,0.980175439
P_NOUN_1_ADJ_a,m650_init1571,0.982719298
P_NOUN_6_ADJ_c,m650_init1571,0.999561404
P_NOUN_10_ADJ_b,m650_init1571,0.998508772
P_NOUN_1_ADJ_b,m650_init1571,0.992368421
P_NOUN_5_ADJ_a,m650_init1571,0.917807018
P_NOUN_8_ADJ_c,m650_init1571,0.937192982
P_NOUN_5_ADJ_b,m650_init1571,0.999298246
P_NOUN_8_ADJ_b,m650_init1571,0.987368421
P_NOUN_2_ADJ_c,m650_init1571,0.999736842
P_NOUN_2_ADJ_a,m650_init1571,0.995877193
P_NOUN_6_ADJ_b,m650_init1571,0.926578947
P_NOUN_3_ADJ_b,m650_init1571,0.999824561
P_NOUN_4_ADJ_b,m650_init1571,0.999385965
P_NOUN_2_ADJ_b,m650_init1571,0.999561404
P_NOUN_8_ADJ_a,m650_init1571,0.992368421
P_NOUN_7_ADJ_a,m650_init1571,0.984035088
P_NOUN_4_ADJ_c,m650_init1571,0.987105263
P_NOUN_9_ADJ_a,m650_init1571,0.97622807
P_NOUN_4_ADJ_a,m650_init1571,0.998859649
P_NOUN_11_ADJ_b,m650_init1571,0.994912281
P_NOUN_11_ADJ_a,m650_init1571,0.934298246
P_NOUN_7_ADJ_c,m650_init1571,0.998421053
P_NOUN_7_ADJ_b,m650_init1571,0.954473684
P_NOUN_9_ADJ_b,m650_init1571,0.97754386
P_NOUN_6_ADJ_a,m650_init1571,0.989649123
P_NOUN_5_ADJ_c,m650_init1571,0.993421053
P_NOUN_10_ADJ_a,m650_init1571,0.977807018
P_NOUN_10_ADJ_c,m650_init1571,0.964824561
P_NOUN_3_ADJ_a,m650_init1571,1
P_NOUN_4_ADJ_d,m650_init1571,0.980175439
P_NOUN_1_ADJ_a,m650_init1571,0.982719298
P_NOUN_6_ADJ_c,m650_init1571,0.999561404
P_NOUN_10_ADJ_b,m650_init1571,0.998508772
P_NOUN_1_ADJ_b,m650_init1571,0.992368421
P_NOUN_5_ADJ_a,m650_init1571,0.917807018
P_NOUN_8_ADJ_c,m650_init1571,0.937192982
P_NOUN_5_ADJ_b,m650_init1571,0.999298246
P_NOUN_8_ADJ_b,m650_init1571,0.987368421
P_NOUN_2_ADJ_c,m650_init1571,0.999736842
P_NOUN_2_ADJ_a,m650_init1571,0.995877193
P_NOUN_6_ADJ_b,m650_init1571,0.926578947
P_NOUN_3_ADJ_b,m650_init1571,0.999824561
P_NOUN_4_ADJ_b,m650_init1571,0.999385965
P_NOUN_2_ADJ_b,m650_init1571,0.999561404
P_NOUN_8_ADJ_a,m650_init1571,0.992368421
P_NOUN_7_ADJ_a,m650_init1571,0.984035088
P_NOUN_4_ADJ_c,m650_init1571,0.987105263
P_NOUN_9_ADJ_a,m650_init1571,0.97622807
P_NOUN_4_ADJ_a,m650_init1571,0.998859649
P_NOUN_11_ADJ_b,m650_init1571,0.994912281
P_NOUN_11_ADJ_a,m650_init1571,0.934298246
P_NOUN_7_ADJ_c,m650_init1571,0.998421053
P_NOUN_7_ADJ_b,m650_init1571,0.954473684
P_NOUN_9_ADJ_b,m650_init2483,0.999912281
P_NOUN_6_ADJ_a,m650_init2483,0.982631579
P_NOUN_5_ADJ_c,m650_init2483,0.999824561
P_NOUN_10_ADJ_a,m650_init2483,0.999824561
P_NOUN_10_ADJ_c,m650_init2483,1
P_NOUN_3_ADJ_a,m650_init2483,1
P_NOUN_4_ADJ_d,m650_init2483,0.999736842
P_NOUN_1_ADJ_a,m650_init2483,0.998245614
P_NOUN_6_ADJ_c,m650_init2483,0.999824561
P_NOUN_10_ADJ_b,m650_init2483,0.990614035
P_NOUN_1_ADJ_b,m650_init2483,0.998333333
P_NOUN_5_ADJ_a,m650_init2483,0.976666667
P_NOUN_8_ADJ_c,m650_init2483,0.999912281
P_NOUN_5_ADJ_b,m650_init2483,1
P_NOUN_8_ADJ_b,m650_init2483,0.981315789
P_NOUN_2_ADJ_c,m650_init2483,0.990964912
P_NOUN_2_ADJ_a,m650_init2483,0.998859649
P_NOUN_6_ADJ_b,m650_init2483,0.964210526
P_NOUN_3_ADJ_b,m650_init2483,0.999736842
P_NOUN_4_ADJ_b,m650_init2483,0.999561404
P_NOUN_2_ADJ_b,m650_init2483,0.999035088
P_NOUN_8_ADJ_a,m650_init2483,0.998421053
P_NOUN_7_ADJ_a,m650_init2483,0.966929825
P_NOUN_4_ADJ_c,m650_init2483,0.997719298
P_NOUN_9_ADJ_a,m650_init2483,0.985175439
P_NOUN_4_ADJ_a,m650_init2483,0.999912281
P_NOUN_11_ADJ_b,m650_init2483,1
P_NOUN_11_ADJ_a,m650_init2483,1
P_NOUN_7_ADJ_c,m650_init2483,1
P_NOUN_7_ADJ_b,m650_init2483,0.999649123
P_NOUN_9_ADJ_b,m650_init528,0.989035088
P_NOUN_6_ADJ_a,m650_init528,0.990438596
P_NOUN_5_ADJ_c,m650_init528,0.999561404
P_NOUN_10_ADJ_a,m650_init528,0.993333333
P_NOUN_10_ADJ_c,m650_init528,0.980614035
P_NOUN_3_ADJ_a,m650_init528,0.990263158
P_NOUN_4_ADJ_d,m650_init528,0.990087719
P_NOUN_1_ADJ_a,m650_init528,0.982280702
P_NOUN_6_ADJ_c,m650_init528,0.999912281
P_NOUN_10_ADJ_b,m650_init528,0.962894737
P_NOUN_1_ADJ_b,m650_init528,0.982192982
P_NOUN_5_ADJ_a,m650_init528,0.974912281
P_NOUN_8_ADJ_c,m650_init528,0.966315789
P_NOUN_5_ADJ_b,m650_init528,0.991491228
P_NOUN_8_ADJ_b,m650_init528,0.926403509
P_NOUN_2_ADJ_c,m650_init528,0.975526316
P_NOUN_2_ADJ_a,m650_init528,0.993596491
P_NOUN_6_ADJ_b,m650_init528,0.967719298
P_NOUN_3_ADJ_b,m650_init528,0.995701754
P_NOUN_4_ADJ_b,m650_init528,0.975614035
P_NOUN_2_ADJ_b,m650_init528,0.999912281
P_NOUN_8_ADJ_a,m650_init528,0.995438596
P_NOUN_7_ADJ_a,m650_init528,0.990350877
P_NOUN_4_ADJ_c,m650_init528,0.991403509
P_NOUN_9_ADJ_a,m650_init528,0.969649123
P_NOUN_4_ADJ_a,m650_init528,0.994649123
P_NOUN_11_ADJ_b,m650_init528,0.962807018
P_NOUN_11_ADJ_a,m650_init528,0.945438596
P_NOUN_7_ADJ_c,m650_init528,0.996403509
P_NOUN_7_ADJ_b,m650_init528,0.987807018
P_NOUN_9_ADJ_b,m650_init220,0.996929825
P_NOUN_6_ADJ_a,m650_init220,0.999649123
P_NOUN_5_ADJ_c,m650_init220,1
P_NOUN_10_ADJ_a,m650_init220,0.991491228
P_NOUN_10_ADJ_c,m650_init220,0.996578947
P_NOUN_3_ADJ_a,m650_init220,0.998157895
P_NOUN_4_ADJ_d,m650_init220,0.994912281
P_NOUN_1_ADJ_a,m650_init220,0.998947368
P_NOUN_6_ADJ_c,m650_init220,0.999824561
P_NOUN_10_ADJ_b,m650_init220,0.999561404
P_NOUN_1_ADJ_b,m650_init220,0.999385965
P_NOUN_5_ADJ_a,m650_init220,0.993947368
