,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très vertes <eos>,13,vertes,verts,11,M,S,vertes,-10.753148,verts,-8.544499,0
1,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très bleues <eos>,13,bleues,bleus,11,M,S,bleues,-10.988959,bleus,-9.738959,0
2,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très noires <eos>,13,noires,noirs,11,M,S,noires,-9.947532,noirs,-10.2485895,1
3,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très délicates <eos>,13,délicates,délicats,11,M,S,délicates,-7.9525404,délicats,-9.619937,1
4,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très pointues <eos>,13,pointues,pointus,11,M,S,pointues,-8.864468,pointus,-10.638487,1
5,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très rondes <eos>,13,rondes,ronds,11,M,S,rondes,-11.377232,ronds,-11.762615,1
6,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très froides <eos>,13,froides,froids,11,M,S,froides,-5.6485367,froids,-10.167173,1
7,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très chaudes <eos>,13,chaudes,chauds,11,M,S,chaudes,-7.2559347,chauds,-7.6911106,1
8,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très importantes <eos>,13,importantes,importants,11,M,S,importantes,-5.5298233,importants,-7.122759,1
9,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très courtes <eos>,13,courtes,courts,11,M,S,courtes,-7.6787133,courts,-7.7069097,1
10,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très dures <eos>,13,dures,durs,11,M,S,dures,-6.619252,durs,-7.290884,1
11,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très claires <eos>,13,claires,clairs,11,M,S,claires,-5.344108,clairs,-5.8813176,1
12,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très intéressantes <eos>,13,intéressantes,intéressants,11,M,S,intéressantes,-6.0509367,intéressants,-6.9569864,1
13,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très brillantes <eos>,13,brillantes,brillants,11,M,S,brillantes,-7.0399733,brillants,-7.149909,1
14,P_NOUN_8_ADJ_c,F,P,les gemmes avec le bracelet que j' aime beaucoup ne sont pas très compliquées <eos>,13,compliquées,compliqués,11,M,S,compliquées,-7.018216,compliqués,-7.58665,1
15,P_NOUN_8_ADJ_c,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas très vertes <eos>,13,vertes,verts,11,M,S,vertes,-10.011017,verts,-9.36601,0
16,P_NOUN_8_ADJ_c,F,P,les gemmes avec le miroir que j' aime beaucoup ne sont pas très bleues <eos>,13,bleues,bleus,11,M,S,bleues,-10.791402,bleus,-10.253295,0
