Paradigm,Model,Percent_Corr
P_NOUN_9_ADJ_b,m650_init528,0.990416667
P_NOUN_6_ADJ_a,m650_init528,0.983833333
P_NOUN_5_ADJ_c,m650_init528,0.995916667
P_NOUN_10_ADJ_a,m650_init528,0.993
P_NOUN_10_ADJ_c,m650_init528,0.983333333
P_NOUN_3_ADJ_a,m650_init528,0.991166667
P_NOUN_4_ADJ_d,m650_init528,0.991166667
P_NOUN_1_ADJ_a,m650_init528,0.974
P_NOUN_6_ADJ_c,m650_init528,0.99825
P_NOUN_10_ADJ_b,m650_init528,0.961583333
P_NOUN_1_ADJ_b,m650_init528,0.973666667
P_NOUN_5_ADJ_a,m650_init528,0.976166667
P_NOUN_8_ADJ_c,m650_init528,0.959083333
P_NOUN_5_ADJ_b,m650_init528,0.980666667
P_NOUN_8_ADJ_b,m650_init528,0.925416667
P_NOUN_2_ADJ_c,m650_init528,0.96
P_NOUN_2_ADJ_a,m650_init528,0.981666667
P_NOUN_6_ADJ_b,m650_init528,0.982916667
P_NOUN_3_ADJ_b,m650_init528,0.988416667
P_NOUN_4_ADJ_b,m650_init528,0.961333333
P_NOUN_2_ADJ_b,m650_init528,0.998166667
P_NOUN_8_ADJ_a,m650_init528,0.996416667
P_NOUN_7_ADJ_a,m650_init528,0.99125
P_NOUN_4_ADJ_c,m650_init528,0.990583333
P_NOUN_9_ADJ_a,m650_init528,0.966083333
P_NOUN_4_ADJ_a,m650_init528,0.989666667
P_NOUN_11_ADJ_b,m650_init528,0.961833333
P_NOUN_11_ADJ_a,m650_init528,0.945916667
P_NOUN_7_ADJ_c,m650_init528,0.994916667
P_NOUN_7_ADJ_b,m650_init528,0.989583333
P_NOUN_9_ADJ_b,m650_init528,0.990416667
P_NOUN_6_ADJ_a,m650_init528,0.983833333
P_NOUN_5_ADJ_c,m650_init528,0.995916667
P_NOUN_10_ADJ_a,m650_init528,0.993
P_NOUN_10_ADJ_c,m650_init528,0.983333333
P_NOUN_3_ADJ_a,m650_init528,0.991166667
P_NOUN_4_ADJ_d,m650_init528,0.991166667
P_NOUN_1_ADJ_a,m650_init528,0.974
P_NOUN_6_ADJ_c,m650_init528,0.99825
P_NOUN_10_ADJ_b,m650_init528,0.961583333
P_NOUN_1_ADJ_b,m650_init528,0.973666667
P_NOUN_5_ADJ_a,m650_init528,0.976166667
P_NOUN_8_ADJ_c,m650_init528,0.959083333
P_NOUN_5_ADJ_b,m650_init528,0.980666667
P_NOUN_8_ADJ_b,m650_init528,0.925416667
P_NOUN_2_ADJ_c,m650_init528,0.96
P_NOUN_2_ADJ_a,m650_init528,0.981666667
P_NOUN_6_ADJ_b,m650_init528,0.982916667
P_NOUN_3_ADJ_b,m650_init528,0.988416667
P_NOUN_4_ADJ_b,m650_init528,0.961333333
P_NOUN_2_ADJ_b,m650_init528,0.998166667
P_NOUN_8_ADJ_a,m650_init528,0.996416667
P_NOUN_7_ADJ_a,m650_init528,0.99125
P_NOUN_4_ADJ_c,m650_init528,0.990583333
P_NOUN_9_ADJ_a,m650_init528,0.966083333
P_NOUN_4_ADJ_a,m650_init528,0.989666667
P_NOUN_11_ADJ_b,m650_init528,0.961833333
P_NOUN_11_ADJ_a,m650_init528,0.945916667
P_NOUN_7_ADJ_c,m650_init528,0.994916667
P_NOUN_7_ADJ_b,m650_init528,0.989583333
P_NOUN_9_ADJ_b,m650_init220,0.99425
P_NOUN_6_ADJ_a,m650_init220,0.9985
P_NOUN_5_ADJ_c,m650_init220,0.99975
P_NOUN_10_ADJ_a,m650_init220,0.984416667
P_NOUN_10_ADJ_c,m650_init220,0.99
P_NOUN_3_ADJ_a,m650_init220,0.99725
P_NOUN_4_ADJ_d,m650_init220,0.991916667
P_NOUN_1_ADJ_a,m650_init220,0.995583333
P_NOUN_6_ADJ_c,m650_init220,0.999833333
P_NOUN_10_ADJ_b,m650_init220,0.998333333
P_NOUN_1_ADJ_b,m650_init220,0.9935
P_NOUN_5_ADJ_a,m650_init220,0.989416667
P_NOUN_8_ADJ_c,m650_init220,0.985333333
P_NOUN_5_ADJ_b,m650_init220,0.999666667
P_NOUN_8_ADJ_b,m650_init220,0.98125
P_NOUN_2_ADJ_c,m650_init220,0.975583333
P_NOUN_2_ADJ_a,m650_init220,0.99975
P_NOUN_6_ADJ_b,m650_init220,0.9535
P_NOUN_3_ADJ_b,m650_init220,0.998916667
P_NOUN_4_ADJ_b,m650_init220,1
P_NOUN_2_ADJ_b,m650_init220,0.96025
P_NOUN_8_ADJ_a,m650_init220,0.99925
P_NOUN_7_ADJ_a,m650_init220,0.995166667
P_NOUN_4_ADJ_c,m650_init220,0.999333333
P_NOUN_9_ADJ_a,m650_init220,1
P_NOUN_4_ADJ_a,m650_init220,0.997416667
P_NOUN_11_ADJ_b,m650_init220,1
P_NOUN_11_ADJ_a,m650_init220,0.971583333
P_NOUN_7_ADJ_c,m650_init220,0.99825
