,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont vertes . <eos>,6,vertes,verts,4,vertes,-8.130125,verts,-9.484751,1
1,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont bleues . <eos>,6,bleues,bleus,4,bleues,-8.86465,bleus,-9.019674,1
2,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont noires . <eos>,6,noires,noirs,4,noires,-6.5007434,noirs,-8.719217,1
3,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont délicates . <eos>,6,délicates,délicats,4,délicates,-11.851823,délicats,-12.67954,1
4,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont pointues . <eos>,6,pointues,pointus,4,pointues,-10.472536,pointus,-12.78708,1
5,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont rondes . <eos>,6,rondes,ronds,4,rondes,-10.384145,ronds,-10.998012,1
6,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont froides . <eos>,6,froides,froids,4,froides,-9.559833,froids,-13.9860735,1
7,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont chaudes . <eos>,6,chaudes,chauds,4,chaudes,-10.422017,chauds,-13.524148,1
8,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont importantes . <eos>,6,importantes,importants,4,importantes,-9.362337,importants,-11.471374,1
9,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont courtes . <eos>,6,courtes,courts,4,courtes,-9.512463,courts,-10.612741,1
10,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont dures . <eos>,6,dures,durs,4,dures,-8.384888,durs,-10.020254,1
11,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont claires . <eos>,6,claires,clairs,4,claires,-8.903861,clairs,-10.99546,1
12,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont intéressantes . <eos>,6,intéressantes,intéressants,4,intéressantes,-9.534361,intéressants,-11.092852,1
13,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont brillantes . <eos>,6,brillantes,brillants,4,brillantes,-10.6016035,brillants,-11.383467,1
14,P_NOUN_4_ADJ_d,F,P,les gemmes près de moi sont compliquées . <eos>,6,compliquées,compliqués,4,compliquées,-10.189896,compliqués,-13.807239,1
15,P_NOUN_4_ADJ_d,F,P,les chaises près de moi sont vertes . <eos>,6,vertes,verts,4,vertes,-8.988706,verts,-10.289265,1
16,P_NOUN_4_ADJ_d,F,P,les chaises près de moi sont bleues . <eos>,6,bleues,bleus,4,bleues,-9.5492525,bleus,-9.580509,1
