,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_d,F,S,la gemme près de moi est achetée . <eos>,6,achetée,acheté,4,achetée,-8.6200485,acheté,-11.359236,1
1,S_NOUN_4_PASS_d,F,S,la gemme près de moi est brisée . <eos>,6,brisée,brisé,4,brisée,-8.084837,brisé,-11.147025,1
2,S_NOUN_4_PASS_d,F,S,la gemme près de moi est cachée . <eos>,6,cachée,caché,4,cachée,-7.341208,caché,-9.857719,1
3,S_NOUN_4_PASS_d,F,S,la gemme près de moi est cassée . <eos>,6,cassée,cassé,4,cassée,-8.844473,cassé,-11.34969,1
4,S_NOUN_4_PASS_d,F,S,la gemme près de moi est couverte . <eos>,6,couverte,couvert,4,couverte,-6.399856,couvert,-10.446894,1
5,S_NOUN_4_PASS_d,F,S,la gemme près de moi est déformée . <eos>,6,déformée,déformé,4,déformée,-8.942744,déformé,-12.5182,1
6,S_NOUN_4_PASS_d,F,S,la gemme près de moi est fixée . <eos>,6,fixée,fixé,4,fixée,-5.8998976,fixé,-8.537827,1
7,S_NOUN_4_PASS_d,F,S,la gemme près de moi est jetée . <eos>,6,jetée,jeté,4,jetée,-7.8111115,jeté,-11.0581665,1
8,S_NOUN_4_PASS_d,F,S,la gemme près de moi est laissée . <eos>,6,laissée,laissé,4,laissée,-8.221821,laissé,-10.334704,1
9,S_NOUN_4_PASS_d,F,S,la gemme près de moi est ouverte . <eos>,6,ouverte,ouvert,4,ouverte,-6.7017827,ouvert,-10.175758,1
10,S_NOUN_4_PASS_d,F,S,la gemme près de moi est perdue . <eos>,6,perdue,perdu,4,perdue,-7.909668,perdu,-10.5360365,1
11,S_NOUN_4_PASS_d,F,S,la gemme près de moi est réparée . <eos>,6,réparée,réparé,4,réparée,-10.822744,réparé,-13.613908,1
12,S_NOUN_4_PASS_d,F,S,la gemme près de moi est retirée . <eos>,6,retirée,retiré,4,retirée,-9.130884,retiré,-10.439931,1
13,S_NOUN_4_PASS_d,F,S,la gemme près de moi est tombée . <eos>,6,tombée,tombé,4,tombée,-6.9488087,tombé,-9.297182,1
14,S_NOUN_4_PASS_d,F,S,la gemme près de moi est utilisée . <eos>,6,utilisée,utilisé,4,utilisée,-4.4303265,utilisé,-7.678645,1
15,S_NOUN_4_PASS_d,F,S,la chaise près de moi est achetée . <eos>,6,achetée,acheté,4,achetée,-9.005232,acheté,-11.380458,1
16,S_NOUN_4_PASS_d,F,S,la chaise près de moi est brisée . <eos>,6,brisée,brisé,4,brisée,-8.227017,brisé,-11.040415,1
17,S_NOUN_4_PASS_d,F,S,la chaise près de moi est cachée . <eos>,6,cachée,caché,4,cachée,-8.373411,caché,-10.419888,1
18,S_NOUN_4_PASS_d,F,S,la chaise près de moi est cassée . <eos>,6,cassée,cassé,4,cassée,-9.075915,cassé,-11.454208,1
19,S_NOUN_4_PASS_d,F,S,la chaise près de moi est couverte . <eos>,6,couverte,couvert,4,couverte,-6.893366,couvert,-10.619126,1
20,S_NOUN_4_PASS_d,F,S,la chaise près de moi est déformée . <eos>,6,déformée,déformé,4,déformée,-9.765718,déformé,-13.169664,1
21,S_NOUN_4_PASS_d,F,S,la chaise près de moi est fixée . <eos>,6,fixée,fixé,4,fixée,-6.108265,fixé,-8.495134,1
22,S_NOUN_4_PASS_d,F,S,la chaise près de moi est jetée . <eos>,6,jetée,jeté,4,jetée,-8.372509,jeté,-11.276224,1
23,S_NOUN_4_PASS_d,F,S,la chaise près de moi est laissée . <eos>,6,laissée,laissé,4,laissée,-8.931296,laissé,-10.180778,1
24,S_NOUN_4_PASS_d,F,S,la chaise près de moi est ouverte . <eos>,6,ouverte,ouvert,4,ouverte,-6.5069146,ouvert,-9.622793,1
25,S_NOUN_4_PASS_d,F,S,la chaise près de moi est perdue . <eos>,6,perdue,perdu,4,perdue,-8.716683,perdu,-10.762583,1
26,S_NOUN_4_PASS_d,F,S,la chaise près de moi est réparée . <eos>,6,réparée,réparé,4,réparée,-10.814924,réparé,-13.549839,1
27,S_NOUN_4_PASS_d,F,S,la chaise près de moi est retirée . <eos>,6,retirée,retiré,4,retirée,-9.162648,retiré,-10.54022,1
28,S_NOUN_4_PASS_d,F,S,la chaise près de moi est tombée . <eos>,6,tombée,tombé,4,tombée,-7.303425,tombé,-9.542523,1
29,S_NOUN_4_PASS_d,F,S,la chaise près de moi est utilisée . <eos>,6,utilisée,utilisé,4,utilisée,-4.9064546,utilisé,-7.3900647,1
30,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est achetée . <eos>,6,achetée,acheté,4,achetée,-7.907471,acheté,-10.622364,1
31,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est brisée . <eos>,6,brisée,brisé,4,brisée,-9.25799,brisé,-12.440383,1
32,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est cachée . <eos>,6,cachée,caché,4,cachée,-8.130166,caché,-10.531971,1
33,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est cassée . <eos>,6,cassée,cassé,4,cassée,-9.469431,cassé,-12.685053,1
34,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est couverte . <eos>,6,couverte,couvert,4,couverte,-7.2437367,couvert,-11.257534,1
35,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est déformée . <eos>,6,déformée,déformé,4,déformée,-9.9313965,déformé,-13.972292,1
36,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est fixée . <eos>,6,fixée,fixé,4,fixée,-6.323127,fixé,-9.86634,1
37,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est jetée . <eos>,6,jetée,jeté,4,jetée,-8.079057,jeté,-11.684817,1
38,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est laissée . <eos>,6,laissée,laissé,4,laissée,-9.028363,laissé,-10.662541,1
39,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est ouverte . <eos>,6,ouverte,ouvert,4,ouverte,-6.218513,ouvert,-9.639347,1
40,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est perdue . <eos>,6,perdue,perdu,4,perdue,-8.417086,perdu,-10.6819,1
41,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est réparée . <eos>,6,réparée,réparé,4,réparée,-10.731009,réparé,-14.030926,1
42,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est retirée . <eos>,6,retirée,retiré,4,retirée,-8.623276,retiré,-11.112562,1
43,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est tombée . <eos>,6,tombée,tombé,4,tombée,-7.1224833,tombé,-9.798488,1
44,S_NOUN_4_PASS_d,F,S,la poubelle près de moi est utilisée . <eos>,6,utilisée,utilisé,4,utilisée,-4.33202,utilisé,-7.4415226,1
