,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très verte <eos>,16,verte,vert,14,M,P,verte,-9.192951,vert,-10.52449,1
1,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très bleue <eos>,16,bleue,bleu,14,M,P,bleue,-8.2593565,bleu,-10.13037,1
2,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très noire <eos>,16,noire,noir,14,M,P,noire,-7.326727,noir,-9.879886,1
3,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très délicate <eos>,16,délicate,délicat,14,M,P,délicate,-6.4990525,délicat,-10.701236,1
4,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très pointue <eos>,16,pointue,pointu,14,M,P,pointue,-9.526949,pointu,-10.623605,1
5,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très ronde <eos>,16,ronde,rond,14,M,P,ronde,-6.493572,rond,-8.327986,1
6,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très froide <eos>,16,froide,froid,14,M,P,froide,-9.681224,froid,-12.490776,1
7,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très chaude <eos>,16,chaude,chaud,14,M,P,chaude,-8.532051,chaud,-11.074178,1
8,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très importante <eos>,16,importante,important,14,M,P,importante,-4.383382,important,-8.188263,1
9,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très courte <eos>,16,courte,court,14,M,P,courte,-5.057536,court,-8.917813,1
10,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très dure <eos>,16,dure,dur,14,M,P,dure,-6.7710333,dur,-8.685672,1
11,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très claire <eos>,16,claire,clair,14,M,P,claire,-3.3690066,clair,-6.3122153,1
12,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très intéressante <eos>,16,intéressante,intéressant,14,M,P,intéressante,-6.323594,intéressant,-9.539616,1
13,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très brillante <eos>,16,brillante,brillant,14,M,P,brillante,-4.8805323,brillant,-7.359503,1
14,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très compliquée <eos>,16,compliquée,compliqué,14,M,P,compliquée,-6.65518,compliqué,-8.9922905,1
15,S_NOUN_11_ADJ_a,F,S,la gemme avec les miroirs près de moi que j' aime beaucoup n' est pas très verte <eos>,16,verte,vert,14,M,P,verte,-7.409423,vert,-11.488638,1
16,S_NOUN_11_ADJ_a,F,S,la gemme avec les miroirs près de moi que j' aime beaucoup n' est pas très bleue <eos>,16,bleue,bleu,14,M,P,bleue,-8.217966,bleu,-10.157029,1
17,S_NOUN_11_ADJ_a,F,S,la gemme avec les miroirs près de moi que j' aime beaucoup n' est pas très noire <eos>,16,noire,noir,14,M,P,noire,-7.5714417,noir,-10.01281,1
